고객ID,연령,성별,지역,상품군,구매금액,구매수량,반품여부,리뷰점수,가입일
C0175,28,남성,부산,전자제품,24939.0,2,0,3.0,2023-01-04
C0035,69,남성,부산,전자제품,10781.0,1,0,3.0,2022-01-14
C0081,46,여성,인천,의류,66700.0,3,0,4.0,2023-02-08
C0164,21,남성,광주,전자제품,37624.0,5,0,4.0,2019-02-21
C0050,24,남성,인천,가구,16823.0,2,1,4.0,2019-04-21
C0104,48,남성,광주,도서,28489.0,3,0,4.0,2021-05-26
C0132,56,남성,인천,전자제품,49961.0,4,0,1.0,2021-12-02
C0002,57,남성,인천,가구,39118.0,7,0,3.0,2019-07-30
C0134,38,남성,서울,식품,91816.0,3,0,2.0,2022-05-08
C0054,27,여성,부산,가구,32263.0,9,0,3.0,2021-05-07
C0106,67,여성,인천,도서,,8,0,4.0,2023-11-11
C0004,64,남성,인천,가구,30354.0,4,1,2.0,2020-09-18
C0054,20,남성,대구,의류,52951.0,1,0,3.0,2021-11-15
C0191,41,여성,부산,도서,33648.0,1,1,2.0,2019-10-26
C0146,36,남성,대구,식품,60729.0,1,1,5.0,2022-01-05
C0044,26,남성,부산,의류,51971.0,1,0,5.0,2021-07-12
C0162,44,남성,대구,가구,28658.0,8,0,4.0,2019-05-17
C0190,64,여성,인천,도서,31253.0,3,1,5.0,2021-11-09
C0014,23,남성,인천,식품,74166.0,6,0,4.0,2020-03-15
C0095,55,여성,서울,의류,58563.0,3,0,4.0,2019-07-30
C0048,25,남성,대구,식품,36390.0,5,1,1.0,2021-01-21
C0015,50,여성,광주,가구,98664.0,7,0,4.0,2023-04-24
C0200,38,여성,서울,식품,61578.0,2,0,4.0,2020-03-10
C0190,63,남성,대구,전자제품,89025.0,6,0,4.0,2021-02-18
C0040,58,여성,대구,의류,42658.0,6,0,4.0,2022-05-15
C0082,46,남성,서울,식품,16852.0,3,0,3.0,2020-03-14
C0111,29,여성,인천,가구,12551.0,6,0,4.0,2023-12-08
C0053,45,남성,대구,가구,81947.0,5,0,5.0,2020-10-27
C0024,38,남성,인천,식품,71001.0,2,0,3.0,2021-12-01
C0154,58,여성,서울,가구,59159.0,9,0,4.0,2020-02-15
C0188,22,남성,인천,도서,61707.0,8,0,3.0,2023-03-27
C0124,64,남성,부산,도서,43243.0,3,0,4.0,2021-03-16
C0041,32,여성,광주,도서,31800.0,8,0,4.0,2020-09-01
C0157,69,남성,대구,전자제품,85939.0,9,0,1.0,2020-03-02
C0015,47,남성,광주,식품,,3,0,4.0,2022-07-22
C0045,39,여성,인천,전자제품,,3,0,2.0,2023-01-11
C0065,47,여성,대구,가구,16710.0,2,1,4.0,2021-06-20
C0089,27,남성,인천,전자제품,31384.0,8,0,3.0,2021-07-30
C0071,60,남성,부산,가구,31038.0,1,0,4.0,2021-01-11
C0009,58,여성,서울,가구,50846.0,8,0,2.0,2022-10-24
C0088,20,여성,대구,의류,97983.0,7,0,4.0,2022-05-28
C0129,22,남성,부산,도서,77821.0,7,0,3.0,2023-05-20
C0136,32,여성,부산,가구,47991.0,3,0,5.0,2022-06-09
C0063,47,남성,대구,의류,89057.0,1,0,5.0,2019-11-24
C0139,68,남성,인천,도서,16971.0,4,0,,2023-01-06
C0081,44,남성,부산,가구,39139.0,9,0,4.0,2019-02-21
C0136,52,남성,광주,가구,95445.0,5,0,4.0,2020-01-11
C0163,57,남성,부산,전자제품,87067.0,1,0,2.0,2019-09-20
C0163,25,여성,인천,전자제품,90257.0,5,0,3.0,2019-09-24
C0033,63,여성,인천,도서,94742.0,8,0,3.0,2019-12-25
C0123,64,여성,광주,가구,47711.0,8,0,4.0,2022-09-02
C0005,51,여성,부산,식품,,5,0,5.0,2022-09-09
C0041,64,남성,인천,전자제품,21116.0,9,0,2.0,2023-08-17
C0028,66,남성,대구,도서,75794.0,1,0,5.0,2020-10-13
C0135,40,남성,서울,가구,10282.0,4,0,4.0,2023-05-06
C0072,35,남성,서울,가구,89473.0,3,0,4.0,2023-07-11
C0012,40,여성,서울,식품,11898.0,2,0,2.0,2022-12-15
C0162,30,남성,부산,도서,14135.0,8,0,1.0,2019-02-15
C0033,56,남성,광주,가구,16629.0,7,1,4.0,2020-08-22
C0048,55,여성,인천,전자제품,95120.0,9,0,4.0,2020-12-20
C0151,54,여성,대구,식품,99087.0,2,0,2.0,2022-07-16
C0062,38,여성,대구,도서,75031.0,4,0,4.0,2020-08-23
C0037,39,여성,부산,식품,43380.0,6,0,5.0,2020-01-16
C0099,37,남성,서울,전자제품,27071.0,3,0,4.0,2019-04-28
C0172,66,남성,부산,도서,30074.0,8,0,5.0,2023-05-09
C0104,60,여성,광주,식품,77843.0,3,0,3.0,2019-04-26
C0035,68,남성,광주,의류,,2,1,3.0,2023-07-12
C0193,33,남성,인천,전자제품,21205.0,3,0,4.0,2019-09-17
C0101,34,남성,인천,전자제품,65661.0,6,1,3.0,2022-01-03
C0175,50,여성,광주,전자제품,,2,0,1.0,2023-02-12
C0131,20,남성,광주,의류,12591.0,8,0,3.0,2019-11-01
C0001,22,여성,광주,의류,72987.0,1,0,3.0,2019-01-07
C0005,35,남성,부산,가구,73370.0,7,0,3.0,2020-01-01
C0142,42,남성,광주,식품,90685.0,2,0,3.0,2023-07-16
C0103,30,남성,대구,가구,64400.0,6,0,3.0,2020-06-06
C0027,31,여성,서울,식품,35150.0,2,0,1.0,2022-10-03
C0137,29,남성,광주,의류,41852.0,2,0,4.0,2023-01-01
C0015,51,여성,서울,의류,52870.0,8,0,4.0,2022-05-23
C0090,35,여성,부산,가구,62756.0,2,0,4.0,2020-03-04
C0042,27,여성,서울,도서,66481.0,7,0,2.0,2021-03-01
C0124,57,남성,부산,가구,11283.0,3,0,3.0,2023-03-02
C0179,31,남성,대구,식품,43691.0,8,0,4.0,2023-04-13
C0063,43,남성,부산,가구,11125.0,7,0,4.0,2021-01-16
C0096,47,남성,부산,전자제품,77065.0,8,0,3.0,2020-01-02
C0052,27,여성,인천,식품,36170.0,7,0,3.0,2019-11-09
C0096,47,여성,광주,식품,18438.0,6,1,5.0,2020-06-21
C0132,55,여성,광주,도서,30095.0,7,0,3.0,2021-07-09
C0151,45,남성,대구,의류,26154.0,5,0,3.0,2021-12-13
C0143,27,여성,대구,식품,18004.0,7,0,4.0,2023-04-14
C0171,69,남성,광주,의류,19752.0,1,0,3.0,2023-01-30
C0029,47,여성,인천,가구,65426.0,1,0,3.0,2021-05-14
C0036,47,남성,광주,전자제품,36819.0,9,0,3.0,2022-04-02
C0013,56,남성,인천,도서,34217.0,5,0,4.0,2021-02-20
C0160,60,여성,대구,의류,98708.0,5,0,3.0,2019-11-30
C0071,55,여성,서울,식품,42994.0,3,1,2.0,2023-04-20
C0187,46,여성,대구,의류,25036.0,5,0,3.0,2021-03-08
C0086,36,여성,대구,식품,87275.0,3,0,4.0,2019-12-14
C0028,28,남성,부산,의류,59416.0,9,0,1.0,2019-09-30
C0066,52,여성,부산,식품,19587.0,9,0,,2021-08-20
C0170,39,여성,부산,가구,10645.0,6,1,3.0,2020-12-20
C0045,32,여성,부산,식품,40930.0,1,0,,2023-11-09
C0062,47,남성,인천,식품,91835.0,7,0,5.0,2022-12-08
C0185,67,남성,광주,전자제품,40090.0,7,0,3.0,2020-05-14
C0134,48,여성,서울,식품,97489.0,4,0,2.0,2022-01-21
C0028,32,남성,대구,전자제품,62142.0,8,0,2.0,2020-11-15
C0028,65,여성,인천,도서,36475.0,6,0,2.0,2019-03-20
C0108,54,남성,서울,전자제품,28888.0,4,0,4.0,2020-09-13
C0044,25,남성,인천,가구,53732.0,4,0,3.0,2022-05-25
C0084,37,남성,인천,전자제품,91623.0,2,0,3.0,2021-08-04
C0030,24,남성,대구,도서,56305.0,2,0,3.0,2019-12-24
C0190,66,여성,광주,가구,56037.0,4,0,5.0,2020-09-09
C0075,44,여성,부산,의류,19346.0,5,0,2.0,2020-05-21
C0128,21,여성,광주,의류,10587.0,8,0,1.0,2023-05-02
C0092,29,남성,대구,전자제품,22763.0,6,0,1.0,2022-04-19
C0190,49,여성,대구,전자제품,69165.0,4,0,5.0,2020-07-29
C0129,69,여성,대구,도서,79615.0,7,1,4.0,2022-06-23
C0121,64,여성,서울,도서,46116.0,8,0,3.0,2019-09-01
C0027,24,남성,광주,식품,95751.0,2,0,2.0,2020-05-20
C0190,52,남성,광주,도서,35556.0,7,0,3.0,2020-02-26
C0121,20,남성,인천,식품,69042.0,2,0,2.0,2022-09-05
C0116,37,여성,인천,가구,28099.0,2,0,5.0,2022-01-15
C0003,51,여성,인천,전자제품,55096.0,8,0,4.0,2019-08-05
C0103,66,여성,대구,가구,81986.0,2,0,3.0,2023-02-22
C0198,68,남성,광주,도서,23230.0,9,1,5.0,2023-03-23
C0200,30,남성,대구,가구,39009.0,1,0,2.0,2022-07-25
C0155,40,여성,서울,가구,80969.0,9,0,4.0,2023-10-12
C0137,45,남성,인천,가구,43866.0,1,0,5.0,2021-10-05
C0062,44,남성,대구,도서,94246.0,2,0,3.0,2022-04-07
C0165,41,남성,대구,가구,86975.0,6,0,4.0,2019-11-26
C0051,46,남성,서울,식품,51855.0,6,0,3.0,2020-10-11
C0172,68,여성,부산,도서,91557.0,1,0,3.0,2023-01-04
C0152,32,남성,광주,가구,16416.0,7,0,2.0,2020-01-26
C0059,52,남성,부산,도서,82516.0,8,0,3.0,2023-02-28
C0118,53,남성,인천,의류,65915.0,2,0,4.0,2020-01-16
C0160,60,남성,대구,식품,28058.0,8,0,5.0,2022-08-22
C0096,54,여성,서울,가구,86637.0,9,0,4.0,2021-01-11
C0180,20,여성,서울,의류,50718.0,6,0,5.0,2021-03-30
C0113,40,남성,광주,의류,,5,0,4.0,2020-11-03
C0062,67,남성,부산,도서,84658.0,9,0,2.0,2020-05-27
C0186,25,남성,광주,의류,88112.0,9,0,3.0,2023-11-07
C0052,47,남성,대구,식품,68067.0,1,0,2.0,2021-08-06
C0012,36,남성,광주,식품,37516.0,3,0,4.0,2022-04-26
C0039,24,남성,서울,전자제품,97969.0,9,0,5.0,2021-07-18
C0130,50,여성,서울,식품,11089.0,2,0,2.0,2023-03-20
C0131,24,남성,인천,의류,47346.0,4,0,4.0,2021-07-01
C0113,57,여성,인천,식품,,4,0,4.0,2020-10-05
C0101,22,여성,대구,도서,20487.0,2,0,4.0,2020-03-02
C0113,42,남성,부산,전자제품,10155.0,3,0,3.0,2020-05-16
C0184,56,여성,광주,의류,77494.0,3,0,3.0,2020-12-30
C0081,56,여성,대구,전자제품,86229.0,1,1,1.0,2022-07-07
C0187,29,여성,인천,의류,48547.0,6,0,2.0,2023-03-17
C0113,29,여성,광주,도서,38795.0,8,0,1.0,2019-03-12
C0002,38,여성,인천,전자제품,65296.0,3,0,4.0,2020-04-22
C0130,36,여성,광주,가구,31447.0,5,1,2.0,2022-04-16
C0054,40,남성,부산,의류,46598.0,1,0,5.0,2020-04-01
C0087,33,여성,대구,가구,51814.0,7,0,3.0,2019-07-08
C0129,28,여성,광주,전자제품,85330.0,1,0,4.0,2019-10-18
C0147,65,여성,서울,가구,97960.0,9,0,3.0,2023-03-24
C0126,20,남성,서울,가구,73278.0,8,0,4.0,2023-11-24
C0130,64,여성,광주,전자제품,,7,0,5.0,2021-07-08
C0053,32,남성,광주,도서,81906.0,7,1,1.0,2019-10-19
C0172,23,여성,광주,가구,19528.0,5,0,3.0,2021-01-25
C0160,20,남성,서울,가구,60100.0,5,0,4.0,2023-07-17
C0198,68,남성,서울,도서,18179.0,5,0,1.0,2022-07-30
C0160,59,여성,광주,가구,58781.0,1,0,1.0,2023-04-17
C0068,51,여성,인천,가구,65267.0,8,0,3.0,2020-01-12
C0183,53,남성,인천,가구,92379.0,1,0,1.0,2023-08-09
C0184,47,여성,부산,식품,33952.0,4,0,4.0,2022-03-25
C0123,50,남성,대구,도서,63798.0,9,0,2.0,2020-05-22
C0145,27,남성,인천,가구,60939.0,9,0,5.0,2022-12-07
C0038,58,남성,서울,도서,39516.0,5,0,4.0,2020-06-11
C0024,45,남성,인천,의류,66526.0,4,0,4.0,2022-10-10
C0069,53,남성,부산,의류,20449.0,3,0,4.0,2020-07-12
C0116,22,여성,부산,가구,60290.0,3,0,5.0,2023-11-22
C0098,69,남성,대구,도서,96661.0,5,0,2.0,2022-04-25
C0198,31,남성,인천,도서,82954.0,1,0,5.0,2021-11-20
C0139,20,여성,서울,도서,32746.0,5,1,4.0,2019-09-17
C0144,63,남성,서울,식품,77990.0,6,0,4.0,2020-02-25
C0097,24,여성,광주,의류,68810.0,7,0,4.0,2023-04-02
C0124,49,여성,서울,도서,93297.0,9,0,2.0,2023-04-24
C0187,49,여성,대구,도서,25223.0,3,0,3.0,2019-10-31
C0070,36,남성,대구,식품,82237.0,2,0,4.0,2021-07-30
C0093,67,남성,서울,식품,12597.0,3,0,1.0,2021-11-28
C0003,66,남성,서울,도서,75677.0,9,0,4.0,2023-02-21
C0148,42,여성,광주,전자제품,12659.0,7,0,2.0,2023-07-26
C0187,34,남성,서울,도서,96516.0,9,0,2.0,2020-06-25
C0164,56,여성,광주,도서,84567.0,2,0,2.0,2023-08-21
C0147,40,남성,광주,식품,,5,0,1.0,2022-07-25
C0090,33,여성,서울,식품,56738.0,4,0,3.0,2022-05-11
C0195,21,남성,부산,도서,81678.0,2,0,2.0,2021-12-25
C0147,30,남성,부산,도서,22109.0,9,0,,2019-04-18
C0148,58,남성,광주,도서,32010.0,9,0,4.0,2019-09-25
C0096,57,여성,서울,식품,18787.0,6,0,2.0,2019-08-10
C0199,53,여성,부산,도서,18472.0,6,0,4.0,2023-04-03
C0052,57,남성,서울,도서,33383.0,8,0,5.0,2022-01-18
C0161,69,남성,서울,가구,71709.0,6,0,4.0,2020-11-23
C0168,53,여성,서울,전자제품,79785.0,1,0,1.0,2019-09-12
C0128,37,여성,인천,의류,44518.0,4,0,5.0,2023-01-18
C0039,49,여성,서울,전자제품,63909.0,7,0,4.0,2019-09-10
C0082,34,남성,인천,가구,28351.0,2,0,2.0,2019-09-14
C0104,46,여성,광주,의류,79624.0,9,0,1.0,2020-01-18
C0129,53,남성,부산,도서,63330.0,8,0,4.0,2020-03-17
C0011,57,여성,부산,가구,25282.0,8,0,2.0,2020-08-21
C0185,52,남성,부산,도서,94866.0,7,0,4.0,2022-01-18
C0178,43,여성,부산,식품,31778.0,4,0,3.0,2023-11-08
C0151,34,여성,부산,가구,34264.0,2,0,5.0,2020-01-25
C0159,49,여성,부산,식품,69675.0,3,0,4.0,2020-08-04
C0042,61,여성,부산,가구,15075.0,6,0,2.0,2021-12-03
C0099,36,여성,광주,가구,85948.0,5,0,2.0,2023-10-02
C0007,24,남성,서울,식품,58454.0,8,0,4.0,2023-08-15
C0144,48,여성,대구,의류,38365.0,6,0,4.0,2020-08-20
C0090,23,여성,인천,전자제품,82766.0,6,0,4.0,2019-01-19
C0112,29,여성,대구,도서,58200.0,1,0,3.0,2022-01-29
C0060,36,남성,대구,가구,21002.0,4,0,2.0,2020-08-29
C0113,29,여성,서울,도서,23947.0,5,0,1.0,2023-11-25
C0002,36,남성,서울,식품,89222.0,3,0,4.0,2022-10-12
C0129,39,여성,서울,도서,88610.0,9,1,1.0,2023-04-15
C0048,43,여성,부산,식품,62142.0,1,0,3.0,2023-11-20
C0140,24,남성,광주,도서,66307.0,6,0,4.0,2019-02-02
C0197,53,여성,부산,전자제품,14493.0,6,0,5.0,2022-06-06
C0037,25,남성,광주,전자제품,60085.0,5,0,3.0,2023-03-28
C0160,21,남성,광주,전자제품,44228.0,5,0,2.0,2023-07-12
C0009,32,여성,대구,전자제품,89676.0,5,0,4.0,2021-05-11
C0099,62,남성,대구,전자제품,61875.0,6,0,4.0,2019-06-04
C0147,62,여성,광주,전자제품,41655.0,8,0,3.0,2022-12-17
C0048,67,여성,광주,식품,53472.0,2,0,5.0,2021-06-23
C0131,30,남성,부산,가구,59437.0,6,0,4.0,2022-06-23
C0148,66,남성,부산,도서,59416.0,1,0,2.0,2020-02-09
C0152,42,남성,대구,전자제품,69711.0,4,1,2.0,2021-04-23
C0054,35,남성,서울,식품,16816.0,3,0,3.0,2023-11-18
C0120,50,여성,광주,식품,87175.0,9,0,4.0,2023-04-14
C0161,30,여성,부산,식품,74307.0,3,1,1.0,2022-03-30
C0152,35,남성,대구,가구,56733.0,6,0,4.0,2021-01-16
C0116,27,여성,부산,도서,21240.0,1,1,4.0,2023-09-22
C0075,23,여성,광주,가구,81363.0,6,0,2.0,2022-02-14
C0113,59,여성,광주,의류,42762.0,4,0,4.0,2019-09-28
C0200,23,여성,인천,식품,18259.0,8,0,5.0,2021-02-08
C0164,44,남성,서울,의류,60139.0,9,0,1.0,2023-09-12
C0166,22,남성,인천,전자제품,24849.0,4,0,3.0,2023-02-19
C0104,51,여성,대구,전자제품,91768.0,6,1,3.0,2019-06-21
C0084,22,남성,부산,가구,99709.0,1,0,5.0,2019-10-01
C0112,46,남성,대구,도서,64869.0,4,0,,2019-09-16
C0099,48,남성,광주,의류,73095.0,7,0,3.0,2022-03-04
C0153,51,여성,인천,도서,80910.0,1,0,4.0,2023-09-03
C0093,69,여성,인천,가구,96710.0,8,0,3.0,2023-10-12
C0146,38,여성,인천,전자제품,33567.0,6,0,3.0,2023-11-07
C0128,40,남성,대구,도서,45292.0,5,0,3.0,2020-02-26
C0110,24,여성,광주,도서,84813.0,9,0,2.0,2022-12-15
C0082,37,여성,부산,전자제품,61631.0,2,0,3.0,2022-04-24
C0194,47,남성,부산,의류,19885.0,5,0,4.0,2019-12-30
C0054,61,여성,대구,전자제품,69659.0,6,0,1.0,2023-06-19
C0163,41,여성,인천,도서,64306.0,7,0,5.0,2020-01-13
C0189,40,남성,서울,의류,,5,0,2.0,2023-03-27
C0169,25,남성,대구,의류,75087.0,9,0,2.0,2020-08-02
C0161,20,남성,대구,전자제품,39165.0,1,0,3.0,2021-06-09
C0068,24,여성,광주,도서,68929.0,7,0,4.0,2020-12-22
C0033,60,여성,부산,가구,77028.0,7,0,1.0,2022-05-04
C0142,31,여성,대구,도서,59812.0,4,0,3.0,2021-05-30
C0021,45,남성,대구,식품,60500.0,9,0,,2022-01-26
C0048,65,남성,인천,가구,89151.0,5,0,3.0,2020-08-27
C0148,53,여성,인천,의류,68643.0,4,0,3.0,2019-01-22
C0128,68,여성,서울,가구,54900.0,7,0,4.0,2023-01-13
C0136,33,남성,광주,의류,52946.0,4,0,1.0,2022-04-10
C0135,45,남성,서울,의류,17851.0,3,0,3.0,2020-01-18
C0195,64,남성,인천,가구,26288.0,9,0,3.0,2019-05-14
C0145,46,남성,부산,의류,,8,0,3.0,2022-12-20
C0128,28,여성,인천,의류,77580.0,1,0,3.0,2021-11-14
C0033,45,남성,광주,식품,17368.0,7,0,1.0,2020-05-17
C0176,66,여성,인천,도서,95436.0,9,0,3.0,2022-04-23
C0187,41,여성,광주,도서,56403.0,8,0,1.0,2022-01-13
C0115,66,여성,광주,식품,19168.0,8,0,4.0,2023-05-10
C0119,49,남성,광주,가구,96497.0,6,0,3.0,2023-11-22
C0022,62,남성,광주,전자제품,59879.0,4,0,3.0,2019-05-24
C0158,67,남성,광주,전자제품,69871.0,8,0,5.0,2023-08-30
C0038,36,남성,부산,전자제품,99388.0,3,1,4.0,2022-12-06
C0109,45,여성,서울,식품,42174.0,9,0,1.0,2019-08-12
C0051,55,남성,대구,식품,16581.0,2,0,5.0,2019-08-08
C0182,20,남성,서울,의류,81853.0,2,1,2.0,2019-06-28
C0008,27,여성,광주,전자제품,74046.0,7,0,2.0,2023-07-13
C0027,68,남성,부산,가구,59678.0,4,1,4.0,2020-03-08
C0027,54,여성,인천,가구,36649.0,8,0,3.0,2019-09-22
C0021,34,여성,부산,전자제품,98668.0,9,0,3.0,2021-08-11
C0030,66,여성,광주,전자제품,92325.0,7,0,2.0,2020-03-04
C0097,41,여성,부산,전자제품,24567.0,5,0,3.0,2023-08-13
C0028,33,여성,부산,식품,90404.0,8,0,3.0,2020-02-20
C0111,45,여성,광주,식품,99906.0,4,0,5.0,2023-01-16
C0192,47,여성,부산,식품,71944.0,2,0,2.0,2020-12-27
C0197,42,여성,대구,도서,88002.0,6,0,5.0,2019-07-16
C0061,33,남성,대구,가구,38803.0,9,0,4.0,2023-04-27
C0048,43,남성,부산,가구,28230.0,1,0,4.0,2021-12-12
C0147,21,남성,인천,의류,27862.0,7,1,4.0,2020-04-24
C0004,64,남성,광주,식품,53355.0,9,0,4.0,2023-01-06
C0035,45,여성,대구,도서,41259.0,9,0,3.0,2022-09-15
C0192,33,남성,인천,도서,,3,0,2.0,2022-06-28
C0049,26,여성,부산,가구,40795.0,5,0,2.0,2021-06-08
C0017,22,남성,인천,식품,18770.0,8,0,5.0,2023-12-12
C0172,66,남성,서울,의류,21093.0,8,0,4.0,2021-07-13
C0158,42,남성,대구,식품,56571.0,4,0,3.0,2019-05-03
C0046,65,여성,부산,전자제품,10193.0,1,0,2.0,2022-11-11
C0117,62,남성,광주,식품,27569.0,1,0,3.0,2022-09-24
C0006,66,여성,부산,전자제품,21190.0,4,0,4.0,2021-02-16
C0099,64,여성,광주,전자제품,72824.0,6,0,3.0,2019-12-14
C0124,37,남성,부산,의류,52752.0,8,0,4.0,2019-01-29
C0037,57,남성,인천,가구,42327.0,6,0,,2021-09-01
C0024,54,남성,인천,식품,52070.0,9,0,2.0,2019-02-04
C0093,34,여성,인천,전자제품,95925.0,9,0,3.0,2023-03-22
C0046,44,남성,서울,식품,50197.0,2,0,3.0,2022-11-20
C0181,56,여성,광주,가구,12261.0,1,0,3.0,2020-09-14
C0095,47,여성,인천,가구,36512.0,2,0,2.0,2022-08-10
C0099,29,남성,서울,도서,16716.0,5,0,1.0,2020-08-11
C0188,58,남성,광주,가구,96795.0,4,0,5.0,2022-10-04
C0116,36,여성,부산,의류,,4,0,3.0,2022-03-16
C0191,58,여성,서울,전자제품,14378.0,9,0,3.0,2021-12-26
C0160,41,여성,대구,도서,50583.0,8,0,5.0,2021-06-22
C0161,45,남성,서울,의류,95371.0,6,0,4.0,2020-06-03
C0067,63,여성,서울,식품,39033.0,1,0,2.0,2019-05-02
C0128,44,남성,광주,전자제품,34000.0,2,0,4.0,2019-12-06
C0018,36,여성,부산,가구,85868.0,6,0,3.0,2019-06-24
C0025,32,여성,대구,전자제품,52604.0,2,0,4.0,2023-09-11
C0054,39,남성,인천,식품,78336.0,5,0,4.0,2020-08-19
C0058,44,여성,인천,도서,83869.0,5,0,4.0,2020-03-26
C0067,23,남성,서울,도서,15410.0,6,0,3.0,2020-07-10
C0104,29,남성,광주,도서,93375.0,6,0,4.0,2022-03-05
C0174,22,여성,광주,가구,66044.0,6,0,1.0,2021-11-05
C0024,60,남성,인천,의류,73315.0,2,0,2.0,2022-09-18
C0114,64,남성,대구,의류,81344.0,3,0,3.0,2022-05-03
C0032,37,여성,부산,전자제품,16796.0,6,0,1.0,2023-02-28
C0175,66,남성,대구,가구,96716.0,8,0,2.0,2019-01-09
C0086,55,남성,부산,도서,,1,0,4.0,2019-11-30
C0151,66,남성,인천,도서,53056.0,1,0,5.0,2022-09-18
