고객ID,상품ID,구매일,구매금액,구매수량,결제방식,리뷰작성,배송만족도,반품여부
C0268,P045,2023-06-05,100457.0,4,카드,1,2.0,0
C0033,P042,2023-11-09,193938.0,4,포인트,0,4.0,1
C0048,P025,2023-12-27,152977.0,2,포인트,0,4.0,0
C0062,P018,2023-05-16,50838.0,3,간편결제,1,3.0,0
C0216,P040,2022-04-27,94489.0,3,포인트,1,1.0,0
C0293,P008,2023-01-21,31806.0,2,간편결제,1,4.0,1
C0099,P039,2022-12-10,181072.0,4,포인트,1,3.0,0
C0172,P040,2023-08-07,75119.0,2,카드,0,4.0,0
C0214,P014,2023-01-30,190165.0,3,간편결제,1,3.0,0
C0035,P032,2022-03-05,110432.0,1,현금,1,3.0,0
C0227,P038,2023-12-18,182876.0,2,카드,0,2.0,0
C0101,P033,2023-12-22,89080.0,4,간편결제,1,1.0,0
C0131,P023,2022-03-13,257791.0,3,간편결제,0,4.0,0
C0257,P015,2022-10-01,82794.0,3,현금,0,5.0,0
C0005,P033,2022-11-16,297985.0,3,간편결제,1,4.0,1
C0218,P025,2022-12-04,129447.0,3,포인트,0,2.0,0
C0255,P017,2023-01-01,125029.0,4,현금,0,3.0,0
C0283,P033,2023-05-10,184830.0,1,카드,0,4.0,0
C0207,P047,2023-08-30,42643.0,3,카드,0,4.0,0
C0015,P002,2022-06-15,192921.0,2,포인트,0,2.0,0
C0042,P014,2023-06-28,164116.0,1,카드,0,1.0,0
C0179,P040,2022-01-11,20997.0,3,간편결제,1,4.0,0
C0063,P040,2022-10-28,103605.0,1,간편결제,0,3.0,0
C0231,P039,2023-12-30,230942.0,2,포인트,0,2.0,0
C0241,P006,2022-04-12,150643.0,3,카드,0,1.0,0
C0052,P006,2023-03-01,113255.0,2,카드,1,3.0,0
C0096,P003,2023-01-27,265298.0,4,포인트,0,5.0,0
C0222,P007,2022-08-02,63005.0,3,현금,1,,0
C0231,P008,2023-11-22,222322.0,3,카드,1,3.0,0
C0237,P042,2022-03-29,194784.0,3,현금,1,3.0,0
C0143,P015,2023-07-07,48541.0,3,카드,0,1.0,0
C0171,P047,2023-02-05,28387.0,4,카드,1,3.0,0
C0029,P029,2023-08-11,184980.0,3,카드,0,3.0,0
C0036,P033,2022-02-15,90457.0,1,카드,1,4.0,0
C0013,P030,2023-11-03,149129.0,3,간편결제,1,3.0,0
C0160,P039,2023-04-08,69028.0,4,현금,0,2.0,1
C0187,P027,2023-08-15,124246.0,3,현금,0,1.0,0
C0243,P036,2022-11-06,160930.0,1,카드,0,3.0,1
C0086,P029,2022-03-27,,4,카드,1,1.0,0
C0284,P038,2022-04-02,49638.0,4,현금,0,2.0,0
C0066,P033,2023-10-22,182558.0,1,간편결제,0,,0
C0170,P037,2023-11-04,25567.0,1,포인트,0,3.0,0
C0045,P027,2023-12-15,62804.0,1,포인트,1,3.0,0
C0062,P033,2022-08-30,8754.0,1,현금,1,5.0,0
C0134,P004,2022-01-02,32044.0,1,카드,1,,0
C0284,P022,2022-08-13,72260.0,4,카드,1,3.0,0
C0028,P002,2023-08-12,71912.0,4,간편결제,0,4.0,0
C0108,P010,2022-04-26,261695.0,3,포인트,0,3.0,0
C0044,P005,2023-10-28,,3,간편결제,1,3.0,0
C0286,P010,2022-04-13,276038.0,2,포인트,0,3.0,1
C0128,P033,2022-07-13,187684.0,3,현금,0,4.0,0
C0231,P038,2022-06-15,34725.0,3,포인트,0,4.0,0
C0190,P013,2022-03-31,141998.0,1,간편결제,0,3.0,0
C0225,P031,2023-11-17,109555.0,1,간편결제,0,2.0,0
C0283,P047,2022-05-02,266486.0,3,간편결제,1,4.0,0
C0121,P036,2022-05-23,,2,현금,0,2.0,0
C0116,P045,2022-04-16,61447.0,1,포인트,0,3.0,0
C0233,P024,2023-03-04,165878.0,3,포인트,0,4.0,0
C0259,P015,2022-11-01,46321.0,3,간편결제,1,4.0,0
C0198,P029,2022-11-13,258113.0,4,포인트,0,4.0,1
C0137,P008,2023-09-27,238103.0,2,카드,1,5.0,0
C0165,P005,2022-01-09,60147.0,4,카드,1,3.0,0
C0225,P029,2022-03-14,96396.0,2,카드,0,4.0,0
C0234,P047,2022-12-25,249839.0,1,포인트,1,4.0,0
C0172,P004,2022-08-11,26727.0,2,현금,1,2.0,0
C0152,P012,2023-02-20,244423.0,3,현금,1,1.0,0
C0160,P045,2023-07-07,100081.0,3,현금,1,2.0,0
C0096,P002,2023-01-05,246130.0,2,현금,0,3.0,0
C0233,P027,2023-12-17,73056.0,2,카드,0,4.0,0
C0180,P031,2022-09-21,139153.0,2,카드,0,4.0,0
C0113,P036,2023-11-21,170268.0,4,간편결제,0,2.0,0
C0052,P036,2022-11-14,172807.0,2,포인트,1,2.0,0
C0268,P026,2022-03-25,240821.0,1,포인트,0,,0
C0295,P043,2022-11-14,85102.0,4,현금,1,2.0,0
C0113,P027,2022-04-21,161570.0,4,카드,1,3.0,0
C0101,P005,2022-09-08,81865.0,2,현금,1,3.0,0
C0113,P020,2023-01-18,167728.0,1,간편결제,1,3.0,0
C0081,P011,2022-01-07,72695.0,4,포인트,0,1.0,0
C0187,P010,2023-04-04,122235.0,3,포인트,0,1.0,0
C0113,P040,2022-03-25,113777.0,4,현금,0,2.0,0
C0002,P038,2022-07-27,,2,간편결제,0,3.0,0
C0130,P006,2023-01-25,146877.0,1,포인트,0,3.0,0
C0220,P008,2022-11-10,171923.0,2,간편결제,0,2.0,0
C0054,P023,2022-01-22,31832.0,3,간편결제,1,4.0,0
C0224,P047,2023-02-14,199509.0,3,현금,0,4.0,0
C0225,P026,2023-05-30,150016.0,3,카드,0,1.0,0
C0126,P046,2022-05-07,287017.0,2,현금,1,3.0,0
C0130,P043,2023-12-01,45372.0,4,카드,0,4.0,0
C0053,P012,2022-01-14,94464.0,2,간편결제,0,2.0,0
C0172,P026,2022-01-12,,1,카드,1,3.0,0
C0218,P013,2022-03-28,122322.0,4,간편결제,1,4.0,0
C0160,P040,2023-06-08,172823.0,3,포인트,1,5.0,1
C0198,P018,2023-06-21,225894.0,2,포인트,0,4.0,0
C0247,P025,2022-10-28,272254.0,3,포인트,1,3.0,1
C0203,P033,2022-08-31,279231.0,3,현금,1,4.0,0
C0184,P047,2022-05-02,105483.0,1,현금,0,3.0,0
C0123,P040,2022-05-27,14596.0,4,간편결제,1,4.0,0
C0255,P043,2023-07-21,,1,포인트,1,3.0,0
C0294,P012,2022-12-22,112539.0,1,현금,0,2.0,0
C0280,P044,2023-11-16,23313.0,1,포인트,0,4.0,0
C0098,P036,2023-09-23,202621.0,3,현금,1,3.0,0
C0198,P048,2022-11-05,119914.0,1,카드,1,3.0,0
C0240,P004,2023-11-26,28705.0,1,카드,0,5.0,0
C0144,P005,2022-10-15,203436.0,4,포인트,1,1.0,0
C0097,P037,2022-11-03,108892.0,4,간편결제,0,3.0,0
C0201,P008,2023-08-17,214717.0,1,현금,0,1.0,0
C0124,P042,2023-12-24,269167.0,4,현금,0,4.0,1
C0187,P049,2023-10-24,,4,카드,1,4.0,0
C0259,P028,2023-07-03,195868.0,1,카드,1,3.0,1
C0148,P031,2022-12-18,,3,간편결제,0,4.0,0
C0252,P009,2022-11-08,69429.0,1,간편결제,0,3.0,0
C0147,P029,2022-02-28,109195.0,4,간편결제,0,4.0,0
C0148,P014,2023-10-05,197699.0,3,포인트,1,3.0,0
C0199,P040,2023-12-15,38848.0,2,카드,1,3.0,0
C0128,P041,2022-02-04,294910.0,3,포인트,1,5.0,0
C0039,P022,2023-03-21,73099.0,4,카드,1,2.0,0
C0129,P011,2022-04-03,74122.0,3,카드,1,2.0,0
C0267,P023,2022-07-26,152159.0,1,현금,0,3.0,0
C0151,P001,2022-12-19,53868.0,2,카드,0,,0
C0298,P046,2022-11-28,124119.0,2,카드,0,3.0,0
C0099,P037,2023-12-26,273787.0,2,포인트,1,1.0,0
C0263,P021,2022-06-08,114079.0,4,카드,1,3.0,0
C0252,P026,2022-01-24,21029.0,4,포인트,0,3.0,0
C0144,P046,2023-02-08,251353.0,2,간편결제,1,2.0,0
C0112,P036,2023-05-31,199718.0,3,카드,0,4.0,0
C0060,P023,2022-12-30,73926.0,2,카드,0,,0
C0002,P001,2023-01-17,142069.0,3,포인트,1,3.0,0
C0254,P040,2023-06-16,47092.0,3,간편결제,1,3.0,0
C0140,P015,2022-06-01,157889.0,4,현금,1,3.0,0
C0037,P021,2023-07-16,173933.0,3,간편결제,0,2.0,1
C0160,P047,2023-11-20,18428.0,2,포인트,0,5.0,1
C0009,P009,2023-08-31,180006.0,4,간편결제,1,3.0,0
C0233,P009,2023-09-09,251627.0,1,포인트,0,3.0,0
C0099,P010,2023-02-24,,1,포인트,0,4.0,0
C0147,P026,2022-09-07,146330.0,4,현금,1,3.0,0
C0208,P041,2022-04-27,62775.0,2,카드,0,4.0,0
C0131,P035,2023-05-27,217652.0,1,포인트,1,1.0,0
C0152,P025,2023-08-01,272613.0,1,포인트,1,4.0,1
C0054,P026,2022-12-01,295998.0,3,현금,0,5.0,0
C0120,P011,2023-02-22,142328.0,3,포인트,0,4.0,0
C0161,P038,2022-10-22,260158.0,2,카드,1,,0
C0116,P002,2023-01-06,81256.0,4,현금,1,2.0,0
C0075,P007,2022-07-05,137723.0,2,카드,1,3.0,0
C0113,P018,2022-09-03,186360.0,4,카드,1,4.0,1
C0104,P027,2023-09-29,294530.0,1,현금,1,3.0,0
C0254,P034,2022-09-25,247634.0,3,포인트,1,3.0,0
C0227,P027,2023-10-05,38787.0,2,카드,0,3.0,0
C0112,P017,2022-08-25,26621.0,2,카드,0,2.0,0
C0099,P043,2023-06-14,82984.0,4,카드,0,3.0,0
C0153,P044,2023-07-06,35447.0,4,카드,0,2.0,0
C0194,P024,2022-01-21,133046.0,2,현금,0,4.0,0
C0163,P025,2023-06-04,220002.0,4,현금,0,2.0,0
C0208,P007,2022-04-10,166326.0,2,간편결제,1,1.0,0
C0169,P006,2023-04-23,121859.0,2,간편결제,0,3.0,0
C0161,P024,2023-08-22,193490.0,2,카드,0,3.0,0
C0068,P033,2022-10-25,8471.0,1,포인트,0,5.0,0
C0289,P049,2023-06-10,243404.0,4,카드,0,3.0,0
C0277,P029,2022-11-30,125312.0,3,포인트,0,3.0,0
C0135,P043,2022-01-02,231876.0,3,카드,0,4.0,0
C0195,P022,2023-01-10,144401.0,4,간편결제,0,3.0,0
C0128,P026,2022-10-20,170937.0,2,간편결제,1,1.0,0
C0033,P028,2023-07-07,51850.0,3,포인트,1,3.0,0
C0176,P050,2022-11-14,248306.0,3,카드,1,5.0,0
C0022,P021,2023-05-17,98808.0,4,포인트,1,3.0,0
C0238,P049,2023-01-16,142469.0,3,간편결제,0,2.0,0
C0158,P007,2023-09-15,233981.0,2,카드,1,2.0,0
C0038,P017,2022-01-14,171597.0,4,카드,1,2.0,0
C0230,P020,2023-05-19,58072.0,2,포인트,0,3.0,0
C0051,P041,2022-08-19,226178.0,3,현금,1,3.0,0
C0264,P049,2022-03-25,88820.0,3,포인트,0,1.0,0
C0283,P020,2022-05-10,28284.0,2,간편결제,1,5.0,0
C0027,P022,2022-05-25,88369.0,1,간편결제,1,4.0,0
C0226,P028,2022-01-28,292266.0,3,간편결제,0,3.0,0
C0277,P040,2022-03-07,217978.0,1,간편결제,1,4.0,0
C0286,P049,2022-06-12,67812.0,3,간편결제,1,1.0,0
C0097,P007,2022-08-17,275143.0,1,현금,1,3.0,0
C0284,P001,2022-09-18,289580.0,1,카드,0,4.0,0
C0147,P032,2023-03-25,138168.0,1,포인트,1,4.0,0
C0004,P013,2023-02-28,249809.0,2,포인트,0,4.0,1
C0035,P030,2023-04-05,257164.0,1,간편결제,0,2.0,1
C0192,P023,2023-11-07,250317.0,1,포인트,0,5.0,0
C0049,P019,2022-10-28,293345.0,1,간편결제,1,2.0,0
C0017,P032,2022-10-30,155787.0,3,현금,1,5.0,0
C0172,P030,2022-10-14,165381.0,1,현금,1,,0
C0220,P029,2023-01-30,151150.0,3,카드,1,2.0,0
C0158,P049,2022-01-10,10105.0,1,현금,0,4.0,0
C0046,P045,2023-12-08,269983.0,1,현금,0,1.0,0
C0006,P029,2023-09-22,73920.0,2,카드,0,3.0,0
C0099,P030,2022-09-27,47821.0,3,포인트,0,3.0,0
C0233,P016,2023-08-15,130736.0,1,간편결제,0,3.0,0
C0037,P040,2023-08-28,22069.0,3,간편결제,0,5.0,1
C0280,P019,2022-12-27,12531.0,3,포인트,0,4.0,0
C0181,P018,2022-09-14,143808.0,4,카드,0,3.0,0
C0095,P001,2022-05-13,143782.0,2,포인트,0,4.0,1
C0099,P014,2022-10-03,72155.0,2,현금,0,,0
C0188,P047,2023-11-14,67424.0,2,카드,1,1.0,0
C0116,P050,2023-05-28,137503.0,4,카드,1,,0
C0191,P002,2022-11-09,,4,카드,1,1.0,0
C0253,P028,2023-07-30,173553.0,2,간편결제,0,4.0,0
C0161,P049,2022-10-11,145629.0,4,포인트,0,2.0,0
C0256,P050,2022-05-01,136234.0,4,카드,1,2.0,0
C0128,P030,2022-04-17,24675.0,4,카드,0,3.0,0
C0018,P038,2023-11-18,78997.0,2,카드,0,4.0,0
C0281,P004,2022-07-23,153087.0,2,포인트,0,3.0,1
C0223,P001,2022-06-14,236390.0,2,간편결제,0,1.0,0
C0054,P008,2022-11-01,145905.0,4,현금,0,3.0,0
C0058,P029,2023-05-12,,2,간편결제,0,5.0,0
C0174,P039,2023-09-24,256435.0,4,카드,1,3.0,0
C0280,P003,2023-07-10,46800.0,1,간편결제,0,2.0,1
C0114,P032,2022-06-05,101044.0,4,간편결제,0,3.0,0
C0288,P010,2023-01-02,272491.0,3,현금,1,1.0,0
C0151,P010,2023-12-20,195135.0,2,포인트,0,4.0,0
C0127,P019,2023-09-12,138715.0,2,포인트,0,4.0,0
C0155,P046,2022-09-08,285825.0,3,간편결제,1,3.0,0
C0273,P034,2022-11-30,22073.0,4,간편결제,0,3.0,0
C0104,P033,2023-10-04,35682.0,1,포인트,0,4.0,0
C0299,P023,2023-05-26,,3,포인트,0,3.0,0
C0246,P028,2022-10-20,232966.0,3,현금,0,4.0,0
C0176,P032,2022-01-20,120359.0,4,카드,0,4.0,0
C0039,P050,2022-10-09,71707.0,2,간편결제,1,4.0,0
C0170,P007,2022-01-01,256351.0,4,포인트,0,3.0,0
C0247,P029,2022-04-29,243511.0,3,간편결제,0,3.0,1
C0026,P008,2022-02-04,240718.0,3,간편결제,0,,0
C0013,P001,2022-07-17,70428.0,2,포인트,0,3.0,0
C0036,P003,2023-04-30,55601.0,2,현금,1,4.0,0
C0173,P024,2022-02-28,116487.0,2,간편결제,0,2.0,0
C0020,P023,2022-06-10,158741.0,4,현금,0,4.0,0
C0264,P008,2023-11-22,256924.0,2,포인트,0,3.0,0
C0142,P047,2022-07-25,264153.0,3,카드,0,2.0,0
C0143,P037,2022-01-12,295372.0,3,카드,0,1.0,0
C0092,P003,2023-05-05,254430.0,1,간편결제,1,4.0,0
C0288,P033,2022-10-03,127788.0,4,포인트,0,4.0,0
C0215,P028,2023-11-24,102239.0,1,현금,0,3.0,0
C0051,P047,2022-08-30,31928.0,3,간편결제,0,2.0,0
C0153,P008,2022-08-04,285466.0,1,포인트,1,4.0,1
C0186,P034,2022-09-08,67292.0,3,포인트,0,1.0,0
C0063,P035,2022-05-06,34055.0,1,현금,1,3.0,0
C0190,P032,2022-08-05,86912.0,2,간편결제,1,2.0,0
C0125,P024,2022-11-02,142660.0,1,포인트,1,2.0,0
C0150,P014,2022-07-04,273448.0,2,포인트,0,2.0,0
C0058,P032,2022-02-08,12345.0,2,포인트,0,3.0,0
C0180,P046,2022-08-11,165372.0,4,현금,1,1.0,0
C0170,P043,2022-07-03,96006.0,2,간편결제,1,3.0,0
C0271,P016,2023-05-10,134350.0,2,간편결제,1,3.0,0
C0054,P004,2023-03-03,169437.0,1,간편결제,0,3.0,0
C0101,P037,2022-06-27,286590.0,3,간편결제,0,3.0,0
C0264,P021,2023-03-04,269480.0,4,카드,0,4.0,0
C0053,P014,2022-10-21,211487.0,2,카드,1,2.0,0
C0060,P031,2022-05-31,102852.0,4,간편결제,0,3.0,1
C0108,P048,2023-01-19,143593.0,1,현금,0,1.0,0
C0005,P018,2023-09-30,207779.0,2,카드,1,1.0,0
C0103,P007,2022-11-04,159553.0,1,포인트,0,3.0,0
C0196,P010,2022-12-02,285618.0,4,카드,1,3.0,1
C0262,P007,2023-01-10,182832.0,1,포인트,0,5.0,0
C0047,P033,2022-01-08,50232.0,4,간편결제,0,3.0,1
C0144,P023,2022-12-07,264013.0,1,카드,0,,0
C0269,P021,2022-05-09,214093.0,4,현금,1,1.0,0
C0124,P019,2023-10-31,184017.0,3,카드,0,1.0,1
C0106,P048,2022-12-18,18140.0,1,카드,0,1.0,0
C0158,P019,2022-12-24,88457.0,1,카드,1,2.0,0
C0147,P036,2023-06-01,19357.0,3,간편결제,0,3.0,0
C0145,P029,2023-05-10,116672.0,3,현금,0,4.0,0
C0120,P018,2022-03-27,126673.0,1,카드,0,1.0,1
C0275,P002,2022-06-24,70633.0,3,현금,0,5.0,0
C0092,P001,2022-07-12,213015.0,2,간편결제,1,4.0,0
C0058,P047,2022-11-07,101111.0,4,포인트,0,2.0,0
C0229,P005,2022-04-29,74286.0,4,카드,0,1.0,0
C0117,P020,2022-08-06,98269.0,4,현금,0,2.0,0
C0279,P011,2023-03-03,263635.0,2,현금,1,2.0,0
C0127,P042,2023-02-18,79071.0,3,간편결제,0,2.0,0
C0129,P002,2022-04-24,226095.0,3,카드,0,3.0,1
C0058,P003,2022-05-25,35651.0,1,포인트,0,2.0,0
C0122,P023,2023-06-22,75202.0,3,현금,0,3.0,0
C0001,P012,2023-10-10,53777.0,1,카드,0,,1
C0239,P020,2022-10-30,153066.0,2,포인트,0,4.0,0
C0290,P005,2023-08-11,195706.0,4,현금,1,5.0,0
C0096,P037,2022-12-11,,4,현금,0,2.0,0
C0126,P038,2022-01-01,277944.0,4,포인트,1,3.0,0
C0118,P030,2022-05-27,244647.0,3,포인트,1,3.0,0
C0048,P009,2022-10-14,285852.0,1,간편결제,0,1.0,1
C0089,P034,2023-10-16,148891.0,1,카드,0,1.0,0
C0237,P044,2022-02-22,210977.0,2,카드,0,4.0,0
C0272,P035,2022-10-31,68870.0,3,간편결제,1,4.0,0
C0189,P022,2022-03-10,14283.0,2,현금,0,3.0,0
C0192,P044,2022-12-27,166645.0,1,포인트,0,3.0,0
C0069,P024,2023-08-25,,1,포인트,0,3.0,0
C0278,P017,2022-08-08,208127.0,4,포인트,1,1.0,0
C0247,P010,2023-12-05,147055.0,3,현금,1,3.0,0
C0076,P030,2023-07-29,101468.0,1,포인트,0,2.0,0
C0154,P046,2023-08-08,285277.0,4,포인트,1,1.0,0
C0144,P023,2022-06-10,5781.0,3,간편결제,0,,0
C0086,P032,2023-11-12,119586.0,2,현금,0,3.0,0
C0185,P017,2022-03-30,294768.0,3,카드,1,4.0,0
C0285,P050,2023-11-19,11823.0,3,간편결제,0,3.0,0
C0220,P017,2023-08-08,23489.0,1,간편결제,0,3.0,0
C0069,P014,2023-08-12,176033.0,1,카드,0,2.0,0
C0047,P009,2022-06-08,296262.0,3,간편결제,1,1.0,0
C0094,P040,2023-05-04,105417.0,1,현금,1,2.0,0
C0238,P002,2022-11-20,86816.0,1,포인트,1,4.0,0
C0204,P045,2023-09-02,158335.0,1,현금,1,4.0,0
C0218,P025,2023-01-16,280709.0,4,카드,0,3.0,0
C0039,P039,2022-04-12,156426.0,4,카드,0,3.0,0
C0100,P009,2023-05-09,,3,간편결제,0,5.0,0
C0289,P022,2023-10-06,28648.0,1,현금,0,1.0,0
C0254,P043,2023-09-06,46971.0,4,현금,0,2.0,0
C0222,P046,2022-01-19,23658.0,3,카드,1,3.0,0
C0023,P004,2023-03-30,26253.0,1,현금,0,4.0,0
C0250,P026,2023-04-27,184635.0,2,카드,0,,0
C0010,P029,2023-08-17,162462.0,1,현금,0,2.0,0
C0246,P045,2023-02-01,,1,현금,0,5.0,1
C0100,P034,2022-10-06,215097.0,4,현금,1,4.0,0
C0290,P023,2022-12-31,108850.0,3,카드,0,2.0,0
C0180,P037,2022-11-27,142924.0,3,간편결제,0,3.0,1
C0223,P011,2023-10-03,231058.0,4,현금,1,3.0,0
C0250,P006,2022-12-10,138623.0,1,카드,0,,0
C0147,P018,2023-03-31,66001.0,2,카드,0,2.0,0
C0096,P021,2023-08-24,185231.0,1,현금,0,4.0,0
C0257,P042,2023-12-26,127775.0,1,현금,0,3.0,0
C0004,P036,2023-10-17,38243.0,2,간편결제,1,4.0,0
C0016,P041,2022-03-06,157872.0,4,카드,1,3.0,0
C0280,P038,2022-03-17,266716.0,3,카드,0,3.0,1
C0247,P034,2023-12-12,273854.0,4,포인트,1,4.0,0
C0258,P017,2022-05-23,176918.0,4,카드,0,4.0,0
C0160,P037,2023-08-28,224055.0,1,간편결제,0,5.0,0
C0152,P025,2023-04-18,215129.0,3,포인트,0,1.0,0
C0178,P038,2023-02-21,213139.0,3,포인트,0,4.0,0
C0163,P012,2022-11-01,85257.0,4,포인트,0,2.0,0
C0033,P023,2023-05-12,11530.0,2,현금,1,3.0,0
C0179,P042,2022-10-18,278260.0,4,현금,1,3.0,0
C0101,P022,2022-04-12,70794.0,2,카드,0,3.0,0
C0268,P021,2022-09-24,215545.0,3,포인트,0,3.0,0
C0065,P027,2023-09-14,137970.0,4,간편결제,0,,0
C0168,P031,2022-01-03,9135.0,1,현금,0,2.0,0
C0043,P006,2022-03-26,255870.0,4,간편결제,0,4.0,1
C0044,P027,2022-11-24,,3,간편결제,0,3.0,0
C0285,P040,2023-03-26,201103.0,1,현금,1,2.0,0
C0012,P034,2023-03-30,284215.0,1,현금,0,2.0,0
C0095,P012,2023-09-21,25074.0,2,현금,0,5.0,0
C0253,P045,2022-08-09,,1,현금,0,5.0,0
C0242,P007,2022-06-03,72843.0,1,포인트,0,5.0,0
