고객ID,연령,성별,지역,카테고리,구매금액,구매수량,리뷰점수,불만제기,구매일자,연도
4325,61,남성,부산,의류,292017.0,6,4.7,1,2022-11-12,2022
6352,51,남성,부산,식품,50372.0,4,3.3,0,2022-05-10,2022
3834,27,남성,대구,가구,99464.0,5,3.2,0,2022-07-10,2022
6075,53,남성,대구,전자제품,156451.0,8,,0,2022-09-02,2022
1098,31,남성,서울,가구,127322.0,3,2.5,0,2021-04-19,2021
4556,48,여성,인천,도서,177823.0,3,4.6,0,2022-01-07,2022
8412,65,남성,광주,전자제품,372226.0,4,3.7,0,2023-05-05,2023
6815,32,남성,부산,도서,230894.0,1,4.1,0,2022-09-08,2022
8963,25,남성,서울,식품,277254.0,9,2.8,1,2023-02-07,2023
1774,31,여성,서울,전자제품,457557.0,8,3.5,0,2021-07-25,2021
1710,40,여성,부산,도서,284231.0,8,2.0,0,2023-04-27,2023
7015,57,남성,광주,식품,426978.0,6,3.8,0,2021-02-12,2021
4010,38,여성,서울,가구,,7,2.7,0,2023-05-15,2023
9423,33,남성,서울,식품,110483.0,6,2.8,0,2023-02-24,2023
2118,62,남성,인천,의류,19596.0,9,3.6,0,2022-04-21,2022
7644,35,여성,광주,식품,244627.0,3,4.7,0,2021-03-24,2021
6668,64,남성,서울,식품,117539.0,3,1.3,0,2021-07-09,2021
9919,41,여성,광주,의류,28313.0,3,4.3,0,2023-03-11,2023
5674,43,여성,부산,도서,385319.0,3,2.2,1,2023-07-25,2023
6763,42,남성,대구,도서,207621.0,9,2.8,0,2021-09-08,2021
2777,62,남성,서울,식품,124914.0,4,1.1,0,2021-10-18,2021
9431,58,여성,인천,의류,33705.0,7,2.2,0,2021-11-22,2021
5524,46,남성,부산,의류,208436.0,9,3.0,0,2023-04-17,2023
8884,32,남성,광주,가구,,7,1.2,0,2022-05-23,2022
1621,62,남성,부산,도서,113892.0,9,3.0,0,2023-01-01,2023
6305,18,여성,서울,전자제품,219717.0,3,4.7,0,2021-03-13,2021
4492,42,여성,광주,도서,274167.0,4,1.4,0,2022-10-03,2022
1143,24,남성,대구,도서,129654.0,8,4.1,0,2023-07-29,2023
7043,26,여성,부산,가구,200868.0,6,2.6,0,2022-08-31,2022
2567,41,여성,서울,전자제품,90073.0,5,3.6,0,2022-07-20,2022
2331,18,여성,인천,가구,364341.0,4,2.0,0,2021-02-23,2021
5008,61,여성,광주,전자제품,74429.0,8,1.6,0,2022-06-12,2022
2194,25,여성,부산,식품,114195.0,1,1.6,0,2022-09-03,2022
6914,41,남성,부산,전자제품,202699.0,9,1.3,0,2021-07-12,2021
9208,28,남성,대구,가구,43848.0,1,1.7,0,2021-02-27,2021
5454,68,남성,대구,도서,441020.0,8,3.7,0,2021-05-09,2021
2251,34,여성,인천,전자제품,418595.0,4,4.5,0,2022-12-07,2022
8422,25,여성,인천,전자제품,462880.0,9,4.3,0,2023-05-02,2023
5841,52,남성,서울,의류,299910.0,5,3.7,0,2021-01-08,2021
1245,52,여성,서울,도서,78099.0,3,1.4,0,2021-01-29,2021
4733,50,남성,인천,식품,439276.0,9,2.2,0,2023-08-05,2023
7102,22,남성,인천,가구,,9,,0,2021-05-11,2021
5916,59,남성,광주,식품,79122.0,4,2.0,0,2021-07-07,2021
5787,56,여성,대구,도서,157159.0,4,3.1,0,2022-12-10,2022
2776,58,여성,서울,전자제품,58868.0,8,,0,2021-07-31,2021
6149,45,남성,대구,전자제품,129119.0,2,2.4,1,2021-10-03,2021
4688,24,남성,대구,도서,426441.0,9,2.4,0,2021-08-31,2021
6610,26,남성,인천,전자제품,367430.0,6,4.3,0,2023-09-14,2023
9248,25,남성,광주,전자제품,278787.0,9,4.2,0,2022-11-16,2022
7734,29,여성,부산,전자제품,496275.0,8,2.2,0,2021-06-20,2021
9676,51,여성,광주,가구,308871.0,7,4.7,0,2022-10-15,2022
4532,50,남성,광주,가구,,1,,0,2021-07-07,2021
5037,65,남성,대구,의류,119079.0,3,2.3,0,2021-02-21,2021
6880,40,여성,광주,식품,337841.0,2,2.4,0,2021-04-21,2021
6065,41,여성,서울,도서,26029.0,5,3.0,0,2023-05-27,2023
9397,54,남성,대구,도서,256353.0,5,4.8,1,2023-12-03,2023
4065,52,남성,서울,도서,417442.0,5,4.5,0,2021-07-30,2021
5613,61,남성,부산,의류,204718.0,4,1.4,1,2023-05-08,2023
9283,57,여성,대구,가구,463819.0,5,2.6,0,2022-09-19,2022
9105,39,여성,부산,의류,431947.0,3,3.2,0,2023-11-16,2023
7552,44,여성,대구,도서,,1,3.0,0,2021-10-26,2021
6810,52,남성,인천,식품,382528.0,5,1.8,0,2023-07-13,2023
9574,18,남성,광주,전자제품,78926.0,9,,0,2021-05-17,2021
8590,52,여성,인천,가구,147069.0,9,3.7,1,2023-11-10,2023
5323,54,여성,부산,가구,327650.0,4,4.4,1,2022-03-16,2022
3786,64,남성,광주,의류,350373.0,3,4.4,0,2021-07-30,2021
5743,31,여성,대구,가구,453031.0,1,4.0,0,2023-01-22,2023
1616,20,여성,광주,도서,52092.0,2,,0,2022-03-11,2022
2680,18,남성,서울,도서,334683.0,8,3.4,1,2023-02-19,2023
6357,22,여성,광주,의류,469293.0,1,1.6,0,2022-03-15,2022
4345,43,남성,서울,도서,162889.0,8,3.7,0,2022-10-28,2022
5871,31,남성,광주,식품,,7,1.7,0,2023-12-02,2023
1797,56,남성,서울,의류,23428.0,8,3.8,0,2022-02-15,2022
5001,44,남성,부산,식품,,6,,1,2023-03-17,2023
7629,26,남성,인천,전자제품,256627.0,9,1.5,0,2022-09-02,2022
2216,32,남성,대구,식품,255439.0,3,1.7,0,2022-03-03,2022
2082,32,남성,광주,전자제품,151330.0,4,1.0,0,2023-06-21,2023
8703,43,여성,인천,전자제품,67775.0,6,3.9,0,2023-07-31,2023
8562,59,남성,대구,식품,,8,,0,2023-01-12,2023
2637,30,남성,대구,의류,498163.0,5,3.1,0,2021-11-24,2021
6029,68,여성,서울,도서,277613.0,3,1.6,0,2021-02-21,2021
8227,49,여성,부산,도서,300998.0,6,1.3,1,2022-01-11,2022
7532,56,여성,부산,전자제품,147328.0,4,1.1,0,2021-09-20,2021
5910,66,남성,인천,전자제품,265158.0,9,1.7,0,2021-09-24,2021
9400,69,여성,부산,의류,86256.0,3,4.6,1,2021-12-25,2021
3007,49,남성,광주,가구,437153.0,4,2.0,0,2022-10-14,2022
7237,21,남성,부산,식품,371278.0,7,2.4,0,2021-02-15,2021
8483,47,남성,인천,전자제품,142723.0,7,1.4,0,2022-08-23,2022
5834,54,남성,부산,도서,191360.0,4,1.9,0,2022-12-21,2022
6569,40,여성,광주,의류,356874.0,6,3.1,0,2022-08-24,2022
5117,56,여성,서울,식품,428267.0,3,3.4,1,2022-01-16,2022
3977,62,남성,인천,의류,299530.0,6,2.0,0,2021-04-28,2021
7413,32,남성,서울,식품,478270.0,2,1.2,0,2021-04-26,2021
2581,60,남성,서울,식품,252634.0,8,2.6,0,2021-09-17,2021
7902,46,여성,서울,전자제품,419400.0,2,1.9,0,2021-11-01,2021
6560,53,남성,대구,의류,43787.0,7,1.9,0,2021-01-07,2021
4831,30,남성,대구,의류,31621.0,9,4.8,0,2022-01-01,2022
4343,49,여성,서울,도서,478780.0,1,3.5,0,2022-06-07,2022
1352,24,여성,인천,도서,87984.0,8,3.2,0,2022-03-05,2022
6833,68,남성,광주,전자제품,463008.0,7,2.7,1,2023-03-02,2023
5588,39,여성,광주,전자제품,448469.0,6,2.7,0,2023-01-17,2023
8767,45,여성,부산,가구,306195.0,6,3.2,0,2022-01-02,2022
6181,19,남성,인천,도서,321955.0,6,3.8,0,2021-11-09,2021
2442,59,여성,대구,식품,40447.0,9,3.8,0,2022-06-22,2022
4494,62,남성,서울,의류,138046.0,2,1.7,0,2023-07-10,2023
1220,23,여성,부산,전자제품,225002.0,1,3.0,0,2023-12-14,2023
5938,45,남성,광주,의류,,6,2.6,0,2023-05-15,2023
4104,45,남성,대구,의류,356189.0,8,4.5,0,2023-02-21,2023
1606,61,남성,대구,가구,126859.0,3,3.5,1,2021-11-30,2021
8150,61,여성,서울,도서,198490.0,1,3.1,1,2023-03-09,2023
6220,37,남성,광주,전자제품,417688.0,9,1.5,1,2021-12-14,2021
5843,47,여성,인천,의류,13471.0,1,3.4,0,2021-09-30,2021
7828,28,남성,대구,전자제품,248404.0,3,1.5,0,2023-08-21,2023
1545,45,남성,서울,식품,130312.0,8,2.3,0,2022-12-21,2022
7274,42,여성,인천,가구,236876.0,3,1.6,0,2022-05-15,2022
3056,56,남성,광주,식품,149401.0,4,3.8,0,2022-11-16,2022
9837,50,남성,대구,전자제품,175937.0,8,1.8,0,2021-03-20,2021
5421,18,여성,인천,전자제품,56850.0,1,2.6,0,2022-09-14,2022
7977,44,남성,인천,도서,326364.0,6,4.6,0,2023-08-05,2023
7833,69,남성,인천,의류,253306.0,1,1.8,0,2021-12-24,2021
1991,30,남성,대구,의류,103808.0,1,,0,2022-09-10,2022
6931,58,남성,대구,식품,147469.0,8,2.7,0,2022-05-22,2022
9075,20,여성,부산,가구,238981.0,4,1.1,0,2022-07-30,2022
9221,56,여성,광주,의류,176597.0,1,4.2,0,2021-09-01,2021
5254,23,남성,서울,도서,63072.0,7,1.3,0,2022-05-21,2022
7797,25,여성,인천,식품,,5,2.9,0,2022-02-26,2022
3106,44,남성,부산,식품,93820.0,5,3.2,0,2021-08-05,2021
6440,26,여성,서울,도서,487746.0,1,3.5,0,2023-10-06,2023
1709,54,남성,부산,가구,33284.0,6,3.8,0,2021-11-26,2021
7052,50,남성,대구,도서,464546.0,9,2.0,0,2022-10-12,2022
2377,68,남성,인천,가구,93369.0,9,1.0,1,2022-01-26,2022
3270,59,남성,서울,도서,297266.0,8,3.9,0,2022-01-16,2022
3070,61,남성,서울,도서,402493.0,5,3.1,0,2023-01-12,2023
3423,41,남성,서울,전자제품,,1,4.3,0,2023-03-31,2023
5104,32,여성,서울,식품,,9,4.3,1,2022-11-04,2022
7684,49,남성,서울,도서,366932.0,1,,0,2022-05-28,2022
9858,49,여성,부산,도서,72812.0,8,2.9,0,2023-08-07,2023
9833,41,남성,인천,의류,280143.0,5,2.3,0,2023-07-19,2023
8972,58,여성,대구,식품,294580.0,3,4.2,1,2023-07-02,2023
9762,69,여성,대구,의류,315107.0,7,,0,2022-10-06,2022
8765,66,여성,대구,식품,143168.0,7,1.7,0,2022-03-03,2022
7205,66,남성,대구,의류,254809.0,9,4.4,0,2022-05-17,2022
9395,69,남성,부산,도서,428495.0,7,4.5,0,2022-12-31,2022
6005,29,여성,광주,도서,262164.0,3,2.9,0,2021-03-12,2021
6704,56,남성,인천,전자제품,381043.0,1,1.3,0,2022-04-23,2022
2560,19,여성,서울,의류,255317.0,8,2.6,0,2022-04-02,2022
7600,20,남성,광주,가구,298345.0,3,4.2,0,2021-07-08,2021
4846,66,여성,대구,전자제품,160787.0,8,4.6,0,2021-10-18,2021
4118,54,여성,광주,의류,170381.0,8,1.8,1,2023-07-09,2023
5352,66,남성,인천,의류,156150.0,5,1.3,0,2021-10-19,2021
9064,34,여성,서울,전자제품,459830.0,1,4.5,0,2023-01-26,2023
3626,66,남성,서울,도서,15105.0,7,2.6,0,2022-01-12,2022
4127,19,여성,인천,의류,389810.0,5,3.2,0,2022-05-23,2022
6470,19,여성,인천,도서,366992.0,8,4.9,0,2022-06-12,2022
4213,45,남성,대구,전자제품,274983.0,9,1.3,0,2022-07-13,2022
9829,40,남성,서울,도서,,7,3.6,0,2023-11-21,2023
4538,54,남성,광주,식품,,7,1.3,0,2021-09-17,2021
9633,49,여성,부산,가구,52821.0,1,2.5,0,2022-02-25,2022
8182,50,남성,부산,의류,135736.0,4,4.2,0,2021-10-31,2021
2353,18,여성,인천,가구,416709.0,2,2.7,0,2023-07-31,2023
7343,36,여성,대구,도서,27069.0,2,5.0,1,2023-11-29,2023
1166,19,남성,부산,의류,17531.0,2,3.2,0,2022-06-26,2022
3825,61,남성,서울,도서,,4,2.3,1,2023-12-26,2023
9536,43,여성,인천,식품,148808.0,1,1.9,0,2021-04-18,2021
4825,49,여성,광주,전자제품,,4,2.4,1,2021-09-25,2021
2310,23,남성,인천,의류,77155.0,2,2.5,0,2021-08-10,2021
4452,49,남성,광주,식품,417191.0,5,1.3,0,2022-11-24,2022
6701,21,남성,인천,식품,72424.0,3,2.5,0,2021-09-12,2021
3633,28,남성,인천,의류,317747.0,8,2.9,0,2021-09-10,2021
1034,34,남성,인천,도서,426468.0,4,3.9,0,2021-09-14,2021
7836,55,여성,광주,식품,484013.0,1,3.6,0,2022-01-18,2022
2045,41,여성,광주,가구,142503.0,1,3.8,0,2022-03-18,2022
8250,22,여성,인천,식품,215675.0,3,1.0,0,2022-08-22,2022
3749,69,여성,부산,도서,178553.0,9,1.9,0,2022-01-25,2022
9259,51,남성,대구,도서,364717.0,7,3.6,0,2022-08-05,2022
4211,23,남성,대구,가구,150629.0,2,2.9,0,2023-12-04,2023
7776,39,남성,대구,식품,478187.0,9,,0,2022-08-21,2022
3089,28,여성,광주,도서,375446.0,2,,0,2021-01-19,2021
4996,65,여성,광주,의류,141234.0,3,4.1,0,2022-08-30,2022
2428,33,남성,부산,전자제품,,2,3.2,0,2021-02-02,2021
9323,50,남성,대구,전자제품,29675.0,3,1.3,0,2023-05-12,2023
2636,26,여성,대구,전자제품,83997.0,6,4.1,0,2021-06-04,2021
9701,23,여성,인천,식품,158087.0,9,3.3,0,2023-06-24,2023
2369,33,남성,광주,가구,453273.0,9,4.1,0,2022-02-09,2022
2324,46,남성,대구,도서,435807.0,7,4.0,0,2023-04-24,2023
7105,20,여성,부산,의류,496799.0,3,4.2,0,2023-01-17,2023
1480,37,남성,부산,의류,,4,3.1,0,2021-09-28,2021
1590,53,남성,대구,식품,150905.0,6,1.6,0,2023-02-09,2023
3397,36,남성,광주,전자제품,280040.0,5,,0,2021-06-21,2021
5667,43,여성,부산,식품,436188.0,2,3.5,0,2021-10-01,2021
1206,20,여성,인천,가구,321877.0,6,4.0,0,2021-09-16,2021
8172,36,여성,부산,가구,261435.0,3,1.7,0,2022-02-26,2022
3656,37,여성,서울,도서,51800.0,8,1.8,0,2021-12-30,2021
9657,49,여성,서울,도서,106044.0,2,4.6,0,2022-01-13,2022
6719,24,여성,광주,가구,277491.0,1,4.0,0,2022-08-03,2022
1391,69,여성,대구,가구,200135.0,9,4.6,1,2023-06-10,2023
6902,58,남성,광주,가구,499066.0,3,,0,2022-12-23,2022
5195,50,남성,광주,식품,143715.0,1,3.4,1,2023-05-31,2023
2275,57,남성,광주,가구,312929.0,7,3.6,0,2022-08-28,2022
5570,56,남성,광주,의류,290825.0,5,4.6,0,2021-01-22,2021
5405,35,남성,인천,전자제품,453242.0,5,3.3,0,2022-01-18,2022
2607,57,남성,인천,가구,376008.0,1,3.5,0,2021-05-14,2021
1047,18,남성,부산,전자제품,,9,1.6,0,2023-11-15,2023
9672,28,여성,서울,식품,319443.0,7,2.9,0,2022-05-18,2022
2697,45,여성,광주,전자제품,27073.0,8,3.9,0,2021-05-24,2021
4413,42,남성,부산,식품,374448.0,9,2.1,1,2021-08-12,2021
9887,67,남성,서울,의류,40682.0,6,1.8,0,2021-08-08,2021
7305,40,여성,대구,식품,238870.0,5,2.3,0,2021-06-28,2021
9730,48,남성,인천,식품,,6,2.0,0,2022-03-09,2022
3960,47,남성,서울,도서,396446.0,2,1.9,0,2021-09-22,2021
4611,59,여성,대구,가구,417505.0,4,2.7,0,2023-08-12,2023
6884,52,남성,서울,가구,125359.0,3,4.6,0,2022-03-05,2022
5458,24,여성,인천,의류,,7,3.0,1,2022-02-20,2022
7189,33,남성,인천,의류,451546.0,9,1.8,0,2022-12-28,2022
8529,43,여성,부산,가구,76707.0,5,1.3,0,2021-07-16,2021
1999,65,여성,광주,도서,261351.0,6,3.8,0,2023-12-13,2023
1335,69,여성,서울,가구,480670.0,2,,0,2022-04-25,2022
5893,66,남성,서울,도서,248511.0,3,,0,2023-06-09,2023
8948,19,여성,대구,의류,245718.0,3,3.6,0,2023-07-14,2023
6455,18,남성,인천,전자제품,75428.0,9,4.2,0,2021-05-03,2021
2002,65,남성,서울,의류,60601.0,7,2.1,0,2023-02-17,2023
4216,29,남성,인천,의류,480681.0,8,3.8,0,2021-12-14,2021
7638,22,남성,서울,식품,405755.0,9,2.1,0,2021-01-29,2021
1786,54,여성,부산,식품,121487.0,6,4.8,0,2023-09-02,2023
2233,49,여성,광주,식품,163741.0,4,3.5,0,2021-02-04,2021
6191,26,남성,서울,식품,474184.0,1,2.3,0,2022-09-15,2022
6090,58,남성,인천,도서,423860.0,8,2.1,0,2022-08-12,2022
5066,52,여성,부산,가구,421961.0,7,1.8,0,2023-12-27,2023
8427,36,남성,서울,전자제품,261924.0,2,3.8,0,2023-06-23,2023
8788,65,여성,대구,의류,269153.0,8,1.9,0,2022-06-04,2022
4830,33,남성,광주,도서,300372.0,5,3.4,0,2021-05-02,2021
3350,20,남성,서울,전자제품,259430.0,7,2.1,0,2021-12-06,2021
5347,37,여성,부산,도서,437737.0,4,3.6,0,2021-06-24,2021
8533,41,남성,대구,도서,132788.0,5,4.3,0,2022-08-20,2022
5807,50,여성,부산,의류,,8,4.1,0,2022-03-27,2022
6409,41,남성,부산,가구,36928.0,1,4.0,0,2022-07-11,2022
1912,69,남성,대구,식품,290466.0,1,1.8,1,2023-11-06,2023
2822,28,남성,부산,가구,460930.0,4,1.4,0,2021-01-09,2021
8808,66,여성,대구,의류,360040.0,3,3.8,0,2021-11-30,2021
8247,25,남성,서울,의류,72292.0,2,2.5,0,2023-10-14,2023
5315,53,남성,대구,의류,39055.0,3,2.7,0,2021-11-23,2021
1274,55,남성,대구,전자제품,315035.0,1,1.1,1,2021-01-15,2021
3976,57,남성,광주,가구,91912.0,1,2.0,0,2023-04-19,2023
5970,37,여성,대구,가구,147660.0,6,1.1,1,2021-08-14,2021
9227,52,여성,대구,도서,362680.0,5,4.5,1,2021-04-23,2021
6217,65,남성,서울,도서,278448.0,8,2.0,1,2021-01-01,2021
9308,42,여성,광주,도서,17345.0,2,3.2,0,2021-09-23,2021
7786,52,남성,인천,의류,170372.0,4,1.2,0,2023-08-10,2023
1526,42,남성,서울,가구,427475.0,8,3.7,0,2021-11-02,2021
5571,46,남성,서울,의류,101006.0,6,2.3,0,2021-01-12,2021
1056,35,여성,인천,전자제품,491769.0,1,4.6,0,2023-07-26,2023
6460,63,여성,대구,도서,418568.0,4,4.6,0,2022-02-24,2022
1707,35,여성,부산,의류,139350.0,1,2.3,0,2023-06-08,2023
8576,19,여성,광주,의류,,2,4.6,0,2021-06-20,2021
1282,52,여성,부산,전자제품,,5,5.0,0,2021-05-14,2021
1525,33,여성,인천,식품,274480.0,8,4.3,0,2023-08-23,2023
1203,58,여성,서울,가구,334176.0,8,4.4,0,2023-11-15,2023
9483,53,여성,서울,식품,216487.0,3,2.0,0,2022-10-20,2022
6853,50,여성,광주,도서,107852.0,4,,0,2021-06-28,2021
9141,21,남성,서울,의류,148593.0,6,1.3,0,2023-12-16,2023
8021,50,여성,서울,전자제품,212779.0,3,1.4,0,2021-04-21,2021
9492,31,여성,광주,전자제품,164553.0,2,,1,2021-05-17,2021
8723,38,여성,광주,가구,290618.0,6,2.3,0,2021-08-20,2021
4297,65,여성,인천,식품,187832.0,5,4.0,0,2023-09-19,2023
6489,37,여성,서울,가구,327862.0,5,4.2,0,2022-04-13,2022
1218,25,여성,서울,의류,316773.0,5,4.4,0,2023-01-02,2023
4024,24,여성,인천,가구,55232.0,5,5.0,0,2022-04-26,2022
2451,20,여성,대구,전자제품,358688.0,3,2.0,0,2023-12-28,2023
4737,34,여성,대구,전자제품,470385.0,7,1.2,0,2023-03-25,2023
6154,50,여성,대구,도서,,6,2.6,0,2023-09-21,2023
1102,65,여성,인천,도서,322813.0,4,,0,2021-11-19,2021
2634,29,남성,서울,의류,219093.0,2,1.1,0,2023-07-11,2023
7409,68,남성,인천,식품,,9,2.4,1,2023-06-23,2023
4379,39,여성,인천,가구,189017.0,1,4.1,1,2022-08-29,2022
1732,39,여성,대구,의류,,4,3.3,0,2022-03-05,2022
6163,63,남성,부산,도서,398612.0,1,2.3,0,2021-05-28,2021
2626,47,여성,서울,가구,93457.0,6,3.6,0,2023-04-30,2023
7289,55,남성,대구,도서,24357.0,4,1.9,0,2022-01-02,2022
4667,55,남성,부산,가구,121672.0,5,1.1,0,2023-04-30,2023
5718,62,남성,부산,식품,340817.0,5,4.1,1,2023-12-26,2023
3603,68,남성,광주,의류,131673.0,9,3.5,0,2023-03-24,2023
6886,25,남성,서울,가구,75633.0,1,4.0,0,2021-06-24,2021
8371,44,여성,부산,전자제품,218015.0,2,1.2,0,2022-08-11,2022
8207,44,남성,대구,전자제품,,6,4.3,1,2022-05-10,2022
7118,51,여성,광주,가구,350402.0,5,3.5,0,2023-08-31,2023
1667,38,여성,서울,가구,416140.0,7,3.3,0,2021-02-04,2021
4690,47,남성,인천,가구,79286.0,3,3.5,0,2023-09-26,2023
1191,50,남성,대구,전자제품,103269.0,3,4.5,0,2022-06-22,2022
7254,45,여성,부산,전자제품,268635.0,2,3.3,0,2023-01-20,2023
7272,64,남성,부산,가구,84071.0,3,3.3,1,2023-11-04,2023
3366,50,남성,대구,도서,460542.0,1,5.0,0,2022-01-09,2022
6510,22,여성,부산,도서,231095.0,5,4.0,0,2022-07-11,2022
2266,65,여성,광주,식품,40651.0,5,2.8,0,2021-08-21,2021
8899,36,남성,서울,의류,80202.0,7,3.8,0,2022-12-06,2022
1642,21,여성,광주,도서,58777.0,4,2.6,0,2022-07-17,2022
8780,52,남성,부산,전자제품,158066.0,3,1.9,0,2023-07-28,2023
5934,66,남성,인천,도서,339407.0,1,3.4,0,2023-06-06,2023
5154,34,남성,서울,식품,200706.0,8,4.7,0,2022-12-27,2022
6091,61,여성,서울,식품,110158.0,3,,0,2021-03-17,2021
9869,45,여성,대구,의류,282944.0,2,2.4,0,2022-03-15,2022
1010,47,여성,대구,도서,309967.0,4,3.1,1,2022-11-30,2022
