학력수준,직무만족도,주당근무시간,재택근무여부,이직경험여부
대학원졸,2.6,34.9,0,0
대졸,4.3,35.8,0,0
대졸,3.9,48.8,0,0
고졸,3.2,46.3,0,0
대학원졸,3.8,44.8,0,0
대학원졸,4.0,39.2,0,0
대학원졸,2.9,50.0,0,0
대졸,3.4,42.9,0,0
대졸,4.9,50.5,0,0
대학원졸,3.6,32.7,1,0
고졸,3.2,45.6,0,1
대학원졸,3.3,44.9,0,0
대학원졸,3.9,40.8,0,0
대학원졸,2.7,52.8,1,0
대졸,4.1,41.5,0,0
대학원졸,3.0,45.7,0,1
고졸,2.3,37.9,0,1
고졸,2.0,54.0,0,0
대학원졸,3.2,42.0,0,0
대학원졸,4.3,44.9,1,1
대학원졸,3.7,33.9,0,0
고졸,3.7,33.3,0,0
대학원졸,3.8,46.2,0,1
대졸,2.9,40.3,1,1
대졸,4.0,33.3,0,0
고졸,2.3,32.1,0,0
대학원졸,3.1,42.2,0,0
고졸,2.9,46.5,0,1
고졸,3.4,45.6,0,0
대졸,3.3,26.2,0,0
고졸,3.1,40.1,0,0
대졸,3.6,36.4,0,0
고졸,4.1,40.4,0,0
고졸,3.1,41.1,0,0
고졸,2.5,34.6,0,0
대졸,3.8,38.2,0,0
고졸,5.0,43.9,1,0
대학원졸,4.4,48.9,0,0
고졸,4.0,36.9,0,1
고졸,3.1,43.5,0,0
고졸,3.6,45.1,0,0
대학원졸,3.0,42.3,1,0
대학원졸,4.1,43.1,0,0
대졸,3.6,46.3,0,0
대학원졸,2.9,25.3,0,0
대졸,3.9,35.6,0,0
대졸,4.5,43.4,0,1
고졸,3.0,41.9,0,0
대학원졸,3.0,47.4,0,1
대졸,3.3,27.9,0,0
고졸,5.0,27.2,0,1
대졸,2.4,39.0,0,0
고졸,4.1,50.5,1,1
대졸,4.7,46.3,0,0
대졸,3.7,39.0,0,0
고졸,4.3,42.5,0,1
대학원졸,2.8,42.3,0,1
고졸,2.9,36.1,0,0
고졸,3.7,39.1,0,0
대졸,4.2,44.2,1,0
대학원졸,4.5,39.7,0,0
대학원졸,2.7,55.3,0,0
대학원졸,3.6,47.8,0,0
대학원졸,5.0,40.3,0,0
고졸,4.9,40.5,0,0
대졸,2.5,42.0,1,0
대학원졸,3.0,47.4,1,0
고졸,4.2,36.6,1,0
대졸,2.4,51.8,1,0
대학원졸,4.2,35.5,0,0
대졸,2.8,51.8,0,0
고졸,1.5,41.5,0,0
고졸,3.7,40.9,0,1
대졸,4.9,44.2,0,0
대졸,3.5,43.6,0,0
고졸,3.1,53.6,0,1
대졸,4.3,39.5,0,0
대졸,4.1,40.3,0,0
대졸,3.6,43.0,0,0
대졸,3.2,47.7,1,0
대졸,2.1,38.5,1,0
고졸,4.1,34.3,0,0
고졸,3.6,43.2,0,1
대학원졸,5.0,37.8,0,0
고졸,3.6,45.9,0,0
대학원졸,3.8,48.5,0,0
대학원졸,3.2,40.7,1,0
고졸,3.5,32.6,0,0
고졸,3.7,37.9,1,1
대학원졸,3.4,48.3,1,0
대학원졸,3.6,45.8,0,0
대졸,3.9,43.1,0,0
대학원졸,3.3,39.3,0,0
대졸,4.1,26.4,0,0
고졸,2.1,48.5,0,0
대졸,4.0,46.0,0,0
대학원졸,3.8,44.9,0,1
대학원졸,3.0,41.6,1,0
대학원졸,4.6,49.0,0,0
고졸,4.3,44.5,0,0
고졸,3.3,46.6,1,0
대학원졸,2.8,38.8,0,1
고졸,2.3,52.5,1,0
고졸,3.3,44.0,0,0
고졸,3.3,41.3,0,0
고졸,4.4,47.1,0,0
대졸,2.9,34.0,0,1
대졸,2.2,48.5,0,0
대졸,4.2,35.0,0,0
대학원졸,4.0,39.3,1,0
고졸,3.7,41.2,0,0
고졸,3.8,49.3,0,1
고졸,2.9,42.9,0,1
대학원졸,3.6,46.0,1,0
고졸,2.2,43.6,0,0
대졸,3.8,52.6,0,1
대학원졸,3.0,38.8,1,0
대졸,4.0,38.4,1,0
대학원졸,3.6,31.9,0,0
대학원졸,3.9,31.5,1,0
고졸,4.7,43.1,0,0
대졸,3.6,45.9,0,0
고졸,4.3,33.5,0,0
대학원졸,3.0,35.6,0,0
대학원졸,2.0,34.2,1,0
대졸,3.1,33.2,0,0
대졸,4.0,43.1,0,0
대졸,3.5,32.9,0,0
고졸,2.8,25.5,0,0
대학원졸,3.5,41.9,1,0
고졸,3.0,30.5,1,0
대졸,2.1,48.2,0,1
고졸,3.9,52.0,0,0
고졸,3.3,38.0,0,0
대학원졸,2.7,47.5,1,1
대학원졸,3.0,34.4,1,0
고졸,3.5,33.8,0,0
대학원졸,4.4,42.3,1,0
대학원졸,3.5,43.2,0,0
대졸,4.5,52.2,0,0
고졸,3.1,48.6,0,0
대졸,3.0,43.0,1,1
대학원졸,2.9,45.0,1,0
고졸,3.2,42.6,0,1
대학원졸,4.1,52.9,0,0
고졸,3.2,40.6,0,0
고졸,1.3,48.0,0,1
고졸,3.2,41.2,0,1
고졸,5.0,44.4,1,0
대학원졸,3.0,34.0,0,0
고졸,3.9,46.8,0,1
대학원졸,4.0,47.3,0,0
대학원졸,1.7,50.3,0,1
대학원졸,2.4,43.5,1,1
대졸,4.2,46.7,1,0
고졸,3.8,29.5,0,0
대학원졸,2.4,42.8,0,1
대학원졸,4.7,37.8,0,0
대졸,2.3,43.5,1,0
고졸,3.7,48.5,0,0
대학원졸,2.3,49.0,0,0
고졸,2.5,39.6,0,0
고졸,3.9,44.3,0,0
고졸,3.2,51.9,0,0
고졸,3.1,49.7,0,0
대학원졸,4.7,44.8,0,0
대학원졸,3.4,38.8,0,0
대졸,3.9,35.2,0,0
고졸,4.2,28.8,0,0
대졸,3.0,40.9,0,0
대학원졸,3.6,30.8,0,0
고졸,2.6,37.7,0,0
대졸,5.0,48.0,0,0
고졸,2.7,51.2,0,1
대졸,4.8,50.2,0,1
대학원졸,2.2,38.3,0,0
대졸,3.2,43.7,1,0
대졸,2.8,48.1,0,0
대졸,2.3,43.6,1,1
대학원졸,2.7,48.1,0,0
대학원졸,3.7,36.5,0,0
고졸,3.2,33.2,0,0
대졸,4.0,53.7,0,1
대졸,4.2,40.5,0,0
대학원졸,2.2,35.0,1,0
대학원졸,4.1,43.3,0,0
대졸,4.4,40.7,0,0
대졸,2.6,49.7,1,1
대졸,4.4,43.2,0,0
대졸,3.5,37.5,0,0
고졸,3.4,39.9,0,0
고졸,3.8,46.7,1,0
대학원졸,3.7,31.4,0,0
대졸,2.3,32.8,0,0
대학원졸,2.9,29.2,1,0
고졸,3.2,38.8,0,0
대졸,3.9,59.6,0,0
대졸,4.4,39.6,1,0
대졸,3.2,34.8,1,0
대학원졸,3.6,42.7,0,0
고졸,3.2,44.7,0,0
고졸,2.5,38.3,0,0
고졸,2.7,48.4,0,0
대학원졸,2.9,38.5,0,0
고졸,4.7,59.0,0,1
고졸,3.8,46.3,1,1
대졸,4.1,41.8,0,0
고졸,4.8,39.0,0,0
대졸,4.3,38.7,0,0
대학원졸,4.0,42.6,0,0
고졸,2.2,41.0,0,1
대졸,3.0,44.0,1,0
대학원졸,4.0,48.3,0,0
고졸,3.1,37.9,0,0
대졸,3.0,41.8,0,0
대학원졸,3.3,48.0,0,0
대졸,3.6,50.8,1,0
대학원졸,4.1,47.8,1,0
고졸,2.8,44.2,0,1
고졸,3.8,51.1,0,0
대학원졸,4.0,43.1,1,0
대졸,3.0,48.7,0,0
대졸,3.9,43.0,0,1
고졸,3.2,53.1,0,1
대졸,3.3,43.0,0,0
대학원졸,3.9,38.6,0,0
대졸,2.8,45.8,0,0
대학원졸,3.6,41.5,0,0
고졸,2.1,38.0,0,0
대학원졸,3.3,33.7,1,0
대졸,4.5,43.7,0,0
고졸,3.5,45.0,0,0
대학원졸,3.7,41.3,1,0
고졸,2.4,43.1,0,1
고졸,4.3,48.4,0,0
고졸,4.8,46.1,1,0
대학원졸,4.3,43.3,0,0
고졸,4.3,49.3,0,1
대학원졸,3.0,36.4,0,0
대졸,3.4,43.9,0,0
고졸,3.7,54.1,0,1
대졸,3.1,32.3,1,0
대졸,4.5,49.0,0,0
고졸,3.7,44.4,0,1
대학원졸,4.4,52.1,0,1
대학원졸,5.0,38.0,1,0
고졸,3.8,45.0,0,0
대학원졸,3.5,50.4,0,0
고졸,5.0,48.7,0,0
대졸,2.4,34.7,0,0
대학원졸,3.2,44.3,0,0
고졸,2.6,36.8,0,0
대졸,3.1,45.8,0,0
대학원졸,4.4,43.7,0,0
대학원졸,3.1,41.6,0,0
고졸,3.9,52.4,0,0
고졸,4.5,51.5,0,0
대졸,4.4,43.9,1,0
대졸,3.1,41.9,1,0
대학원졸,3.2,49.9,0,0
대졸,2.6,37.3,0,0
대학원졸,2.3,44.1,0,0
대학원졸,3.4,32.0,1,0
대졸,4.7,42.0,0,0
대학원졸,3.0,52.7,1,1
대졸,3.7,47.9,0,0
대학원졸,3.7,37.5,1,0
고졸,2.5,39.3,0,0
대학원졸,4.0,37.3,0,0
대학원졸,3.5,51.7,0,1
고졸,3.2,36.0,0,0
대학원졸,3.6,27.0,0,0
대졸,2.2,49.7,0,1
고졸,3.7,39.9,0,0
대학원졸,3.6,37.5,0,0
