ID,region,area,year_built,floor,num_parking,elevator,subway_distance,price
2789,Rural,55.68,2014,3.0,2.0,1,2.15,83893.69
747,Seoul,92.51,2003,29.0,1.05,1,0.1,155272.32
415,Busan,43.33,2010,2.0,1.78,1,0.19,89881.75
1433,Busan,30.0,1991,9.0,,0,0.53,61506.67
906,Rural,94.76,2008,19.0,1.17,1,2.65,117343.12
2203,Busan,63.61,2023,3.0,1.46,1,1.44,100121.33
3247,Busan,108.5,1992,27.0,0.9,1,2.23,164503.04
2527,Seoul,64.87,1999,5.0,1.63,1,0.19,122294.45
3499,Seoul,115.41,2001,9.0,0.92,1,0.76,180459.69
1809,Seoul,65.09,1987,22.0,1.93,1,1.09,135908.8
3076,Rural,116.11,2021,2.0,1.72,1,1.88,158360.19
3035,Seoul,157.46,1988,3.0,1.23,1,0.1,212111.98
3278,Busan,100.43,2009,21.0,1.82,1,0.24,159795.32
3326,Daegu,41.3,1994,23.0,1.66,1,2.69,76753.8
2996,Rural,71.71,1987,14.0,1.54,1,1.82,108250.82
2721,Rural,82.07,2005,1.0,1.63,1,0.49,121293.93
1053,Rural,48.39,2012,23.0,1.72,1,0.9,85065.62
2845,Busan,48.23,2011,7.0,1.02,1,0.74,87397.98
271,Daegu,91.34,1985,27.0,1.67,1,0.84,125320.28
140,Rural,69.39,2010,12.0,0.61,1,0.61,102744.34
2009,Seoul,80.38,2017,24.0,1.79,1,0.2,146520.13
3479,Busan,74.59,2008,25.0,1.33,1,0.18,115048.06
677,Seoul,47.79,2003,16.0,1.54,1,3.57,98963.77
2754,Seoul,42.03,1985,1.0,1.41,1,0.88,101643.72
3314,Seoul,60.73,2017,1.0,1.83,1,0.61,120961.77
2623,Busan,101.06,2016,5.0,1.23,1,0.13,156606.82
292,Seoul,60.41,2018,26.0,1.6,1,1.0,133652.67
1243,Daegu,45.83,2023,26.0,1.2,1,1.5,78727.19
1755,Rural,69.56,2007,24.0,0.83,1,1.64,108578.4
600,Seoul,37.82,2017,9.0,1.87,1,2.84,94496.93
230,Busan,95.05,1996,22.0,1.49,1,0.6,161325.25
2440,Seoul,67.25,1982,18.0,1.24,0,0.1,115405.04
1408,Daegu,62.2,2001,8.0,1.12,1,1.73,93262.07
1152,Daegu,58.88,2014,24.0,1.41,1,3.74,97835.99
411,Seoul,47.07,1986,10.0,1.35,1,0.6,100292.95
204,Rural,,1985,5.0,1.78,1,0.84,100237.08
3168,Seoul,90.08,2023,17.0,1.36,1,1.74,170333.63
3070,Daegu,77.01,2006,8.0,1.54,1,,132314.71
603,Seoul,62.27,2003,19.0,0.73,1,3.32,108450.12
135,Rural,30.0,1980,,0.74,1,2.93,44203.45
53,Rural,125.81,1999,21.0,1.73,1,0.25,179567.54
507,Rural,85.79,1985,29.0,0.68,1,1.82,108900.2
1211,Busan,88.69,2003,23.0,1.34,1,0.1,133533.57
926,Seoul,86.62,2014,18.0,1.31,1,1.68,158164.63
2092,Rural,83.72,1992,9.0,0.84,1,1.05,104517.14
545,Busan,93.3,2003,14.0,1.67,0,1.73,141800.2
3154,Busan,57.66,2001,7.0,1.49,1,0.38,103513.64
579,Busan,97.65,1992,13.0,1.45,1,0.62,152266.4
2670,Seoul,64.57,2008,8.0,1.88,1,3.76,119208.37
1633,Daegu,100.99,2010,9.0,1.07,1,5.54,130576.1
839,Busan,59.4,2009,18.0,1.69,1,2.15,110811.79
2742,Seoul,45.45,1999,29.0,0.73,0,4.02,94913.01
3330,Daegu,82.34,2014,22.0,1.02,1,2.24,114408.04
1189,Seoul,92.88,2012,4.0,1.85,1,2.13,156179.67
606,Busan,84.44,2005,15.0,1.88,1,,136045.56
870,Rural,64.14,2017,26.0,0.65,1,0.66,101121.3
2024,Seoul,72.36,1984,23.0,0.55,1,2.06,117064.56
1707,Busan,82.69,1989,15.0,0.87,1,0.1,124056.68
692,Busan,65.98,2023,4.0,1.03,1,5.69,110837.78
77,Daegu,135.47,2009,12.0,1.2,1,0.37,195140.06
1952,Seoul,88.92,2005,26.0,1.41,1,1.52,152010.95
212,Daegu,129.68,2022,4.0,1.89,0,0.1,164305.55
18,Busan,91.99,2022,21.0,1.47,1,1.44,134410.58
3011,Busan,97.44,2017,6.0,0.85,1,1.81,159897.93
2094,Busan,138.59,2002,13.0,1.0,1,6.68,183837.74
2410,Busan,48.16,1997,7.0,1.25,1,3.46,80724.73
3316,Daegu,57.61,2007,18.0,1.02,1,0.12,101608.65
3169,Daegu,55.83,2016,21.0,,1,1.26,96464.88
595,Rural,81.96,1998,25.0,1.32,1,0.1,110060.11
403,Busan,51.14,2009,15.0,1.22,1,4.46,79911.76
1235,Daegu,30.0,2000,8.0,,1,0.42,68442.14
3051,Seoul,85.47,1996,22.0,0.79,1,0.39,150853.65
2100,Seoul,59.35,1999,20.0,1.0,1,2.42,108526.77
1584,Busan,80.68,1980,27.0,1.41,1,0.21,119307.76
2535,Daegu,81.99,1988,19.0,,1,2.79,111158.73
2723,Daegu,30.0,2004,15.0,1.8,1,3.66,59425.38
2357,Rural,40.44,1992,29.0,1.43,1,2.66,66114.07
970,Busan,59.3,2008,,0.61,0,2.34,85484.46
1500,Rural,72.83,1988,8.0,1.61,1,0.74,93813.5
359,Rural,67.91,1999,,1.65,1,0.41,106446.05
193,Rural,56.28,2015,14.0,0.93,1,5.92,79029.24
2393,Busan,58.27,1982,26.0,1.61,1,1.13,98150.76
2112,Seoul,85.82,2019,17.0,1.33,1,3.46,157108.03
927,Seoul,111.88,2022,,1.68,1,0.48,171979.69
2824,Seoul,61.9,1990,6.0,1.69,1,1.63,122210.23
1164,Daegu,71.59,1980,,0.96,0,0.26,98561.23
184,Rural,51.31,1994,18.0,,1,1.25,71010.55
1862,Daegu,,1986,13.0,1.71,1,2.62,136373.78
31,Busan,69.68,2005,5.0,,1,2.42,109300.77
1872,Seoul,100.94,2003,20.0,1.9,1,2.18,153929.98
2663,Seoul,75.56,1997,9.0,1.21,1,1.41,123848.36
2993,Busan,75.11,1986,1.0,1.94,1,5.24,118105.96
316,Daegu,93.83,1991,29.0,1.6,1,0.63,139799.69
2657,Daegu,65.74,2005,6.0,,1,0.73,114804.86
1056,Seoul,76.91,2016,21.0,0.87,1,4.52,138312.57
843,Seoul,99.55,2000,20.0,1.35,1,0.16,177878.27
1447,Daegu,58.58,1988,10.0,1.53,0,0.11,94985.25
2462,Rural,56.78,1992,29.0,1.32,1,0.3,86159.15
2500,Busan,60.52,2010,1.0,1.83,1,0.69,101620.6
1507,Busan,51.97,2005,26.0,0.63,1,0.11,100176.41
1722,Seoul,93.83,2020,14.0,0.52,1,1.01,168579.55
680,Rural,64.65,1987,12.0,,1,0.75,84949.49
464,Busan,55.3,2020,20.0,1.5,1,0.3,103366.88
1048,Seoul,100.27,2014,15.0,1.53,0,,163156.93
1801,Rural,,1995,17.0,1.16,1,,83163.64
3151,Busan,111.44,1988,3.0,0.69,1,1.74,152897.26
950,Busan,47.1,2023,1.0,1.59,1,3.22,94563.5
2601,Busan,81.55,2007,7.0,0.6,1,2.44,119283.94
841,Seoul,,1981,19.0,1.58,1,2.08,205167.12
3318,Seoul,113.42,2015,1.0,1.5,1,0.8,188098.64
3422,Busan,128.82,2022,18.0,1.26,0,1.51,177815.37
1045,Rural,80.87,2013,12.0,1.92,1,3.93,104817.17
34,Rural,58.79,2016,12.0,1.18,1,2.29,82361.14
167,Seoul,119.45,1986,3.0,0.65,0,1.26,159541.07
1475,Seoul,115.88,1983,5.0,0.82,1,0.73,164030.23
818,Seoul,53.34,1995,15.0,0.78,1,3.79,108436.02
1092,Busan,52.32,1994,15.0,1.09,1,0.92,100960.34
1553,Daegu,69.77,2014,15.0,0.82,1,1.34,107541.56
1601,Seoul,86.92,2018,12.0,1.9,1,0.24,157962.38
2893,Daegu,58.1,1999,1.0,1.15,0,1.66,79730.07
2335,Seoul,102.23,1982,1.0,1.94,1,1.16,155902.86
2612,Seoul,78.3,1981,16.0,1.18,1,0.88,134502.97
3282,Seoul,71.1,2003,23.0,1.63,1,0.56,130786.38
1175,Busan,111.24,1999,12.0,0.67,1,2.56,149734.81
2149,Busan,67.04,2007,26.0,1.52,1,1.29,124082.12
3460,Busan,79.19,2018,29.0,0.71,1,2.16,117304.35
2479,Seoul,77.45,1995,1.0,0.87,1,4.35,133628.13
1622,Seoul,84.95,1997,9.0,0.77,0,5.14,126878.48
1290,Seoul,84.53,2013,17.0,0.7,0,1.94,145451.81
1205,Busan,87.78,2017,15.0,1.95,1,1.11,142589.09
1012,Rural,61.01,2012,6.0,1.32,1,0.92,93633.36
195,Seoul,103.3,2010,15.0,1.35,1,0.57,163155.42
1657,Busan,71.23,1998,10.0,1.74,1,3.42,108658.84
1396,Daegu,68.06,2002,15.0,1.97,1,0.34,121457.68
290,Busan,62.26,1996,26.0,1.9,1,0.52,118624.91
2805,Busan,107.19,2011,26.0,0.73,1,0.67,153318.92
2969,Rural,76.38,2012,9.0,0.53,1,1.29,114182.98
3441,Seoul,137.3,1991,12.0,1.24,1,1.0,218746.83
3108,Seoul,,1981,17.0,1.91,1,1.17,124305.46
2464,Busan,53.17,1986,,1.33,0,1.2,81507.3
2395,Rural,83.43,1983,7.0,,1,0.38,109620.21
433,Busan,,1989,25.0,1.44,1,1.0,72843.69
3170,Busan,60.1,2020,15.0,1.97,1,0.76,99762.83
3222,Seoul,89.82,2003,17.0,0.72,1,0.25,167601.67
3463,Busan,93.02,2019,1.0,0.87,1,0.94,131163.48
3436,Seoul,68.09,2020,12.0,1.7,1,4.09,132805.46
1335,Rural,94.89,2017,19.0,1.89,1,0.53,137841.26
2771,Seoul,112.89,2016,21.0,0.81,1,3.91,191508.28
2856,Busan,71.85,2009,21.0,0.98,1,0.66,116009.62
2513,Busan,69.75,2020,21.0,,1,0.28,132903.82
1323,Rural,112.78,1996,19.0,0.54,1,1.17,149982.53
882,Daegu,79.12,2010,26.0,0.87,1,0.66,126885.68
280,Daegu,83.92,2013,5.0,1.26,1,0.6,131083.44
1000,Busan,79.72,2007,10.0,1.64,1,0.36,133744.09
2861,Rural,56.5,1980,13.0,1.32,1,0.41,85761.23
1966,Busan,67.79,1987,29.0,1.59,1,0.42,115500.02
3378,Seoul,,2020,7.0,1.79,1,0.53,168153.81
1115,Busan,103.75,2000,25.0,1.1,0,1.88,155503.21
1781,Seoul,34.47,2006,26.0,1.4,1,1.35,89876.25
1806,Daegu,49.27,1984,4.0,1.84,1,0.62,87767.8
2448,Seoul,81.56,2022,24.0,1.22,1,1.35,151135.45
1588,Busan,65.98,1991,22.0,0.79,1,2.39,109584.08
908,Seoul,88.47,1980,28.0,,1,1.37,141125.13
3350,Seoul,48.37,2023,28.0,0.83,1,0.32,104640.92
965,Seoul,92.42,1987,22.0,1.93,1,0.6,142518.8
1766,Seoul,99.1,2006,28.0,1.94,1,1.12,169948.48
1412,Seoul,55.84,2007,20.0,0.92,1,4.03,116091.1
1814,Seoul,74.46,2016,26.0,1.75,0,2.35,122316.31
81,Rural,116.92,2008,17.0,1.74,1,1.44,153775.03
743,Daegu,67.46,1985,23.0,1.09,1,0.23,103835.01
568,Busan,100.87,2014,,1.12,1,0.11,150556.41
94,Busan,67.17,2015,14.0,,1,0.84,119533.2
979,Busan,62.13,1983,24.0,1.57,1,2.2,101114.76
2755,Rural,92.61,1989,24.0,0.63,1,3.05,108514.88
1757,Rural,88.71,1982,17.0,1.36,1,0.19,132313.82
1721,Seoul,58.87,1989,28.0,1.92,1,0.23,124351.85
2017,Seoul,52.62,2009,4.0,0.59,1,3.26,110627.45
806,Daegu,106.86,2002,11.0,0.97,1,0.55,160599.04
3048,Seoul,74.23,2018,26.0,1.63,1,0.44,131186.12
1594,Seoul,97.9,2023,29.0,0.52,1,0.98,156322.27
1296,Seoul,91.22,1988,17.0,1.68,1,1.96,153545.65
3197,Rural,68.86,1987,1.0,1.49,1,0.52,100265.88
1753,Seoul,75.55,1982,10.0,0.85,1,1.24,139765.26
299,Busan,,2007,16.0,1.05,1,2.75,130342.59
658,Seoul,66.7,2020,24.0,1.65,1,1.03,121217.56
1599,Seoul,87.69,2009,19.0,1.7,0,0.67,156305.05
2974,Daegu,72.97,1992,7.0,0.7,0,0.17,98548.28
1374,Busan,70.29,2013,12.0,1.93,1,1.69,128893.19
799,Daegu,85.82,2022,10.0,1.1,0,0.79,133197.39
1836,Daegu,112.28,1997,5.0,1.92,1,0.1,172021.39
1062,Rural,84.56,1981,23.0,1.9,1,1.57,111670.15
258,Daegu,93.79,1984,16.0,0.57,1,1.65,121887.12
300,Seoul,71.68,1997,13.0,1.32,1,0.19,143425.5
2712,Busan,67.5,2015,9.0,1.11,0,0.1,97801.98
3224,Seoul,65.77,2009,10.0,1.19,1,2.21,131199.24
2260,Busan,61.62,2018,7.0,1.5,1,2.95,97759.87
795,Seoul,96.01,1984,21.0,1.91,1,0.72,166907.9
2283,Busan,100.7,1982,17.0,0.66,1,0.4,153779.02
239,Busan,32.3,2004,16.0,0.88,1,0.99,76530.43
296,Busan,85.11,2008,21.0,0.54,1,0.76,145905.49
3356,Seoul,59.08,2000,9.0,1.43,1,2.25,103559.69
539,Busan,,1998,10.0,1.78,0,,136541.92
416,Busan,,2023,29.0,1.9,1,1.38,120794.94
998,Seoul,,1994,16.0,1.07,1,2.23,143696.5
175,Busan,64.9,2012,28.0,1.58,1,0.27,116343.03
322,Daegu,52.07,1985,7.0,0.89,1,1.02,84838.9
444,Seoul,63.08,1998,20.0,0.71,1,3.47,113601.27
3184,Seoul,100.84,2006,17.0,1.25,1,0.48,178865.3
2552,Seoul,84.71,1997,12.0,0.57,1,1.4,146187.46
1911,Seoul,92.01,2005,,,1,0.24,141895.1
1237,Rural,,2016,15.0,0.58,1,0.95,151980.46
1750,Seoul,106.45,2004,15.0,0.63,1,3.82,171691.77
103,Seoul,90.22,2000,23.0,1.21,1,0.4,167522.81
3273,Daegu,44.33,2009,23.0,0.76,1,0.36,86842.21
240,Seoul,58.49,1997,5.0,1.06,1,,108998.25
706,Rural,83.3,1992,19.0,1.72,1,0.42,125037.54
458,Busan,98.04,1984,21.0,0.72,1,2.02,142051.47
2291,Busan,88.54,2019,5.0,1.7,0,,135043.93
777,Seoul,78.77,2019,3.0,0.68,1,3.75,130778.46
3165,Seoul,96.81,1985,12.0,1.98,1,0.45,177529.92
2958,Rural,32.38,1993,26.0,1.69,1,3.71,49952.43
502,Busan,109.32,2023,3.0,1.54,1,1.77,174037.28
45,Seoul,77.99,1994,4.0,0.99,1,2.44,129715.41
462,Busan,97.38,2019,10.0,1.69,1,0.62,157131.87
2259,Seoul,78.55,2013,1.0,1.03,1,0.1,129210.81
2758,Rural,,2017,15.0,1.11,1,1.1,72540.27
2695,Rural,64.28,2001,,1.68,1,1.92,90308.11
966,Seoul,,1993,13.0,1.46,0,1.6,164211.76
479,Rural,80.31,2002,,0.87,0,3.79,92703.09
1886,Busan,79.14,1996,18.0,,1,1.47,133545.15
394,Daegu,39.22,1984,26.0,1.19,1,1.47,68613.35
59,Seoul,73.03,2008,8.0,1.56,1,4.02,141376.16
528,Seoul,72.8,1986,21.0,0.69,1,1.39,140412.2
3321,Busan,110.53,2000,5.0,1.17,1,1.69,171888.21
1114,Busan,109.8,2009,12.0,0.55,1,6.72,144518.91
913,Busan,78.38,2013,15.0,1.69,1,1.38,130481.65
2584,Busan,121.87,1984,16.0,0.85,0,0.38,158653.57
1603,Seoul,65.08,1980,13.0,,1,3.07,127527.02
930,Seoul,100.99,1989,10.0,0.85,1,0.91,147907.33
2668,Daegu,35.65,1995,20.0,1.2,1,0.32,63414.53
3112,Seoul,57.23,1999,9.0,0.94,1,1.12,111793.28
3181,Seoul,80.03,2006,18.0,1.58,1,1.34,156150.07
719,Seoul,72.45,1993,16.0,,1,0.75,138083.24
2659,Seoul,,2018,5.0,1.72,1,0.25,136470.78
645,Seoul,97.05,1987,11.0,0.91,1,1.25,159827.62
3309,Seoul,94.41,2014,24.0,1.94,1,0.23,179283.9
2132,Seoul,76.9,1996,29.0,0.75,1,2.01,130729.39
512,Busan,98.03,1987,10.0,,1,1.07,158163.38
1463,Seoul,45.66,2014,3.0,1.54,1,0.72,110367.13
189,Busan,110.15,1988,15.0,0.64,1,0.83,173221.68
2593,Busan,66.51,2011,22.0,0.58,1,3.04,98015.96
3020,Daegu,62.89,1988,12.0,1.63,1,0.3,98904.78
1346,Busan,,2018,6.0,1.76,1,0.46,175477.39
2156,Seoul,70.61,1990,20.0,0.95,1,1.82,130617.52
1361,Rural,103.94,2002,25.0,1.83,0,1.02,131088.29
412,Rural,99.4,1987,10.0,0.94,1,1.3,126843.72
241,Rural,69.66,2002,2.0,1.77,1,,108667.32
1955,Rural,139.71,2006,,1.47,1,3.1,184448.2
922,Busan,110.73,2001,20.0,1.61,1,,170460.0
872,Seoul,,2003,6.0,0.69,1,2.1,154041.37
1425,Rural,138.73,1996,11.0,0.98,1,1.69,171031.7
803,Busan,103.96,2017,21.0,0.68,1,0.19,160890.06
3266,Seoul,42.34,2023,15.0,0.85,1,1.05,104428.74
2093,Seoul,109.54,2014,14.0,,1,1.32,196747.64
2180,Busan,74.86,1980,3.0,0.99,1,0.19,125450.57
858,Busan,102.37,2010,17.0,1.82,1,2.53,152641.71
153,Seoul,97.14,1987,5.0,1.66,1,0.25,161880.61
1272,Rural,30.0,2010,27.0,0.82,1,0.99,58733.86
1193,Seoul,65.48,2015,14.0,0.9,1,1.22,132056.55
1054,Daegu,35.17,2023,22.0,1.89,1,3.45,65374.11
1685,Seoul,,1988,15.0,,1,0.73,120498.23
257,Rural,68.72,1984,25.0,1.63,1,0.55,89635.3
1547,Daegu,75.08,1994,15.0,0.8,1,1.11,114944.8
2642,Seoul,82.28,2007,24.0,0.69,1,2.57,139158.65
2315,Rural,81.03,2023,12.0,0.91,1,1.18,110633.09
496,Seoul,62.19,1988,25.0,1.56,0,0.5,123079.87
2339,Seoul,105.72,1988,10.0,0.7,1,1.82,158828.82
1585,Rural,,1985,17.0,1.23,1,0.47,111153.37
2222,Busan,76.32,1996,21.0,0.8,1,3.96,108096.38
1223,Busan,86.07,2013,9.0,0.61,1,1.11,141837.11
1964,Seoul,30.0,1986,24.0,1.52,1,0.21,88995.82
3138,Daegu,107.3,1999,16.0,1.45,1,0.59,157414.52
179,Rural,104.91,2020,26.0,1.13,1,1.08,143697.48
1851,Seoul,116.05,2000,24.0,0.84,1,0.58,200912.27
3394,Seoul,91.21,1985,20.0,1.63,1,0.27,140512.86
2044,Seoul,40.1,2015,6.0,0.86,0,4.6,77623.59
1988,Busan,82.45,1996,11.0,1.02,1,3.03,132795.02
2983,Daegu,35.77,2015,15.0,1.5,1,4.33,63954.23
1026,Busan,57.87,2014,27.0,1.2,0,2.79,93385.94
1642,Daegu,88.71,2021,1.0,1.36,1,0.1,151193.07
1843,Busan,,2017,16.0,1.97,1,3.21,95061.1
898,Rural,,1981,15.0,1.71,0,0.24,158254.08
1426,Rural,62.1,2014,18.0,1.35,1,0.38,103289.79
480,Busan,151.71,2021,21.0,1.42,1,,233975.51
15,Seoul,73.6,2007,9.0,1.96,1,,144302.3
3055,Daegu,59.63,1983,4.0,1.83,1,2.16,91650.53
174,Seoul,116.82,2013,22.0,1.81,1,0.38,194052.98
782,Busan,53.07,2022,3.0,1.36,1,0.31,98439.19
332,Daegu,90.49,2011,9.0,,1,1.33,128734.62
1018,Busan,77.85,1996,18.0,1.6,1,3.2,125918.43
2030,Daegu,70.0,2001,16.0,1.54,1,0.69,110027.46
3480,Busan,56.52,2022,15.0,0.94,1,1.15,100734.56
1090,Seoul,92.34,2014,6.0,0.78,0,0.17,143887.61
1979,Rural,92.97,1983,17.0,1.45,1,0.36,135724.88
388,Seoul,57.58,2014,27.0,1.44,1,2.42,107698.96
2359,Busan,45.49,2001,4.0,1.35,1,0.62,79523.26
439,Daegu,84.63,2013,19.0,1.94,1,3.88,130840.7
1392,Seoul,61.33,1988,13.0,0.65,1,0.58,127416.17
2965,Rural,30.0,2019,26.0,1.03,1,0.1,54593.19
1512,Daegu,53.01,1993,16.0,1.61,1,0.23,92757.93
1398,Seoul,82.1,2008,3.0,1.07,1,1.59,130550.95
325,Rural,78.59,1997,20.0,1.73,1,3.63,116318.11
928,Busan,76.21,1982,15.0,1.33,1,,118367.79
1951,Seoul,90.24,1994,26.0,0.68,1,0.1,146546.35
2475,Busan,45.05,1998,23.0,1.51,1,2.79,78784.47
64,Seoul,122.6,2000,16.0,0.62,1,,201861.43
267,Daegu,67.25,1995,25.0,1.46,1,,97476.89
2087,Seoul,65.95,1982,12.0,0.71,1,1.07,126545.97
2097,Busan,83.27,1995,,0.92,1,1.33,132274.82
158,Daegu,112.4,2007,6.0,1.08,1,1.63,161146.01
451,Daegu,121.68,1991,19.0,1.14,1,0.31,160906.1
62,Seoul,44.87,2009,20.0,1.2,0,0.65,97988.25
2495,Busan,,1987,23.0,0.86,1,0.75,101190.66
2253,Daegu,81.92,1992,4.0,0.69,1,2.11,111060.99
255,Seoul,42.02,1981,1.0,1.6,1,0.21,85687.77
2382,Rural,69.81,1982,20.0,1.23,1,6.79,88919.31
2802,Rural,98.67,2016,,1.71,1,0.99,147468.05
2421,Seoul,74.98,1986,,1.89,1,0.64,142123.74
440,Seoul,90.64,2003,17.0,0.61,1,0.43,142985.0
125,Seoul,66.84,2000,2.0,1.49,1,,131362.17
1201,Daegu,81.23,1985,17.0,,1,0.13,134119.13
1357,Rural,68.63,1994,21.0,0.51,1,0.22,98508.88
264,Busan,70.29,2001,9.0,1.41,1,1.37,107878.93
1698,Seoul,96.55,1983,17.0,0.84,1,0.26,161183.59
1071,Seoul,105.9,2003,14.0,0.69,1,2.93,159012.01
1794,Daegu,,2017,19.0,1.82,1,,113986.37
2298,Seoul,69.4,2002,19.0,1.89,1,3.49,117045.69
2859,Seoul,71.99,1996,21.0,1.82,1,0.14,128372.3
487,Seoul,85.72,1982,,1.69,1,3.35,155390.8
1658,Seoul,30.0,1993,,0.73,1,0.92,76042.28
679,Rural,83.64,1995,7.0,1.25,1,,108125.55
2314,Daegu,82.52,1981,28.0,1.25,1,0.56,124789.95
89,Rural,66.29,2006,9.0,1.11,1,1.55,86942.61
1075,Rural,110.94,1987,19.0,0.56,1,1.42,135721.58
2994,Seoul,53.94,2005,7.0,1.85,1,0.84,117028.9
1227,Seoul,128.09,1981,9.0,,1,1.56,209427.24
2835,Seoul,90.24,1987,20.0,0.94,1,2.45,144833.62
2517,Seoul,60.6,2011,4.0,1.1,1,4.9,111638.2
1827,Seoul,68.51,2020,20.0,1.66,1,1.19,126123.88
868,Seoul,64.18,2007,28.0,,1,0.73,120766.07
3255,Seoul,134.46,1980,5.0,1.25,1,0.23,186029.08
3016,Seoul,71.1,1995,9.0,1.65,1,0.24,134961.82
3157,Rural,96.15,1996,1.0,0.67,1,0.59,125870.93
3131,Daegu,45.02,2022,8.0,0.65,1,4.44,74041.38
121,Daegu,64.83,1997,15.0,1.85,1,0.22,114764.77
1488,Daegu,78.56,1992,6.0,1.54,1,1.06,117535.82
2441,Busan,83.74,2023,13.0,0.63,1,0.56,132590.04
2401,Seoul,77.7,1986,26.0,1.84,0,0.16,127936.22
