연도,상품,평점,가격,리뷰길이,반품여부
2023,냉장고,3,2050013,245,0
2020,스마트폰,3,2723836,154,0
2022,청소기,3,1232658,234,0
2020,노트북,2,2085209,108,0
2022,스마트폰,4,228322,179,0
2020,스마트폰,5,756951,240,0
2022,에어컨,1,111303,171,0
2020,냉장고,4,1310209,397,0
2023,청소기,3,1398266,48,0
2021,노트북,4,1109612,156,0
2020,에어컨,5,1932684,124,0
2022,냉장고,1,2296768,143,0
2023,에어컨,1,2466610,148,1
2020,냉장고,5,1168199,93,0
2020,냉장고,5,823035,260,0
2023,청소기,3,590042,156,0
2020,냉장고,1,558298,213,0
2021,에어컨,4,1147343,165,0
2020,냉장고,2,1625416,144,0
2021,청소기,2,205228,333,0
2021,청소기,5,526346,273,0
2023,에어컨,3,1855692,50,0
2020,스마트폰,2,984056,42,0
2023,스마트폰,1,1830228,283,1
2020,냉장고,5,2046793,158,0
2020,노트북,4,1669123,68,0
2022,냉장고,5,2021214,283,0
2020,에어컨,4,1826470,213,0
2023,에어컨,5,148874,220,0
2021,에어컨,5,1722572,264,0
2020,에어컨,5,2789784,95,0
2022,에어컨,4,809662,69,0
2023,청소기,4,2769078,326,0
2020,스마트폰,5,1226825,85,0
2023,에어컨,2,2724159,102,0
2022,노트북,3,778250,118,0
2022,노트북,3,570452,366,0
2023,노트북,3,1578301,239,0
2020,노트북,4,2239686,277,0
2021,청소기,4,2692670,215,0
2022,노트북,2,716529,151,0
2020,에어컨,3,2609155,250,0
2020,냉장고,3,2323361,75,0
2021,노트북,5,542061,112,1
2022,청소기,4,2813564,258,0
2022,청소기,3,2361286,91,0
2020,노트북,2,588972,184,1
2020,냉장고,2,1223994,188,0
2021,노트북,3,1276808,157,0
2021,청소기,4,2717703,43,0
2022,스마트폰,2,263038,149,1
2023,에어컨,5,1030491,134,0
2022,청소기,2,1316959,212,0
2020,노트북,1,1474572,208,0
2022,에어컨,1,2455874,230,0
2023,노트북,4,2329231,145,0
2021,노트북,3,2399205,241,0
2023,스마트폰,4,700530,75,0
2023,에어컨,4,1327165,54,0
2023,에어컨,4,1177833,20,0
2021,스마트폰,4,2677640,160,0
2023,청소기,5,535423,139,0
2023,노트북,5,1292929,263,0
2023,냉장고,2,423390,148,0
2020,노트북,1,2460731,221,0
2023,노트북,4,1764221,265,0
2021,청소기,2,1756671,145,0
2023,노트북,1,1587331,223,0
2023,스마트폰,3,2050961,280,0
2021,스마트폰,5,238563,100,0
2023,에어컨,1,883066,201,0
2021,냉장고,3,1654623,145,0
2023,노트북,1,805552,106,0
2021,노트북,5,2146475,77,0
2023,청소기,5,2523184,104,1
2023,스마트폰,2,697897,204,0
2020,냉장고,4,872800,71,0
2020,에어컨,1,1402549,155,0
2023,스마트폰,1,2142999,265,0
2023,에어컨,3,2002897,235,0
2022,청소기,5,1263950,157,0
2021,청소기,1,649148,335,0
2022,노트북,5,2873707,351,0
2020,냉장고,1,2798915,202,0
2020,에어컨,2,584090,20,0
2020,스마트폰,4,973698,270,0
2020,청소기,1,2873939,20,0
2023,노트북,5,2035740,318,0
2020,노트북,2,842406,286,0
2023,에어컨,1,943804,341,0
2023,청소기,3,2845226,220,0
2020,냉장고,4,1061568,171,0
2020,청소기,1,1680677,163,1
2021,에어컨,2,1654510,156,0
2022,에어컨,3,1930815,278,0
2020,청소기,2,2486378,256,0
2021,에어컨,2,327286,209,1
2021,청소기,3,2634937,142,0
2022,스마트폰,2,912461,410,0
2023,청소기,3,332732,272,0
2020,청소기,1,1818224,72,0
2022,에어컨,3,2810626,158,0
2020,에어컨,3,1024044,274,1
2021,노트북,4,2410182,136,0
2021,노트북,3,2921390,228,0
2023,스마트폰,3,1486652,276,0
2021,노트북,1,2345706,20,0
2021,청소기,4,385555,191,0
2022,에어컨,5,544191,194,0
2020,노트북,1,1602337,167,0
2020,노트북,1,1654094,224,1
2022,스마트폰,5,2511603,252,0
2023,스마트폰,3,1020597,211,0
2020,청소기,2,2143338,170,0
2021,에어컨,4,2970096,250,1
2020,스마트폰,2,1586205,203,0
2021,노트북,5,2965899,181,0
2023,에어컨,1,324695,95,0
2022,에어컨,1,1201844,74,0
2020,노트북,4,1581006,93,0
2022,스마트폰,1,2905843,222,0
2020,노트북,1,673189,193,1
2021,에어컨,4,1510706,81,0
2022,냉장고,4,2587682,251,0
2020,냉장고,5,1940634,309,0
2021,청소기,1,762784,152,0
2022,노트북,1,1947865,60,0
2022,노트북,5,2438683,143,0
2020,청소기,3,2086062,268,0
2020,청소기,3,1019484,243,0
2020,청소기,3,803650,126,0
2021,에어컨,5,1386936,321,0
2020,노트북,1,444855,307,0
2022,에어컨,5,1655979,141,0
2022,청소기,5,1174961,140,0
2020,노트북,3,531374,152,0
2020,에어컨,2,2477935,159,0
2023,에어컨,1,1234106,276,0
2022,청소기,3,1903847,234,0
2021,노트북,2,383707,270,0
2023,청소기,2,2574968,253,0
2020,노트북,4,2071856,337,0
2020,냉장고,1,1578236,115,0
2022,스마트폰,2,1086420,230,0
2020,스마트폰,3,1550503,26,0
2021,스마트폰,4,1878254,94,0
2022,청소기,1,2542266,194,0
2020,냉장고,5,343373,233,0
2022,노트북,3,447697,191,0
2020,에어컨,2,1310355,154,0
2020,노트북,2,1318758,168,0
2020,에어컨,3,1146914,309,0
2021,노트북,2,1755743,169,0
2021,냉장고,4,1056331,339,1
2022,에어컨,1,1386836,263,0
2020,청소기,4,1987106,236,0
2020,노트북,2,2843853,104,0
2021,노트북,5,886958,274,0
2020,에어컨,1,430904,160,0
2021,청소기,1,1196413,104,0
2020,청소기,3,618349,241,0
2022,냉장고,3,2981990,88,0
2020,청소기,5,897968,139,0
2020,청소기,1,179083,199,1
2023,청소기,5,2117107,377,0
2021,스마트폰,3,2755971,145,0
2020,냉장고,3,1514821,163,0
2020,노트북,1,1747608,258,0
2023,에어컨,4,2974299,100,0
2023,노트북,2,754037,235,0
2021,냉장고,3,1984276,296,0
2023,에어컨,3,1904673,175,0
2022,냉장고,4,2803943,282,0
2023,청소기,4,709996,223,0
2022,에어컨,5,815472,141,0
2021,청소기,5,878513,184,0
2021,노트북,2,260081,169,0
2021,노트북,2,2018317,192,0
2021,에어컨,1,488590,212,1
2021,에어컨,5,1865982,247,0
2022,냉장고,3,993093,240,0
2022,냉장고,5,2878655,20,0
2021,청소기,3,2874316,192,0
2023,에어컨,4,1059192,79,0
2020,노트북,5,2248347,177,0
2021,냉장고,4,2479877,190,0
2023,냉장고,2,2643016,278,0
2020,노트북,2,2489383,197,0
2021,냉장고,1,2902442,220,0
2021,청소기,5,264053,263,0
2022,에어컨,4,693586,298,0
2020,노트북,3,1981175,190,0
2020,에어컨,2,1879240,207,0
2023,냉장고,2,1188075,200,0
2022,냉장고,3,1536536,156,0
2022,노트북,4,2642637,138,0
2022,청소기,4,1769211,20,1
2022,스마트폰,5,1459507,113,0
2020,노트북,5,1446208,57,0
2020,스마트폰,1,436585,300,0
2021,스마트폰,2,1878599,215,0
2021,청소기,5,122431,189,0
2022,스마트폰,4,1343131,142,0
2022,스마트폰,3,747008,202,1
2022,청소기,4,673441,132,0
2021,스마트폰,2,368512,213,0
2023,스마트폰,4,276076,219,0
2023,스마트폰,1,2149949,131,0
2021,노트북,2,1368300,129,0
2021,노트북,3,2047763,276,0
2021,노트북,1,1729849,195,0
2021,청소기,2,1985077,137,0
2021,냉장고,3,778758,170,0
2021,스마트폰,1,2950905,119,0
2022,스마트폰,1,150861,194,0
2022,청소기,2,751406,266,0
2022,스마트폰,5,821001,197,0
2022,노트북,1,2206230,389,0
2021,냉장고,1,2091083,233,0
2023,에어컨,3,424912,218,0
2020,스마트폰,4,1723911,127,0
2021,노트북,2,944092,180,0
2020,에어컨,2,1908322,137,0
2023,냉장고,5,1543717,26,0
2022,에어컨,5,315048,277,0
2023,노트북,2,2957733,159,0
2021,에어컨,5,1790696,139,0
2022,청소기,3,1016838,216,0
2021,에어컨,2,2846590,240,0
2022,스마트폰,5,1305663,174,0
2020,스마트폰,2,133320,199,0
2020,청소기,4,427025,259,0
2020,노트북,1,2812267,171,0
2023,스마트폰,2,464359,224,1
2021,냉장고,1,1043793,67,0
2023,스마트폰,5,1408507,100,0
2020,스마트폰,1,1043187,248,0
2021,노트북,2,2603997,96,0
2020,에어컨,4,1697690,218,0
2023,스마트폰,5,200734,188,0
2023,청소기,2,257702,170,0
2023,에어컨,5,2951274,133,0
2020,냉장고,3,1325811,272,0
2021,노트북,1,1247087,338,0
2021,냉장고,3,2803381,224,0
2020,에어컨,2,829497,225,0
2021,에어컨,4,1968670,145,0
2020,에어컨,5,198818,104,0
2021,냉장고,1,252360,196,0
2022,에어컨,5,719369,122,1
2022,냉장고,2,661165,58,0
2023,에어컨,5,2570858,264,1
2022,청소기,1,1032817,268,0
2022,에어컨,2,2269867,131,0
2022,냉장고,5,241398,219,0
2020,스마트폰,4,1667628,280,0
2022,에어컨,2,2280338,216,1
2022,스마트폰,2,2092825,104,0
2023,청소기,4,1299670,181,0
2022,노트북,3,2058637,306,0
2022,청소기,1,694604,219,0
2021,에어컨,3,2149927,243,0
2023,스마트폰,5,2831638,227,0
2023,스마트폰,4,364500,131,0
2023,냉장고,3,2267478,150,0
2023,스마트폰,2,739282,227,0
2023,냉장고,5,2418123,265,0
2023,노트북,5,1617509,287,0
2020,에어컨,3,2040369,131,1
2022,냉장고,3,1317060,234,0
2023,노트북,4,1131519,294,0
2022,스마트폰,1,2189271,121,0
2022,스마트폰,3,889352,318,0
2020,노트북,3,584410,331,0
2023,스마트폰,2,2126395,410,1
2021,노트북,5,1490281,218,0
2020,냉장고,1,2422466,218,1
2021,냉장고,2,1951317,266,0
2022,노트북,4,1728094,263,0
2022,냉장고,4,2046830,290,0
2020,냉장고,3,2714150,262,0
2020,냉장고,3,1668560,191,0
2021,청소기,4,565757,297,0
2023,에어컨,3,2705214,114,0
2021,스마트폰,1,2329180,200,0
2020,청소기,3,2428599,325,0
2021,냉장고,5,1095843,99,0
2020,노트북,3,726045,145,0
2021,냉장고,2,1581235,253,0
2020,에어컨,1,401207,231,0
2020,냉장고,2,1524945,129,0
2020,노트북,2,1491538,166,0
2023,에어컨,5,2463999,105,0
2021,냉장고,1,820488,278,1
2021,에어컨,1,696387,179,0
2021,스마트폰,1,519065,343,0
2020,스마트폰,1,2884372,206,0
2021,냉장고,1,131585,182,0
2021,에어컨,5,1563807,174,0
2020,노트북,3,1716449,180,0
2022,냉장고,2,389102,208,0
2020,스마트폰,1,1436737,400,0
2021,스마트폰,3,2078281,172,0
2020,냉장고,3,2477074,175,0
2022,에어컨,2,2897753,205,0
2020,스마트폰,5,1190805,287,0
2021,에어컨,4,349474,86,0
2022,스마트폰,4,360116,236,1
2023,스마트폰,3,1992064,134,0
2021,청소기,2,2718137,244,0
2022,스마트폰,4,119975,160,0
2022,노트북,3,257795,20,0
2023,냉장고,5,1357949,229,0
2020,냉장고,4,1124939,228,0
2020,에어컨,3,1443862,153,0
2021,스마트폰,3,488076,148,0
2023,노트북,1,2857160,95,0
2020,에어컨,5,790493,261,0
2023,청소기,1,2817499,270,0
2020,에어컨,2,722605,129,0
2022,에어컨,1,825495,156,1
2020,스마트폰,1,1445766,194,1
2023,청소기,4,2298611,381,0
2022,에어컨,3,861985,243,0
2022,노트북,5,2397574,124,0
2022,노트북,1,1980901,224,0
2023,냉장고,5,2060826,89,0
2021,청소기,1,2782712,257,0
2021,청소기,2,2944664,334,0
2021,냉장고,1,2713275,334,0
2023,에어컨,4,1478369,258,0
2022,청소기,3,2523970,153,0
2021,노트북,2,2190212,95,1
2023,노트북,1,1136548,87,0
2021,스마트폰,5,2341984,20,0
2020,청소기,2,252999,255,0
2021,에어컨,2,448619,191,0
2021,냉장고,1,161367,272,0
2022,냉장고,2,853315,314,0
2023,에어컨,5,505804,207,0
2022,스마트폰,2,2954190,211,0
2022,냉장고,5,1384382,162,0
2022,청소기,1,1193314,172,1
2022,스마트폰,3,2754837,258,0
2022,청소기,2,1142377,186,0
2021,노트북,3,2399484,174,0
2022,스마트폰,5,482729,198,0
2022,냉장고,2,2011627,270,0
2023,스마트폰,4,1168392,144,0
2020,스마트폰,3,1059744,194,0
2021,스마트폰,2,1023780,219,0
2021,스마트폰,3,2966451,292,1
2021,청소기,2,1565291,180,0
2022,노트북,1,2568152,142,0
2022,에어컨,3,313567,161,0
2022,스마트폰,4,2793075,284,1
2023,냉장고,4,2042811,362,0
2020,스마트폰,5,2413336,94,0
2022,냉장고,2,398090,112,0
2020,청소기,3,417348,186,0
2023,냉장고,5,1331534,208,0
2021,에어컨,3,1426283,262,0
2022,노트북,2,192324,128,0
2020,냉장고,4,2420688,114,0
2020,냉장고,1,1905808,211,0
2022,노트북,4,1420567,179,0
2021,에어컨,5,126155,274,1
2021,스마트폰,1,441815,238,0
2021,냉장고,5,1789755,244,1
2023,노트북,2,560494,191,0
2020,청소기,1,2346533,388,0
2020,노트북,5,2640476,132,0
2020,청소기,2,134707,248,0
2023,에어컨,4,1037841,98,0
2020,스마트폰,2,1667053,114,0
2023,노트북,3,2016545,151,0
2021,냉장고,2,2943940,330,1
2022,에어컨,2,453299,221,0
2020,노트북,3,1307068,152,0
2020,냉장고,5,1622688,229,0
2021,노트북,5,270102,202,0
2022,청소기,2,494274,160,0
2023,노트북,3,317285,88,0
2022,노트북,3,1486980,315,0
2021,노트북,4,1308052,216,0
