고객ID,연도,월,카테고리,구매건수,구매금액
CUST006,2023,11,가구,1,35553.6164480528
CUST006,2023,12,식품,0,34619.22129973918
CUST007,2022,1,가전,1,22859.949539770743
CUST007,2022,2,식품,5,48363.73502953983
CUST007,2022,3,가구,4,
CUST007,2022,4,가구,1,26184.31490279618
CUST007,2022,5,식품,2,-7844.808107302793
CUST007,2022,6,식품,3,46828.173597785724
CUST007,2022,7,식품,1,
CUST007,2022,8,가전,2,
CUST007,2022,9,가구,5,52400.67608154684
CUST007,2022,10,식품,2,38536.52892068519
CUST007,2022,11,가구,7,42969.76313637518
CUST007,2022,12,의류,3,60405.98361036525
CUST007,2023,1,가전,3,32570.523286741285
CUST007,2023,2,가구,6,56722.962550182274
CUST007,2023,3,식품,1,
CUST007,2023,4,식품,5,58428.47349614163
CUST007,2023,5,식품,1,42568.9431129074
CUST007,2023,6,식품,3,51541.44378036214
CUST007,2023,7,의류,2,50357.04842896532
CUST007,2023,8,가구,0,
CUST007,2023,9,가전,1,46478.15607561379
CUST007,2023,10,가전,0,22980.33032708652
CUST007,2023,11,도서,2,65383.99606217258
CUST007,2023,12,도서,3,30832.71973177287
CUST008,2022,1,도서,1,39436.732653157516
CUST008,2022,2,가전,3,16488.69620094431
CUST008,2022,3,가전,2,40822.2187864261
CUST008,2022,4,가구,3,40313.07468472277
CUST008,2022,5,가전,3,47971.65218092416
CUST008,2022,6,식품,6,55201.61671153788
CUST008,2022,7,의류,4,65454.449093157134
CUST008,2022,8,가구,2,38260.9150115596
CUST008,2022,9,도서,2,65837.5840283564
CUST008,2022,10,가구,2,23647.445493227082
CUST008,2022,11,식품,1,61846.36072242334
CUST008,2022,12,가전,4,
CUST008,2023,1,도서,5,43713.29283417892
CUST008,2023,2,도서,4,33162.69053937092
CUST008,2023,3,의류,3,48482.982559464996
CUST008,2023,4,도서,2,
CUST008,2023,5,식품,3,25795.985847380427
CUST008,2023,6,의류,1,18257.36254901283
CUST008,2023,7,도서,1,
CUST008,2023,8,도서,0,60239.80945130081
CUST008,2023,9,도서,2,
CUST008,2023,10,가전,1,62181.991828598686
CUST008,2023,11,의류,4,29187.52523272666
CUST008,2023,12,의류,1,61367.48605096479
CUST009,2022,1,식품,4,50479.830589131896
CUST009,2022,2,가전,1,-4091.1292420481695
CUST009,2022,3,가전,1,47963.70937877954
CUST009,2022,4,가전,2,22028.899051004664
CUST009,2022,5,의류,2,
CUST009,2022,6,가전,3,
CUST009,2022,7,가전,5,57046.93137355985
CUST009,2022,8,가전,1,60915.03574958743
CUST009,2022,9,의류,0,22639.105596764944
CUST009,2022,10,가전,1,62343.11059304214
CUST009,2022,11,가구,0,49175.454469032855
CUST009,2022,12,가전,3,61809.86552581442
CUST009,2023,1,도서,2,53929.496877200996
CUST009,2023,2,가전,1,41585.12454245977
CUST009,2023,3,의류,1,29536.023175611463
CUST009,2023,4,가구,0,60769.32022483208
CUST009,2023,5,도서,0,45442.096255640165
CUST009,2023,6,의류,1,56203.12672631729
CUST009,2023,7,도서,0,38059.57698882306
CUST009,2023,8,가전,4,46394.35081489315
CUST009,2023,9,가전,3,20313.838897594003
CUST009,2023,10,가전,3,
CUST009,2023,11,도서,1,
CUST009,2023,12,도서,2,37265.37507999944
CUST010,2022,1,도서,3,
CUST010,2022,2,의류,0,57781.46017146141
CUST010,2022,3,가전,1,61335.51182287764
CUST010,2022,4,가전,2,102316.63061811126
CUST010,2022,5,식품,0,56489.44062596909
CUST010,2022,6,가구,4,33319.6201958421
CUST010,2022,7,가구,0,78017.26250565806
CUST010,2022,8,가구,1,69907.23143227794
CUST010,2022,9,식품,1,35369.67405675574
CUST010,2022,10,도서,2,25774.719281716825
CUST010,2022,11,의류,1,46990.23879064676
CUST010,2022,12,도서,4,32240.77730470708
CUST010,2023,1,식품,0,60309.13848919838
CUST010,2023,2,가전,1,48763.17817002774
CUST010,2023,3,식품,1,54197.18969165357
CUST010,2023,4,의류,2,36971.1283160157
CUST010,2023,5,의류,1,
CUST010,2023,6,가구,0,41647.70151441454
CUST010,2023,7,도서,2,54595.003251053495
CUST010,2023,8,가구,1,29625.935532322004
CUST010,2023,9,도서,2,73262.38966811048
CUST010,2023,10,도서,0,79283.73850146274
CUST010,2023,11,식품,4,50906.66547169907
CUST010,2023,12,의류,2,22544.430246877095
CUST011,2022,1,가전,2,32166.63520045593
CUST011,2022,2,가구,1,25023.195625099484
CUST011,2022,3,가구,0,35135.567939094806
CUST011,2022,4,가구,3,
CUST011,2022,5,의류,2,39923.014306651385
CUST011,2022,6,의류,1,34557.9417893045
CUST011,2022,7,가구,0,28770.514188562294
CUST011,2022,8,의류,1,54914.96454623786
CUST011,2022,9,의류,4,13600.042790140425
CUST011,2022,10,가구,0,
CUST011,2022,11,가전,1,
CUST011,2022,12,가구,0,59536.82259312854
CUST011,2023,1,도서,1,47433.28503089879
CUST011,2023,2,가전,4,46359.59294289522
CUST011,2023,3,식품,0,36762.17448254292
CUST011,2023,4,의류,0,42829.91125316254
CUST011,2023,5,가전,2,53364.8277145868
CUST011,2023,6,가구,3,48059.60479157131
CUST011,2023,7,가전,2,61586.651677702364
CUST011,2023,8,가전,1,55320.92749100654
CUST011,2023,9,도서,3,51976.48213755359
CUST011,2023,10,식품,5,62890.91526770201
CUST011,2023,11,식품,4,51795.376724393216
CUST011,2023,12,의류,3,66529.78236815619
CUST012,2022,1,가구,1,
CUST012,2022,2,가구,1,56287.14260032143
CUST012,2022,3,가구,1,33787.48375541778
CUST012,2022,4,의류,1,
CUST012,2022,5,가전,2,
CUST012,2022,6,의류,2,22832.884849546048
CUST012,2022,7,가구,2,60839.89381568102
CUST012,2022,8,가구,0,44012.39752272704
CUST012,2022,9,가구,3,24977.874509070298
CUST012,2022,10,식품,4,75610.65942411721
CUST012,2022,11,식품,0,2633.2822663845873
CUST012,2022,12,도서,0,48655.14713823354
CUST012,2023,1,의류,4,
CUST012,2023,2,가전,2,77334.61920103457
CUST012,2023,3,식품,3,90529.40456762987
CUST012,2023,4,식품,2,21744.185034231392
CUST012,2023,5,도서,5,24188.856275004688
CUST012,2023,6,의류,2,34903.863915446855
CUST012,2023,7,가구,1,55342.93513562392
CUST012,2023,8,가전,1,47666.78222705656
CUST012,2023,9,의류,1,94873.18901456441
CUST012,2023,10,도서,3,40340.068022340754
CUST012,2023,11,가전,3,49035.56728810649
CUST012,2023,12,가전,1,46332.50816215682
CUST013,2022,1,가전,4,28102.63020881886
CUST013,2022,2,가구,2,43052.914726255505
CUST013,2022,3,가전,0,36434.981841999586
CUST013,2022,4,의류,5,49559.75065903896
CUST013,2022,5,가전,1,64399.82277371926
CUST013,2022,6,식품,4,24309.90880760175
CUST013,2022,7,가전,2,81150.56260006913
CUST013,2022,8,식품,3,35355.359035764275
CUST013,2022,9,가전,1,49476.21879033586
CUST013,2022,10,가전,2,102359.1009095071
CUST013,2022,11,가전,1,44092.24561617106
CUST013,2022,12,가전,1,61078.6005537134
CUST013,2023,1,가전,1,56173.50522897357
CUST013,2023,2,가전,2,59135.13601102018
CUST013,2023,3,가구,2,50674.99561092651
CUST013,2023,4,의류,2,39410.85670043936
CUST013,2023,5,식품,1,57520.35544838583
CUST013,2023,6,의류,2,52986.14781066493
CUST013,2023,7,도서,3,35592.36015472757
CUST013,2023,8,가전,1,56273.948940483504
CUST013,2023,9,가구,0,45168.72122692957
CUST013,2023,10,가전,0,58719.64046268789
CUST013,2023,11,의류,4,42921.492573381474
CUST013,2023,12,도서,1,77229.62517077608
CUST014,2022,1,도서,2,41712.01013491105
CUST014,2022,2,식품,4,38768.30411495603
CUST014,2022,3,의류,2,48376.27991151663
CUST014,2022,4,가전,2,
CUST014,2022,5,도서,2,50570.20974349997
CUST014,2022,6,가전,3,45866.328636746526
CUST014,2022,7,의류,1,
CUST014,2022,8,가전,1,61579.884838786435
CUST014,2022,9,도서,1,112637.08870552838
CUST014,2022,10,가구,0,57344.357159668834
CUST014,2022,11,가전,3,62902.26267310563
CUST014,2022,12,가구,3,28998.156425359513
CUST014,2023,1,식품,2,42228.912158095045
CUST014,2023,2,도서,1,57367.9057030427
CUST014,2023,3,도서,4,79989.90094091771
CUST014,2023,4,식품,4,75024.66321485162
CUST014,2023,5,가전,0,
CUST014,2023,6,식품,1,20303.976542558292
CUST014,2023,7,도서,4,48833.61080093036
CUST014,2023,8,의류,2,
CUST014,2023,9,의류,2,66331.31360852295
CUST014,2023,10,가구,1,53831.80467411613
CUST014,2023,11,가구,2,31191.698269585482
CUST014,2023,12,가전,3,
CUST015,2022,1,도서,2,46081.844151627076
CUST015,2022,2,가구,3,54983.55729961781
CUST015,2022,3,가구,2,52857.97497554394
CUST015,2022,4,식품,2,24920.47911311015
CUST015,2022,5,가구,0,73738.39663924191
CUST015,2022,6,의류,2,70270.32639535127
CUST015,2022,7,의류,3,53163.97242918666
CUST015,2022,8,도서,0,20190.7428110001
CUST015,2022,9,도서,2,31694.590306720143
CUST015,2022,10,도서,2,24050.564892814582
CUST015,2022,11,도서,3,36737.34037476997
CUST015,2022,12,가전,1,4518.598925370665
CUST015,2023,1,식품,4,60726.8888806662
CUST015,2023,2,식품,4,
CUST015,2023,3,도서,2,
CUST015,2023,4,의류,3,48605.153834454846
CUST015,2023,5,식품,4,35747.39922203347
CUST015,2023,6,가구,3,24978.34960381036
CUST015,2023,7,가전,1,33332.19602947397
CUST015,2023,8,식품,2,67770.2370021586
CUST015,2023,9,의류,1,100855.12890990559
CUST015,2023,10,도서,1,39634.467969484176
CUST015,2023,11,식품,3,59456.96965107954
CUST015,2023,12,가구,2,20874.2868825743
CUST016,2022,1,도서,2,82694.1522185935
CUST016,2022,2,가구,1,35566.58583558299
CUST016,2022,3,의류,1,50024.781366746414
CUST016,2022,4,가구,4,31454.222830814313
CUST016,2022,5,의류,1,45436.90406833231
CUST016,2022,6,가전,3,20524.68964772713
CUST016,2022,7,의류,0,37826.560432510436
CUST016,2022,8,가구,2,31514.28193098313
CUST016,2022,9,가전,0,52305.69416199746
CUST016,2022,10,도서,1,79233.2590712171
CUST016,2022,11,가전,2,
CUST016,2022,12,도서,6,73152.95988089667
CUST016,2023,1,의류,3,62706.27826701281
CUST016,2023,2,의류,2,26177.23534972967
CUST016,2023,3,도서,0,84466.90916856588
CUST016,2023,4,의류,0,76283.04287430653
CUST016,2023,5,가전,1,
CUST016,2023,6,의류,1,46264.730482951476
CUST016,2023,7,가전,2,
CUST016,2023,8,식품,0,58411.85742730141
CUST016,2023,9,도서,3,42655.070606164925
CUST016,2023,10,도서,2,49693.651232708784
CUST016,2023,11,식품,2,77976.26050783857
CUST016,2023,12,식품,0,28293.494955727256
CUST017,2022,1,가전,4,50044.743979490886
CUST017,2022,2,도서,0,48750.977796684594
CUST017,2022,3,가구,2,46213.74271924086
CUST017,2022,4,식품,3,72726.77469951837
CUST017,2022,5,의류,1,69032.49669863346
CUST017,2022,6,가구,0,49198.819813003865
CUST017,2022,7,가구,3,62456.321410196884
CUST017,2022,8,의류,1,22465.364597732398
CUST017,2022,9,의류,0,87049.09798454642
CUST017,2022,10,가전,2,38075.42594358399
CUST017,2022,11,가구,1,46308.89097175671
CUST017,2022,12,가구,0,17597.768864198562
CUST017,2023,1,의류,1,56133.513116179194
CUST017,2023,2,가구,4,36455.97300554312
CUST017,2023,3,의류,2,50089.047967272825
CUST017,2023,4,의류,2,36785.88791303516
CUST017,2023,5,도서,1,
CUST017,2023,6,도서,3,39834.44579665849
CUST017,2023,7,의류,2,29488.708850246054
CUST017,2023,8,가구,3,26688.3632973412
CUST017,2023,9,식품,2,43439.32965583115
CUST017,2023,10,가구,2,45202.29588928644
CUST017,2023,11,의류,3,51525.20501192376
CUST017,2023,12,가구,6,33321.72825091859
CUST018,2022,1,가전,2,36977.10853237234
CUST018,2022,2,식품,1,
CUST018,2022,3,가구,1,37047.68831486572
CUST018,2022,4,도서,3,58150.74654033612
CUST018,2022,5,가전,6,56714.392265467046
CUST018,2022,6,가구,2,82804.43098221018
CUST018,2022,7,의류,2,70479.79065702073
CUST018,2022,8,가전,4,56266.6090917525
CUST018,2022,9,의류,0,24577.225480728317
CUST018,2022,10,의류,3,21566.07866750903
CUST018,2022,11,가구,5,
CUST018,2022,12,식품,2,48348.22795076643
CUST018,2023,1,가구,1,62201.838990855336
CUST018,2023,2,가구,5,20739.79230581075
CUST018,2023,3,의류,1,45474.66543874405
CUST018,2023,4,가전,1,11096.673870039507
CUST018,2023,5,가전,1,31833.75308380942
CUST018,2023,6,의류,3,68317.12897284285
CUST018,2023,7,가구,1,89677.10600079932
CUST018,2023,8,의류,1,43429.79629586908
CUST018,2023,9,가구,3,34119.795287532295
CUST018,2023,10,도서,0,54595.862940520106
CUST018,2023,11,가전,2,76568.35804554442
CUST018,2023,12,가전,5,26713.37857203584
CUST019,2022,1,도서,0,
CUST019,2022,2,가구,3,66336.82925033756
CUST019,2022,3,의류,0,73853.1622346353
CUST019,2022,4,의류,1,97023.37223705553
CUST019,2022,5,도서,2,54324.0427912893
CUST019,2022,6,도서,1,83607.47476807034
CUST019,2022,7,도서,2,61357.32825491868
CUST019,2022,8,가구,3,56847.47585959892
CUST019,2022,9,가전,2,56843.32446588819
CUST019,2022,10,의류,3,31208.47143129066
CUST019,2022,11,가구,5,90894.7506030509
CUST019,2022,12,가구,4,
CUST019,2023,1,가전,3,32379.054875124937
CUST019,2023,2,가전,0,51651.398718189805
CUST019,2023,3,식품,0,61745.18936195769
CUST019,2023,4,도서,3,40962.71210496622
CUST019,2023,5,가전,2,55995.80879732312
CUST019,2023,6,식품,2,55634.45455664344
CUST019,2023,7,의류,3,94131.42042942735
CUST019,2023,8,가전,2,32753.5560139142
CUST019,2023,9,식품,0,
CUST019,2023,10,식품,2,70352.56991826517
CUST019,2023,11,가구,2,25060.754716240677
CUST019,2023,12,가전,5,82851.97507758808
CUST020,2022,1,식품,2,34428.32563678109
CUST020,2022,2,가구,1,23441.523823794418
CUST020,2022,3,가전,3,
CUST020,2022,4,의류,2,60766.13162107037
CUST020,2022,5,식품,1,72747.04478283328
CUST020,2022,6,가전,1,64017.47836131561
CUST020,2022,7,의류,2,79860.45271428526
CUST020,2022,8,식품,0,65709.52905709973
CUST020,2022,9,가전,2,66090.94709040744
CUST020,2022,10,의류,2,97608.19385924799
CUST020,2022,11,도서,1,61202.46322060629
CUST020,2022,12,가구,1,69778.2578858276
CUST020,2023,1,가전,0,57623.45857886862
CUST020,2023,2,가구,0,68729.27892039053
CUST020,2023,3,가구,2,88226.63437505686
CUST020,2023,4,의류,2,54751.400570866215
CUST020,2023,5,의류,2,58637.0691458916
CUST020,2023,6,가구,4,45502.58912655887
CUST020,2023,7,의류,2,
CUST020,2023,8,가구,3,35767.54231180148
CUST020,2023,9,가전,4,33150.95194507953
CUST020,2023,10,가구,2,41103.03247853353
CUST020,2023,11,도서,3,75892.89980071838
CUST020,2023,12,가구,1,62621.53311069455
CUST021,2022,1,가전,3,91199.84175447928
CUST021,2022,2,의류,1,45919.864551007406
CUST021,2022,3,의류,5,94829.90757318487
CUST021,2022,4,식품,0,8307.21735091626
CUST021,2022,5,가구,0,47212.40302194506
CUST021,2022,6,가구,1,21878.468718969125
CUST021,2022,7,의류,4,60743.22240511951
CUST021,2022,8,식품,1,28962.202973805066
CUST021,2022,9,식품,3,22952.205670490097
CUST021,2022,10,가전,3,79560.2430469265
CUST021,2022,11,가전,2,40160.631879215194
CUST021,2022,12,가전,2,61521.5340865769
CUST021,2023,1,식품,0,45086.08141469398
CUST021,2023,2,가전,3,42350.1382544394
CUST021,2023,3,도서,0,10822.41406167279
CUST021,2023,4,의류,1,77030.18701802427
CUST021,2023,5,가구,4,
CUST021,2023,6,가구,3,81489.644705727
CUST021,2023,7,도서,2,68671.72263755611
CUST021,2023,8,의류,2,
CUST021,2023,9,가전,1,51875.91294212593
CUST021,2023,10,도서,2,70913.76237996055
CUST021,2023,11,도서,1,38368.29161081416
CUST021,2023,12,의류,0,28247.154871755884
CUST022,2022,1,의류,2,69847.3839957495
CUST022,2022,2,가전,4,48348.0533430183
CUST022,2022,3,도서,4,58191.076567520766
CUST022,2022,4,의류,0,50977.29894563662
CUST022,2022,5,도서,0,38971.112877900436
CUST022,2022,6,의류,0,7063.722444731531
CUST022,2022,7,가구,3,47864.02634078514
CUST022,2022,8,도서,0,83277.28492415603
CUST022,2022,9,가구,1,38791.24595696392
CUST022,2022,10,가구,5,55359.714092907176
CUST022,2022,11,가구,3,29535.763981513435
CUST022,2022,12,의류,3,85065.45023927602
CUST022,2023,1,식품,0,49235.47710475107
CUST022,2023,2,가구,1,36428.535359347574
CUST022,2023,3,가전,1,61206.62020429582
CUST022,2023,4,가구,1,67737.18334911086
CUST022,2023,5,식품,2,25778.461592257336
CUST022,2023,6,도서,4,
CUST022,2023,7,의류,2,44342.01298460574
CUST022,2023,8,식품,2,60016.11305737981
CUST022,2023,9,의류,1,79882.98204856625
CUST022,2023,10,의류,3,61222.66784483718
CUST022,2023,11,도서,1,57128.82224247072
CUST022,2023,12,가전,1,47105.14888410007
CUST023,2022,1,도서,5,18870.188785590555
CUST023,2022,2,의류,3,69532.3807838918
CUST023,2022,3,의류,0,80377.41825542683
CUST023,2022,4,가구,5,
CUST023,2022,5,가전,2,93593.77064105157
CUST023,2022,6,의류,1,48452.51372162682
CUST023,2022,7,가구,1,26093.011948221818
CUST023,2022,8,식품,3,47007.35321210938
CUST023,2022,9,의류,1,60226.5191703196
CUST023,2022,10,식품,4,39439.930350761606
CUST023,2022,11,의류,1,81272.54052730059
CUST023,2022,12,식품,2,37415.63846547732
CUST023,2023,1,의류,1,20466.19480858439
CUST023,2023,2,의류,4,
CUST023,2023,3,식품,0,84670.82650984307
CUST023,2023,4,의류,3,
CUST023,2023,5,도서,1,65650.28779824494
CUST023,2023,6,가구,1,58463.527798587835
CUST023,2023,7,도서,2,39875.77953449972
CUST023,2023,8,가전,0,45371.69703574395
CUST023,2023,9,도서,1,81297.26719466042
CUST023,2023,10,가전,2,41095.93528468319
CUST023,2023,11,의류,3,42622.142369440386
CUST023,2023,12,가전,0,36532.19081891204
CUST024,2022,1,의류,2,25715.39101914316
CUST024,2022,2,의류,0,92814.39271696529
CUST024,2022,3,가전,1,40477.86608755054
CUST024,2022,4,도서,3,
CUST024,2022,5,가전,1,42951.76245689611
CUST024,2022,6,도서,4,47566.1646481408
CUST024,2022,7,도서,2,59720.63873284393
CUST024,2022,8,의류,7,
CUST024,2022,9,의류,1,31752.346755945862
CUST024,2022,10,도서,1,59354.21472922365
CUST024,2022,11,식품,2,55004.35736724238
CUST024,2022,12,의류,2,60445.91496184059
CUST024,2023,1,가구,0,38338.10667239247
CUST024,2023,2,가구,0,56383.542202826415
CUST024,2023,3,가전,0,39148.85421442514
CUST024,2023,4,식품,2,51899.65013228151
CUST024,2023,5,가전,4,53972.29671587035
CUST024,2023,6,도서,3,65389.07624304267
CUST024,2023,7,식품,1,23555.322025618905
CUST024,2023,8,의류,3,21725.968345822883
CUST024,2023,9,의류,5,35594.70218438587
CUST024,2023,10,의류,3,
CUST024,2023,11,가구,1,25203.745594417396
CUST024,2023,12,가전,1,56454.77981482043
CUST025,2022,1,도서,1,41562.97855282982
CUST025,2022,2,식품,4,69353.47208110834
CUST025,2022,3,의류,1,
CUST025,2022,4,식품,3,46782.31697799318
CUST025,2022,5,가전,2,
CUST025,2022,6,의류,0,22773.01450754892
CUST025,2022,7,의류,1,81613.39173954981
CUST025,2022,8,도서,2,49986.5592403018
CUST025,2022,9,식품,0,84870.54904469912
CUST025,2022,10,가구,2,80571.57001327447
CUST025,2022,11,의류,1,53214.95120453124
CUST025,2022,12,의류,1,37545.3009024005
CUST025,2023,1,도서,3,61526.272764795765
CUST025,2023,2,가전,2,78676.06395848938
CUST025,2023,3,도서,1,57209.922521016066
CUST025,2023,4,도서,2,
CUST025,2023,5,가전,0,74479.1548678702
CUST025,2023,6,가구,0,18663.134258286034
CUST025,2023,7,의류,3,
CUST025,2023,8,가전,1,50238.96658997153
CUST025,2023,9,가구,1,84857.16486712656
CUST025,2023,10,가구,2,64405.04360605028
CUST025,2023,11,의류,2,
CUST025,2023,12,도서,1,83342.26152128616
CUST026,2022,1,식품,0,53743.375845895935
CUST026,2022,2,가전,2,88409.54692322655
CUST026,2022,3,도서,2,86302.46862659491
CUST026,2022,4,도서,2,29999.42144144422
CUST026,2022,5,식품,1,33206.69976264841
CUST026,2022,6,가구,0,38726.704393300446
CUST026,2022,7,가전,2,61206.52452380536
CUST026,2022,8,의류,0,50095.27163421
CUST026,2022,9,가구,3,39137.65519173876
CUST026,2022,10,식품,3,68464.11298309485
CUST026,2022,11,도서,2,57071.4632348911
CUST026,2022,12,가전,7,7872.264811229594
CUST026,2023,1,식품,0,86545.904060914
CUST026,2023,2,도서,0,30494.07783176216
CUST026,2023,3,가구,1,
CUST026,2023,4,의류,1,4609.712123811427
CUST026,2023,5,가구,1,25781.903030502923
CUST026,2023,6,도서,4,61410.93541682274
CUST026,2023,7,식품,3,49141.940478722194
CUST026,2023,8,가구,5,37761.209886918965
CUST026,2023,9,가구,2,17377.452721101447
CUST026,2023,10,가구,1,31736.41381072632
CUST026,2023,11,도서,2,45519.941402607954
CUST026,2023,12,식품,2,68820.35224644518
CUST027,2022,1,도서,2,71646.72093105619
CUST027,2022,2,식품,0,64481.51493811749
CUST027,2022,3,의류,3,53812.6962663505
CUST027,2022,4,가구,2,47639.29365598355
CUST027,2022,5,식품,2,38513.20950673691
