연도,월,고객ID,카테고리,성별,나이,주문금액,구매수량,리뷰점수,반품여부
2021,7,CUST0251,Books,F,23,105049.0,2,3.566885377434309,0
2021,4,CUST0264,Electronics,F,49,109857.0,3,4.200218608566311,0
2021,1,CUST0093,Clothing,F,19,124193.0,2,3.233474975684091,0
2022,4,CUST0265,Clothing,F,21,152931.0,0,3.2527621726476093,0
2020,11,CUST0266,Clothing,F,22,75130.0,1,2.8723435920779328,0
2022,6,CUST0129,Toys,F,47,,2,5.0,0
2023,10,CUST0191,Home,M,54,132953.0,1,4.205856386563576,0
2020,4,CUST0032,Books,M,33,96027.0,0,3.6880938647017794,1
2022,3,CUST0206,Toys,F,30,56790.0,2,3.709352318259073,0
2021,10,CUST0106,Books,F,63,75809.0,3,4.216696385991176,0
2020,9,CUST0148,Electronics,M,29,43576.0,5,3.3497300381913377,0
2021,9,CUST0236,Electronics,F,52,67574.0,2,4.977205106205056,0
2022,6,CUST0085,Home,F,24,153138.0,5,3.6716623794946357,0
2023,12,CUST0239,Toys,F,57,84695.0,1,4.125728203717873,0
2020,1,CUST0232,Home,M,28,77990.0,4,3.9537395530743593,0
2023,2,CUST0014,Toys,F,32,,4,3.754643779390688,0
2020,7,CUST0202,Books,M,32,147824.0,1,5.0,0
2021,12,CUST0056,Electronics,F,22,61874.0,2,4.6173086286254765,0
2022,2,CUST0025,Books,F,49,94370.0,2,4.053545658927381,0
2023,4,CUST0258,Clothing,F,28,113720.0,1,4.32561823095569,0
2022,6,CUST0194,Clothing,M,63,91600.0,4,5.0,0
2022,9,CUST0285,Electronics,F,65,129081.0,4,,1
2022,3,CUST0179,Books,M,28,184190.0,0,3.167907861245305,0
2022,12,CUST0152,Clothing,M,23,112654.0,5,4.475926202900704,0
2022,12,CUST0294,Electronics,F,28,28190.0,2,4.1403085446820755,0
2022,12,CUST0171,Clothing,F,50,22967.0,4,4.13870693254366,0
2020,6,CUST0095,Clothing,F,41,148101.0,4,4.652640611933835,0
2022,11,CUST0048,Toys,F,25,134830.0,1,5.0,1
2022,3,CUST0280,Electronics,F,39,83748.0,5,5.0,0
2022,2,CUST0117,Electronics,M,51,99752.0,2,3.6881383864523594,0
2021,11,CUST0295,Books,M,33,92080.0,2,3.5891168591734397,0
2021,3,CUST0080,Home,M,67,74792.0,3,4.660451522662454,0
2020,8,CUST0083,Electronics,M,28,52735.0,5,3.07831108563684,0
2020,1,CUST0215,Clothing,F,32,,2,4.390746593371092,0
2022,5,CUST0217,Books,F,52,85375.0,5,2.215541386741684,0
2023,2,CUST0089,Books,M,31,159257.0,2,3.6676253898545887,1
2021,11,CUST0278,Toys,M,47,189476.0,4,3.420145118435552,0
2021,11,CUST0045,Books,M,46,101116.0,4,3.2602779635719266,0
2020,4,CUST0003,Home,F,49,41414.0,5,2.5817090966164047,0
2022,5,CUST0205,Toys,F,19,94893.0,2,3.285865971084121,0
2022,5,CUST0027,Clothing,M,46,109899.0,3,3.391789599726648,0
2021,6,CUST0074,Toys,F,19,63805.0,2,3.810462865658279,0
2022,7,CUST0048,Books,M,29,159357.0,5,4.62115331062407,1
2020,4,CUST0276,Clothing,F,50,107495.0,6,3.320381068518874,0
2021,4,CUST0070,Home,F,50,108193.0,3,4.14677810547084,0
2022,3,CUST0029,Home,M,61,14435.0,2,4.44641928241928,0
2020,12,CUST0125,Toys,M,69,109441.0,2,4.972099534523962,0
2022,3,CUST0215,Home,F,28,53822.0,3,3.134203441440585,0
2022,5,CUST0006,Toys,M,50,54200.0,3,3.1272181957274245,0
2021,5,CUST0097,Clothing,F,57,51212.0,1,3.5990601205044355,0
2023,2,CUST0176,Electronics,F,66,,6,5.0,0
2023,7,CUST0273,Clothing,M,68,50616.0,4,3.885672305968893,0
2022,3,CUST0126,Clothing,F,34,90188.0,4,3.2915328594624373,0
2021,2,CUST0089,Home,M,59,202783.0,5,4.699883596842393,0
2022,8,CUST0068,Toys,F,40,128930.0,4,4.155169095605154,0
2023,4,CUST0262,Home,F,38,144551.0,2,5.0,1
2020,11,CUST0132,Electronics,M,56,84307.0,2,3.7190071249911805,0
2023,5,CUST0137,Books,M,48,105019.0,3,4.034071273832683,0
2020,7,CUST0251,Clothing,F,44,102320.0,3,5.0,0
2021,2,CUST0029,Toys,F,61,86910.0,5,4.347179501594438,0
2021,9,CUST0240,Clothing,F,63,147591.0,2,4.088968702951923,0
2020,3,CUST0116,Electronics,M,44,139177.0,7,3.7393886674884365,0
2022,12,CUST0266,Clothing,F,57,110643.0,3,4.947710878262874,0
2020,1,CUST0141,Toys,M,21,101379.0,5,3.6896420507382572,0
2023,4,CUST0205,Toys,M,41,182361.0,4,4.246068624780394,1
2022,3,CUST0046,Books,M,43,81286.0,5,4.540678587386033,0
2021,1,CUST0261,Electronics,F,53,141304.0,2,4.8400959283710545,0
2022,10,CUST0056,Home,M,39,117430.0,3,3.024331995572231,0
2020,10,CUST0067,Electronics,M,21,61367.0,0,2.7359501520092193,0
2022,8,CUST0274,Toys,M,39,72371.0,4,3.6945392291446084,1
2021,1,CUST0065,Books,M,21,128155.0,1,3.874148274231214,0
2020,1,CUST0179,Toys,F,18,50679.0,3,4.179852612069885,0
2022,5,CUST0167,Home,M,54,139507.0,1,5.0,1
2023,2,CUST0014,Home,M,60,43723.0,2,4.2450565465564125,0
2023,1,CUST0129,Books,F,28,163040.0,3,4.381856079782582,0
2021,3,CUST0201,Toys,M,58,42044.0,4,4.072275800204144,0
2020,2,CUST0165,Electronics,F,30,152346.0,2,4.620817187532792,1
2023,6,CUST0121,Home,M,45,134510.0,3,4.503574869219613,0
2021,10,CUST0053,Books,M,68,141506.0,3,4.337129840785444,0
2023,8,CUST0153,Toys,F,20,128470.0,2,3.952270427286252,0
2020,7,CUST0064,Electronics,F,46,167975.0,4,5.0,0
2023,4,CUST0045,Home,F,22,132668.0,1,3.82120319145916,0
2021,8,CUST0092,Books,M,25,43058.0,1,3.6344925904517806,1
2023,8,CUST0005,Electronics,M,49,75116.0,3,4.6233533497526444,0
2023,12,CUST0089,Books,M,39,121598.0,4,4.948573111317347,0
2022,10,CUST0290,Books,F,20,118029.0,2,3.351171267208994,0
2021,5,CUST0275,Clothing,F,43,148887.0,2,4.326090245425121,1
2023,12,CUST0153,Electronics,M,30,114489.0,2,5.0,0
2022,10,CUST0030,Electronics,M,25,127580.0,1,3.330836329280153,0
2022,7,CUST0066,Clothing,F,53,100427.0,3,3.215669282430373,0
2022,11,CUST0134,Clothing,M,23,15932.0,4,3.962917204058653,0
2023,4,CUST0063,Electronics,F,43,148044.0,0,3.3964127960208432,0
2022,12,CUST0218,Clothing,F,20,178874.0,2,4.46375776971953,0
2023,10,CUST0248,Electronics,M,55,129536.0,5,3.3309490270051185,0
2023,9,CUST0110,Home,M,42,214212.0,1,3.564175776896289,0
2023,4,CUST0025,Toys,F,40,129395.0,2,1.886901115715642,0
2020,6,CUST0242,Home,F,69,146109.0,4,3.8964765420816803,0
2021,9,CUST0039,Clothing,F,67,76898.0,6,5.0,0
2020,8,CUST0091,Books,M,29,140469.0,2,1.7115226525483163,1
2022,9,CUST0198,Books,M,19,109410.0,2,5.0,0
2021,4,CUST0152,Home,M,50,,4,3.7820021120385716,0
2022,1,CUST0152,Toys,M,30,44441.0,1,3.4671195809100537,1
2020,5,CUST0140,Toys,M,39,101316.0,1,2.214686586550318,0
2022,8,CUST0180,Clothing,M,53,89057.0,2,4.017663807891624,0
2021,5,CUST0268,Home,F,40,85285.0,6,5.0,0
2020,9,CUST0020,Electronics,F,66,179463.0,2,3.4706765665417,0
2022,7,CUST0132,Toys,M,22,61027.0,3,5.0,0
2022,8,CUST0272,Electronics,F,45,90678.0,3,4.506576893479965,0
2023,6,CUST0163,Electronics,M,45,93354.0,3,3.8714408824790105,0
2020,2,CUST0186,Toys,F,53,131871.0,7,3.641677479071259,0
2023,8,CUST0139,Toys,F,26,148989.0,0,4.078705264015612,0
2023,10,CUST0132,Books,F,51,124796.0,1,5.0,0
2020,8,CUST0004,Electronics,M,30,37746.0,2,5.0,0
2020,5,CUST0176,Clothing,M,64,92386.0,2,4.154007375172932,0
2022,1,CUST0032,Home,F,25,18733.0,1,2.759541972945585,0
2023,9,CUST0127,Toys,M,31,,3,3.501402943324738,0
2020,4,CUST0089,Electronics,M,66,148278.0,2,2.8424243339097046,0
2020,7,CUST0113,Toys,F,39,116342.0,2,3.2729040240846796,0
2022,9,CUST0217,Books,M,58,72079.0,2,3.9199062944865095,0
2023,3,CUST0247,Toys,F,29,128836.0,2,4.771176353873263,0
2023,8,CUST0161,Home,F,42,80363.0,2,3.121585464779203,0
2021,7,CUST0186,Clothing,F,45,119789.0,4,3.7320439972654906,0
2020,9,CUST0092,Toys,M,41,107758.0,5,4.075644319236638,0
2023,7,CUST0016,Toys,F,34,109300.0,5,3.9928923490672585,0
2023,11,CUST0037,Clothing,F,33,66697.0,2,4.3689310126063345,0
2021,10,CUST0191,Clothing,M,58,139730.0,1,3.559905245765007,0
2020,11,CUST0163,Electronics,F,28,83091.0,5,4.563108972610432,0
2023,10,CUST0135,Home,F,28,118958.0,3,3.924825710657857,0
2020,10,CUST0139,Toys,F,61,49525.0,2,3.2002828324974497,0
2021,10,CUST0021,Clothing,F,39,29921.0,3,3.742930673221468,0
2022,11,CUST0258,Clothing,M,58,102459.0,4,2.776741384640589,0
2021,8,CUST0252,Home,M,54,129240.0,8,3.099074842695866,0
2022,6,CUST0008,Books,F,61,43117.0,3,4.718358343770374,0
2022,3,CUST0030,Books,F,48,136304.0,1,4.170938704594812,0
2020,2,CUST0062,Electronics,F,35,126925.0,7,4.194841502311847,0
2020,1,CUST0025,Books,F,21,150306.0,2,5.0,1
2021,12,CUST0272,Home,M,24,,4,3.9829196666703055,0
2023,9,CUST0017,Toys,F,55,128394.0,2,2.313918539425417,1
2022,2,CUST0225,Books,M,24,113254.0,3,3.655058438713536,0
2022,1,CUST0125,Books,M,25,100887.0,3,4.7150745619273975,0
2023,9,CUST0236,Home,F,68,117167.0,1,4.993239901818759,0
2023,1,CUST0048,Books,M,48,119829.0,5,2.7926044537242136,1
2020,3,CUST0298,Clothing,F,32,111578.0,5,4.799083620893196,0
2023,8,CUST0072,Clothing,M,21,75512.0,1,2.747973134964134,0
2022,10,CUST0265,Books,F,57,87224.0,1,4.218550034625862,0
2021,5,CUST0166,Clothing,M,39,124432.0,4,3.5098246299629254,0
2023,5,CUST0190,Electronics,M,23,109377.0,1,4.588633816872264,0
2020,3,CUST0136,Books,M,19,63154.0,4,4.730317900931511,0
2023,3,CUST0261,Home,F,53,97619.0,2,3.8161150438397957,0
2020,6,CUST0167,Electronics,F,49,69847.0,0,4.845273844640126,1
2023,5,CUST0149,Toys,F,35,179446.0,3,2.6941538819149886,0
2022,6,CUST0191,Toys,F,48,112808.0,5,5.0,0
2022,6,CUST0161,Electronics,M,53,169387.0,4,1.5840640704409283,0
2020,1,CUST0007,Home,F,45,96985.0,3,3.194930438802312,0
2021,5,CUST0229,Electronics,M,36,80242.0,3,4.67090669921884,0
2023,1,CUST0063,Clothing,M,21,68913.0,2,4.749604999872459,0
2020,4,CUST0104,Electronics,F,66,87021.0,2,4.034683354436753,0
2020,8,CUST0136,Electronics,F,18,133054.0,1,,0
2021,2,CUST0104,Clothing,F,19,85698.0,2,3.58497705531647,0
2022,3,CUST0268,Electronics,F,66,117662.0,2,4.110219924575323,0
2021,10,CUST0077,Home,F,32,84359.0,2,3.310769781156386,0
2021,12,CUST0056,Clothing,M,50,36215.0,1,3.856244752369075,0
2021,7,CUST0221,Electronics,M,57,81131.0,3,4.838688111145893,0
2023,12,CUST0177,Clothing,M,56,157783.0,2,4.59337288105078,0
2023,4,CUST0273,Home,F,40,101073.0,2,3.953635343061558,0
2022,10,CUST0200,Toys,F,60,101455.0,5,3.581056023513237,0
2021,12,CUST0149,Home,M,52,18627.0,4,4.103783933431311,0
2023,10,CUST0215,Clothing,M,68,82254.0,3,3.9403616112693576,0
2021,8,CUST0293,Clothing,F,27,101045.0,6,5.0,0
2020,10,CUST0241,Books,F,25,107761.0,3,5.0,0
2021,3,CUST0233,Books,M,39,61701.0,3,4.05388307014775,0
2020,7,CUST0024,Books,M,18,44039.0,2,2.312816864522671,0
2020,10,CUST0053,Home,F,42,83245.0,1,3.7653878123295623,0
2023,2,CUST0017,Home,F,50,106766.0,3,4.826180134634152,0
2021,5,CUST0179,Clothing,F,60,101998.0,3,4.042991691634485,0
2022,12,CUST0133,Clothing,F,58,137897.0,5,5.0,0
2020,9,CUST0195,Home,M,33,68406.0,3,4.477475923722548,0
2020,7,CUST0150,Clothing,F,64,80207.0,1,2.6176386391707585,0
2022,2,CUST0110,Electronics,M,45,92214.0,2,1.9526028232667039,0
2023,3,CUST0021,Toys,M,18,97088.0,2,2.9567203612541304,0
2021,6,CUST0172,Clothing,M,53,79317.0,3,3.407710208279554,0
2020,6,CUST0108,Home,F,40,91303.0,5,4.522414640547771,0
2021,4,CUST0264,Toys,F,41,165092.0,3,5.0,0
2020,2,CUST0095,Clothing,M,58,68647.0,2,3.8714800968520144,0
2023,7,CUST0107,Home,M,42,112455.0,2,4.177359432570734,0
2022,9,CUST0187,Clothing,F,25,101126.0,4,3.554642654855919,1
2021,11,CUST0061,Home,F,69,141140.0,4,3.2652921638023917,0
2020,7,CUST0121,Home,F,59,148664.0,5,3.502887775869885,0
2021,2,CUST0114,Electronics,M,64,158330.0,1,4.388714925536749,0
2023,5,CUST0253,Home,M,31,,4,4.064341326225855,0
2021,7,CUST0142,Electronics,F,62,107146.0,2,4.258678169243768,0
2022,2,CUST0092,Books,M,58,87493.0,3,3.4978828441940615,0
2023,11,CUST0284,Home,M,56,115245.0,1,3.6015972331052857,0
2023,6,CUST0106,Books,F,57,86676.0,2,3.625822381412834,0
2020,11,CUST0197,Clothing,M,44,81609.0,1,5.0,0
2023,11,CUST0220,Clothing,F,64,105563.0,2,2.9664350553367944,0
2022,8,CUST0046,Home,M,21,139145.0,4,3.80631821621311,0
2020,2,CUST0215,Electronics,M,28,12416.0,7,4.614991454917641,0
2021,6,CUST0252,Electronics,F,45,204061.0,2,3.694857138570366,0
2023,4,CUST0289,Books,F,36,152421.0,1,5.0,0
2023,11,CUST0012,Clothing,F,60,69939.0,5,4.787102504096248,0
2022,2,CUST0233,Books,M,24,95166.0,2,5.0,1
2022,5,CUST0197,Home,F,60,,1,3.7897911446927046,0
2023,5,CUST0074,Clothing,F,67,,1,4.1087394308209815,0
2023,4,CUST0168,Books,F,65,84590.0,4,5.0,0
2020,1,CUST0283,Electronics,F,69,86466.0,5,2.2708159959996914,0
2021,7,CUST0182,Clothing,M,69,82398.0,3,4.7223639701755635,0
2023,2,CUST0224,Electronics,M,24,138413.0,1,5.0,0
2022,8,CUST0162,Home,M,55,156119.0,3,3.1337920014988985,1
2023,11,CUST0296,Toys,M,53,62137.0,1,4.118155717473121,0
2021,8,CUST0235,Clothing,M,51,129003.0,4,3.536744908208899,0
2023,9,CUST0287,Electronics,F,44,68124.0,6,3.46703353132637,0
2023,10,CUST0095,Electronics,F,43,113139.0,6,3.2538024950778652,0
2023,2,CUST0106,Clothing,F,39,124425.0,1,3.949146209571943,0
2022,5,CUST0044,Home,M,69,61323.0,1,3.595617202736269,0
2023,8,CUST0031,Clothing,M,55,,6,3.0682031978080753,0
2020,2,CUST0055,Toys,F,34,143883.0,1,4.649253928600548,0
2021,8,CUST0177,Toys,F,62,127717.0,4,3.53278198476259,0
2020,12,CUST0114,Electronics,F,49,159051.0,0,2.7819462668383856,0
2023,7,CUST0047,Home,F,26,98677.0,1,3.877898787785895,0
2022,5,CUST0127,Home,F,34,63716.0,2,3.868228460990088,0
2021,12,CUST0077,Clothing,M,48,110526.0,1,3.8896975059113092,0
2023,12,CUST0113,Toys,F,63,56692.0,4,4.0074157628007265,0
2023,3,CUST0063,Clothing,F,19,182184.0,0,,0
2022,2,CUST0182,Books,M,67,40112.0,3,4.963932265906134,0
2021,5,CUST0077,Clothing,M,18,71996.0,6,4.5304282914451,0
2023,2,CUST0119,Toys,M,63,168618.0,4,3.402281205732819,0
2023,8,CUST0207,Books,F,20,173568.0,5,2.1193833171570455,0
2020,4,CUST0031,Toys,M,62,121270.0,1,4.067851661114915,1
2022,4,CUST0150,Toys,F,44,127765.0,1,5.0,0
2020,2,CUST0182,Home,M,47,110222.0,4,4.467956783214076,1
2021,10,CUST0080,Toys,M,39,109057.0,4,4.329637299390566,0
2021,8,CUST0266,Toys,M,44,1000.0,4,4.463733108032882,0
2022,10,CUST0085,Books,F,29,66302.0,1,3.89752410714685,0
2021,5,CUST0134,Clothing,F,60,156922.0,0,5.0,0
2023,3,CUST0237,Books,M,40,92844.0,4,4.905402944703325,0
2021,10,CUST0136,Toys,M,32,100504.0,0,3.968432786926901,0
2021,5,CUST0164,Clothing,F,61,178788.0,2,3.590530278084632,0
2023,8,CUST0062,Books,F,43,130691.0,3,3.9140120558663707,0
2023,6,CUST0086,Toys,M,59,51705.0,4,2.93296271020162,0
2020,7,CUST0044,Books,F,58,108046.0,1,5.0,0
2020,2,CUST0066,Home,F,39,93734.0,5,3.0056154139728273,0
2021,5,CUST0100,Home,M,40,67108.0,3,4.114395312535017,0
2020,2,CUST0288,Toys,M,22,48464.0,2,2.2435641742973687,0
2020,10,CUST0200,Electronics,M,59,123742.0,3,3.597431226259989,0
2022,1,CUST0002,Clothing,M,69,109632.0,3,3.128196549324833,0
2020,1,CUST0202,Books,F,42,85216.0,2,4.412500561894178,1
2020,1,CUST0259,Toys,F,63,77723.0,5,4.869407477312747,0
2021,10,CUST0115,Clothing,F,58,118272.0,3,4.34408876771761,0
2020,11,CUST0006,Clothing,F,42,77911.0,2,4.658107969289497,0
2020,7,CUST0259,Electronics,F,63,129910.0,0,3.348109034603469,0
2021,4,CUST0156,Home,F,24,104734.0,2,4.407525490191573,0
2023,10,CUST0047,Toys,M,61,98568.0,2,3.7206988916502945,0
2021,3,CUST0105,Electronics,F,38,43762.0,3,3.2122633672871648,0
2021,2,CUST0129,Books,M,27,147440.0,5,4.796238965614437,0
2023,9,CUST0188,Home,M,32,92918.0,3,2.833221925572448,1
2021,3,CUST0145,Toys,F,66,56826.0,4,4.195583730484275,0
2021,5,CUST0182,Electronics,M,25,46226.0,4,2.2018779743217074,0
2022,2,CUST0184,Electronics,M,57,62729.0,3,2.816293830969151,1
2023,2,CUST0022,Books,M,21,91678.0,3,3.676655692466602,0
2021,2,CUST0228,Books,M,32,97781.0,4,4.061133619592678,0
2021,8,CUST0182,Toys,F,69,76671.0,6,5.0,0
2021,1,CUST0270,Books,M,23,111215.0,5,3.1783242415875907,1
2021,2,CUST0113,Home,F,42,110751.0,2,3.873636240216606,0
2020,7,CUST0263,Home,M,33,99713.0,5,3.206891415658656,0
2020,3,CUST0163,Books,F,34,90557.0,2,2.876457363281318,0
2020,10,CUST0100,Home,M,20,57293.0,1,3.718057540826805,0
2023,10,CUST0177,Home,M,40,94640.0,6,4.778044113398045,0
2023,9,CUST0291,Home,M,56,146396.0,2,3.7281289956284653,0
2023,2,CUST0150,Home,F,19,70131.0,2,3.8378786515769114,0
2020,10,CUST0033,Books,M,25,166003.0,4,4.313726673373948,0
2020,2,CUST0133,Home,M,37,120157.0,5,3.9999903830536936,0
2021,10,CUST0011,Home,F,57,148948.0,3,4.754709137087301,0
2020,2,CUST0200,Electronics,F,49,112750.0,0,3.0441699390514203,0
2020,5,CUST0114,Toys,F,60,97626.0,4,5.0,0
2023,2,CUST0069,Clothing,F,65,161832.0,6,3.816844052944396,0
2023,5,CUST0114,Toys,F,25,190175.0,2,3.967759770071132,1
2023,10,CUST0244,Books,M,20,72790.0,3,3.5791066046247133,0
2023,2,CUST0243,Clothing,F,24,69892.0,1,5.0,0
2022,5,CUST0234,Clothing,F,27,135695.0,3,2.8607019336917787,0
2022,1,CUST0137,Clothing,M,27,126272.0,5,,0
2022,2,CUST0088,Electronics,M,40,84991.0,2,3.0176191657308085,0
2020,3,CUST0277,Toys,M,42,96896.0,1,2.9348702513723515,0
2023,10,CUST0095,Books,M,48,118211.0,5,4.664509105137486,0
2022,1,CUST0031,Books,M,28,82353.0,3,4.36095322077861,0
2022,3,CUST0088,Books,M,29,103875.0,1,4.117285080422751,0
2021,3,CUST0161,Toys,M,41,112063.0,5,2.4415944491832935,0
2020,11,CUST0204,Toys,F,27,102031.0,2,5.0,0
2023,6,CUST0157,Home,M,22,109842.0,1,3.74845096481442,0
2022,10,CUST0209,Electronics,M,66,88985.0,1,3.7700379749503923,0
2022,12,CUST0206,Books,M,27,124461.0,2,3.2882032792411193,0
2021,1,CUST0013,Clothing,M,22,111390.0,3,3.897923809384562,0
2021,1,CUST0097,Clothing,F,49,59791.0,1,4.2372304074320315,0
2022,3,CUST0211,Home,M,21,128930.0,4,5.0,1
2020,12,CUST0068,Clothing,F,36,,5,4.206785838899,0
2021,9,CUST0178,Clothing,F,36,124896.0,2,4.234656593284668,0
2023,7,CUST0258,Home,F,36,142199.0,3,3.4030057008285417,0
2021,2,CUST0090,Home,M,20,107508.0,5,4.565787490633444,0
2020,12,CUST0259,Books,F,47,47289.0,1,4.463977055519603,0
2023,3,CUST0096,Clothing,F,42,125943.0,4,2.9521788615915048,0
2021,7,CUST0088,Books,F,31,132371.0,9,5.0,0
2020,10,CUST0152,Electronics,F,23,75287.0,1,3.915424737763109,0
2021,2,CUST0161,Clothing,M,39,122917.0,4,5.0,0
2022,8,CUST0130,Home,F,52,70544.0,0,4.882307117629452,0
2022,11,CUST0198,Clothing,M,44,105786.0,2,4.1147938065599154,0
2020,8,CUST0272,Clothing,F,55,184137.0,2,4.8192485442627895,1
2022,2,CUST0012,Books,M,69,,7,5.0,0
2023,1,CUST0131,Clothing,M,32,122647.0,2,4.201839843316245,0
2021,3,CUST0039,Books,F,28,61726.0,1,3.4972649827902216,0
2020,5,CUST0158,Books,F,44,168489.0,4,2.8336208406847816,0
2020,5,CUST0096,Electronics,F,44,136933.0,4,4.244284326795771,0
2022,11,CUST0167,Electronics,F,51,38973.0,7,2.988921363810812,0
2023,7,CUST0171,Books,M,34,116658.0,0,4.323487744769837,0
2020,9,CUST0144,Clothing,F,50,106329.0,0,5.0,0
2023,3,CUST0188,Books,F,29,133740.0,5,2.778193614953425,0
2023,10,CUST0103,Home,M,54,132230.0,2,3.9809078860258222,0
2023,4,CUST0280,Home,M,42,150135.0,3,2.8496137704264406,0
2022,1,CUST0269,Clothing,M,19,,3,,0
2022,5,CUST0283,Electronics,M,63,56735.0,3,4.9681436807015995,0
2021,8,CUST0129,Electronics,F,25,154446.0,1,5.0,0
2021,10,CUST0174,Clothing,M,44,107576.0,4,4.416660679855422,0
2020,1,CUST0088,Toys,M,59,85866.0,2,4.473645618543786,0
2021,5,CUST0067,Home,M,69,9112.0,6,,0
2020,3,CUST0206,Home,F,22,134163.0,3,4.721125256842624,0
2022,6,CUST0094,Electronics,F,28,65567.0,3,4.863081943792389,0
2021,10,CUST0007,Books,M,67,112119.0,3,3.7225459154936673,0
2021,12,CUST0197,Clothing,F,65,48902.0,1,3.2033163272696994,0
2022,2,CUST0267,Electronics,M,22,116291.0,3,4.603062262116172,0
2021,8,CUST0278,Clothing,F,35,82378.0,2,3.442615050820277,0
2022,3,CUST0047,Electronics,M,63,86566.0,2,3.925942622468002,0
2020,11,CUST0029,Toys,F,66,70088.0,2,5.0,1
2020,2,CUST0298,Books,F,41,75615.0,1,2.9830213005318447,0
2023,2,CUST0169,Clothing,F,64,88126.0,1,3.8154109335750483,0
2021,9,CUST0035,Electronics,M,59,42411.0,5,,0
2023,3,CUST0026,Home,M,36,90533.0,5,3.634265917339537,0
2023,1,CUST0095,Books,M,29,124721.0,5,4.019405239123948,0
2021,4,CUST0174,Clothing,M,24,85327.0,5,3.7956735320791295,0
2021,5,CUST0047,Home,M,21,100552.0,4,5.0,0
2020,3,CUST0118,Toys,F,48,119655.0,4,,0
2023,7,CUST0078,Books,F,66,104406.0,4,2.9001134079477584,0
2020,1,CUST0147,Toys,F,30,137723.0,2,3.7382723192339515,0
2020,1,CUST0057,Clothing,F,31,41359.0,2,4.975053323799899,0
2020,1,CUST0031,Electronics,M,27,86128.0,7,5.0,0
2022,3,CUST0187,Toys,F,40,136788.0,2,5.0,1
2023,8,CUST0091,Toys,F,26,146949.0,5,3.419900532987809,0
2021,7,CUST0257,Electronics,M,31,94501.0,2,5.0,1
2021,12,CUST0230,Books,F,60,80326.0,2,4.091310072076132,0
2020,2,CUST0293,Home,F,28,164639.0,2,3.9021799816358933,0
2020,9,CUST0181,Clothing,F,63,85018.0,2,3.5426823540028964,0
