직원ID,부서,연봉,근속연수,성과등급,교육참여횟수,업무만족도
EMP1093,Marketing,5091,26.0,C,4,4.17
EMP1094,IT,9532,17.0,B,3,4.38
EMP1095,Sales,6278,24.0,A,1,3.26
EMP1096,Finance,9248,7.0,C,3,4.17
EMP1097,Finance,6934,27.0,C,3,4.23
EMP1098,Sales,6887,1.0,C,3,5.0
EMP1099,Sales,8200,3.0,C,7,4.06
EMP1100,Sales,9640,1.0,B,6,4.01
EMP1101,Finance,3112,12.0,C,4,3.61
EMP1102,Marketing,7073,,C,2,3.51
EMP1103,HR,4329,29.0,B,3,3.14
EMP1104,IT,5171,13.0,B,2,4.52
EMP1105,Marketing,4781,11.0,C,3,3.9
EMP1106,Sales,4617,21.0,B,2,3.78
EMP1107,HR,7639,14.0,C,6,
EMP1108,IT,8863,24.0,B,2,4.1
EMP1109,Marketing,8074,15.0,B,4,4.73
EMP1110,Sales,9182,2.0,A,11,4.92
EMP1111,IT,9552,14.0,C,2,3.71
EMP1112,Sales,9416,0.0,B,6,2.66
EMP1113,Sales,3512,7.0,A,2,4.96
EMP1114,Marketing,4109,8.0,C,1,5.0
EMP1115,IT,5847,28.0,B,2,
EMP1116,Sales,3866,22.0,C,2,3.74
EMP1117,IT,5272,25.0,B,0,4.39
EMP1118,Marketing,5317,20.0,B,5,4.28
EMP1119,HR,4745,21.0,C,3,4.6
EMP1120,Sales,9193,20.0,A,4,3.71
EMP1121,HR,8731,27.0,A,2,4.15
EMP1122,IT,7536,8.0,C,5,3.51
EMP1123,HR,6334,19.0,C,3,3.32
EMP1124,Finance,6800,16.0,B,0,3.77
EMP1125,HR,5997,1.0,B,4,4.98
EMP1126,IT,8061,3.0,B,3,2.71
EMP1127,HR,9154,6.0,C,2,
EMP1128,HR,7126,14.0,A,0,2.34
EMP1129,Sales,5594,,B,3,3.91
EMP1130,HR,5289,24.0,B,2,4.87
EMP1131,Marketing,7288,19.0,C,3,2.96
EMP1132,Finance,3765,17.0,B,4,3.86
EMP1133,Marketing,6125,5.0,C,5,4.87
EMP1134,Finance,8800,7.0,A,3,3.53
EMP1135,IT,8217,1.0,A,4,3.79
EMP1136,Sales,8915,21.0,C,7,3.84
EMP1137,Sales,3230,7.0,C,0,4.29
EMP1138,HR,9295,21.0,A,2,4.11
EMP1139,Finance,8741,6.0,A,4,5.0
EMP1140,Sales,5523,27.0,C,2,3.75
EMP1141,Sales,8748,4.0,B,3,5.0
EMP1142,Finance,9277,12.0,A,4,4.93
EMP1143,Finance,3728,24.0,A,3,4.22
EMP1144,Sales,8812,0.0,A,3,3.6
EMP1145,HR,3442,1.0,B,5,3.3
EMP1146,IT,3849,0.0,B,3,3.24
EMP1147,Finance,5696,5.0,B,1,4.51
EMP1148,IT,5707,24.0,C,5,5.0
EMP1149,Finance,4987,8.0,C,4,3.64
EMP1150,Marketing,8225,25.0,C,3,5.0
EMP1151,Marketing,5564,0.0,B,4,4.9
EMP1152,IT,3446,30.0,B,3,3.89
EMP1153,IT,6660,,A,2,4.29
EMP1154,IT,7105,17.0,C,4,4.29
EMP1155,Marketing,7065,20.0,B,3,4.14
EMP1156,Sales,5171,26.0,B,1,3.67
EMP1157,Sales,5665,11.0,A,3,3.42
EMP1158,Sales,4569,13.0,B,5,
EMP1159,IT,8195,12.0,C,2,5.0
EMP1160,Sales,3903,17.0,C,2,4.2
EMP1161,HR,4174,20.0,C,4,3.47
EMP1162,Marketing,3695,3.0,B,1,4.11
EMP1163,Finance,6480,20.0,B,3,4.51
EMP1164,Finance,9247,22.0,B,4,3.19
EMP1165,Sales,6254,18.0,A,3,3.08
EMP1166,Sales,4200,6.0,B,5,4.17
EMP1167,HR,5944,6.0,A,3,3.56
EMP1168,Sales,6875,9.0,B,6,2.81
EMP1169,Sales,8182,19.0,C,4,3.27
EMP1170,Marketing,4474,15.0,B,5,
EMP1171,Marketing,8712,1.0,C,3,3.17
EMP1172,Sales,3701,20.0,B,3,3.83
EMP1173,IT,4773,4.0,B,1,4.5
EMP1174,Finance,9509,0.0,B,3,4.64
EMP1175,IT,5781,4.0,B,2,4.5
EMP1176,HR,4388,16.0,B,3,4.06
EMP1177,Marketing,3885,3.0,C,3,4.81
EMP1178,HR,9857,30.0,A,5,4.84
EMP1179,HR,3890,12.0,B,4,4.11
EMP1180,Finance,8961,29.0,C,6,3.8
EMP1181,Sales,5160,27.0,A,4,
EMP1182,HR,4874,3.0,B,2,4.63
EMP1183,HR,9840,8.0,B,1,4.24
EMP1184,Marketing,3901,9.0,B,2,3.43
EMP1185,IT,5005,12.0,A,2,3.85
EMP1186,Marketing,3331,5.0,C,2,3.66
EMP1187,Marketing,8036,6.0,B,2,3.89
EMP1188,Finance,6712,15.0,A,6,4.38
EMP1189,IT,8971,18.0,A,2,3.88
EMP1190,HR,5654,13.0,B,3,3.42
EMP1191,Sales,3431,28.0,A,3,4.11
EMP1192,Marketing,9928,7.0,C,3,4.14
EMP1193,IT,3893,23.0,A,3,3.93
EMP1194,Sales,5803,13.0,B,4,4.28
EMP1195,Marketing,3896,1.0,C,1,3.29
EMP1196,Sales,3220,3.0,C,5,3.72
EMP1197,IT,8343,9.0,B,2,3.84
EMP1198,Finance,3253,17.0,B,3,3.38
EMP1199,Marketing,9491,25.0,B,2,4.54
EMP1200,HR,8635,8.0,A,4,3.92
EMP1201,HR,8139,0.0,A,2,3.42
EMP1202,IT,5917,27.0,B,6,4.3
EMP1203,Marketing,8371,17.0,B,4,3.87
EMP1204,IT,8443,12.0,C,1,3.34
EMP1205,Finance,4402,15.0,C,4,3.6
EMP1206,Sales,8584,30.0,B,1,4.49
EMP1207,Sales,7294,6.0,B,2,5.0
EMP1208,Marketing,9177,10.0,B,0,4.25
EMP1209,HR,5871,10.0,B,4,3.36
EMP1210,Sales,6881,6.0,B,4,4.55
EMP1211,Finance,8513,15.0,A,1,3.33
EMP1212,HR,6941,5.0,B,5,4.3
EMP1213,HR,9701,21.0,C,2,4.09
EMP1214,HR,5044,21.0,C,0,3.26
EMP1215,Marketing,4311,16.0,C,6,4.4
EMP1216,Sales,3062,,B,5,4.4
EMP1217,Finance,6288,11.0,C,1,4.7
EMP1218,Sales,7556,8.0,C,2,3.27
EMP1219,Finance,3423,22.0,A,1,3.9
EMP1220,IT,4451,22.0,C,1,4.63
EMP1221,Finance,4474,19.0,B,2,4.59
EMP1222,HR,3389,28.0,B,1,3.39
EMP1223,IT,6737,1.0,C,4,4.4
EMP1224,IT,9247,18.0,B,4,4.67
EMP1225,Marketing,6118,28.0,B,0,3.61
EMP1226,HR,8631,30.0,C,2,3.81
EMP1227,IT,5376,5.0,A,4,4.16
EMP1228,IT,7443,30.0,B,1,3.47
EMP1229,IT,7047,7.0,A,3,3.39
EMP1230,Finance,9310,4.0,A,4,4.17
EMP1231,Finance,8954,25.0,C,5,5.0
EMP1232,Sales,4916,29.0,A,2,4.7
EMP1233,Marketing,6862,18.0,C,5,3.7
EMP1234,Finance,6825,20.0,B,3,5.0
EMP1235,Marketing,5147,3.0,C,4,4.41
EMP1236,HR,4872,0.0,C,6,4.61
EMP1237,Marketing,5126,23.0,C,5,3.75
EMP1238,HR,8949,13.0,C,2,4.24
EMP1239,IT,4539,6.0,B,3,3.24
EMP1240,HR,7221,6.0,A,1,4.21
EMP1241,Finance,8511,18.0,C,6,4.13
EMP1242,Marketing,9607,21.0,B,4,3.34
EMP1243,Marketing,9178,13.0,B,4,4.65
EMP1244,HR,8187,16.0,B,0,
EMP1245,IT,3906,12.0,B,5,
EMP1246,Sales,4120,10.0,B,4,4.24
EMP1247,Marketing,6232,3.0,B,0,3.44
EMP1248,Finance,9234,5.0,C,1,4.85
EMP1249,Marketing,8920,10.0,C,3,4.7
EMP1250,Sales,7455,15.0,B,2,5.0
EMP1251,Marketing,7527,19.0,A,2,4.07
EMP1252,HR,4563,30.0,A,1,3.66
EMP1253,HR,9798,13.0,C,2,4.36
EMP1254,IT,6078,11.0,A,1,3.93
EMP1255,HR,5317,0.0,B,5,3.82
EMP1256,Finance,7012,14.0,B,6,3.4
EMP1257,Finance,4560,20.0,A,2,4.77
EMP1258,Finance,3306,3.0,C,3,4.17
EMP1259,IT,4711,22.0,B,1,4.79
EMP1260,Finance,6864,16.0,B,3,3.27
EMP1261,HR,7015,2.0,C,3,4.67
EMP1262,Finance,7649,10.0,B,2,4.48
EMP1263,Finance,8168,,C,2,3.5
EMP1264,Sales,6523,0.0,B,2,4.64
EMP1265,HR,5536,29.0,B,1,3.2
EMP1266,Marketing,5862,12.0,B,5,3.86
EMP1267,Marketing,5934,15.0,C,4,4.4
EMP1268,Finance,3103,21.0,C,6,4.13
EMP1269,Sales,7355,7.0,B,2,4.11
EMP1270,Sales,7163,13.0,B,1,3.09
EMP1271,IT,4852,17.0,B,3,3.93
EMP1272,Finance,9558,8.0,B,2,4.35
EMP1273,Marketing,7297,16.0,C,2,4.6
EMP1274,HR,9421,9.0,C,0,4.43
EMP1275,HR,4835,21.0,B,4,2.75
EMP1276,HR,4382,28.0,B,3,3.59
EMP1277,HR,4633,28.0,A,2,4.3
EMP1278,Sales,8053,2.0,A,2,4.08
EMP1279,Sales,7162,24.0,B,2,
EMP1280,Finance,4116,25.0,B,2,4.48
EMP1281,Sales,9982,8.0,C,2,4.78
EMP1282,Sales,3515,1.0,C,2,4.27
EMP1283,IT,8389,2.0,B,4,3.85
EMP1284,IT,5772,14.0,C,0,4.11
EMP1285,Marketing,4870,6.0,C,1,5.0
EMP1286,Finance,5965,19.0,C,3,3.28
EMP1287,Sales,6579,4.0,B,1,4.74
EMP1288,Marketing,6111,19.0,A,2,2.73
EMP1289,Finance,9614,11.0,B,6,4.18
EMP1290,Finance,7035,17.0,A,3,4.8
EMP1291,Sales,9343,15.0,A,2,4.85
EMP1292,IT,7201,8.0,A,3,3.85
EMP1293,Sales,9765,12.0,B,0,4.31
EMP1294,IT,5522,21.0,A,2,3.89
EMP1295,HR,9153,28.0,C,5,4.02
EMP1296,HR,7209,1.0,C,4,
EMP1297,Sales,8240,20.0,B,7,4.74
EMP1298,Finance,4963,23.0,B,2,3.12
EMP1299,Sales,6855,14.0,B,1,3.18
EMP1300,Marketing,7933,10.0,C,0,4.54
EMP1301,HR,6080,18.0,C,4,3.38
EMP1302,HR,5514,3.0,C,2,4.66
EMP1303,HR,8577,28.0,C,4,3.56
EMP1304,IT,9452,30.0,C,2,4.14
EMP1305,HR,6067,12.0,B,0,4.43
EMP1306,Marketing,7576,24.0,C,6,3.99
EMP1307,IT,4285,4.0,C,5,4.27
EMP1308,Finance,8428,27.0,A,3,3.51
EMP1309,IT,5694,13.0,C,5,4.06
EMP1310,IT,5994,26.0,C,4,4.36
EMP1311,Sales,9413,22.0,B,2,3.56
EMP1312,Sales,9295,15.0,A,1,4.52
EMP1313,Finance,9477,28.0,C,5,4.64
EMP1314,Finance,5807,14.0,C,0,4.61
EMP1315,HR,6395,29.0,C,3,3.62
EMP1316,HR,6308,29.0,A,2,4.68
EMP1317,Marketing,3878,25.0,B,1,5.0
EMP1318,Finance,4535,24.0,B,3,4.66
EMP1319,Marketing,8758,15.0,A,4,3.42
EMP1320,Marketing,8048,3.0,A,1,3.84
EMP1321,Finance,5096,2.0,C,1,4.35
EMP1322,HR,9604,1.0,B,0,3.98
EMP1323,Marketing,7286,,B,1,3.93
EMP1324,Finance,8005,16.0,A,4,3.18
EMP1325,HR,7499,14.0,B,1,4.6
EMP1326,IT,6647,14.0,B,3,3.83
EMP1327,Sales,3522,10.0,C,3,3.85
EMP1328,IT,3487,2.0,B,6,4.73
EMP1329,Sales,7792,15.0,B,1,4.1
EMP1330,IT,8191,23.0,B,1,4.4
EMP1331,Sales,8411,28.0,C,3,4.3
EMP1332,HR,4237,7.0,B,4,3.73
EMP1333,Sales,3401,29.0,B,2,3.77
EMP1334,Finance,7403,18.0,A,4,4.1
EMP1335,Sales,9661,17.0,B,6,3.84
EMP1336,HR,9471,8.0,A,1,2.92
EMP1337,HR,8252,29.0,C,1,3.49
EMP1338,HR,9100,7.0,B,5,4.04
EMP1339,HR,4632,17.0,B,3,4.04
EMP1340,HR,3711,27.0,A,4,4.74
EMP1341,Marketing,7073,18.0,B,1,4.19
EMP1342,Sales,3832,22.0,C,0,3.94
EMP1343,HR,7629,16.0,C,1,4.03
EMP1344,IT,3540,27.0,A,1,3.31
EMP1345,IT,3908,1.0,A,2,4.43
EMP1346,Marketing,4550,24.0,B,2,3.73
EMP1347,HR,7857,20.0,B,2,4.58
EMP1348,Finance,8635,1.0,C,3,
EMP1349,Marketing,5352,15.0,C,1,5.0
EMP1350,Marketing,9757,24.0,B,7,2.9
EMP1351,IT,7053,17.0,A,2,5.0
EMP1352,Marketing,3961,,C,1,4.57
EMP1353,Sales,4279,8.0,B,3,3.91
EMP1354,Sales,4941,17.0,A,5,4.34
EMP1355,Marketing,3937,5.0,C,1,3.57
EMP1356,Finance,4672,12.0,C,2,4.28
EMP1357,Marketing,8957,2.0,A,3,
EMP1358,HR,9447,12.0,B,6,3.98
EMP1359,Finance,4057,7.0,A,1,4.09
EMP1360,Marketing,7376,3.0,B,6,4.48
EMP1361,Marketing,5664,28.0,B,1,3.68
EMP1362,IT,9756,1.0,C,1,2.12
EMP1363,IT,4232,3.0,A,5,3.65
EMP1364,HR,8368,4.0,B,3,4.31
EMP1365,Marketing,4157,14.0,B,3,4.02
EMP1366,Marketing,7204,11.0,B,1,3.86
EMP1367,IT,8898,24.0,A,6,3.46
EMP1368,HR,8448,7.0,A,4,4.56
EMP1369,Sales,6670,17.0,C,2,3.52
EMP1370,Sales,6276,23.0,B,5,3.85
EMP1371,Finance,4218,21.0,C,4,3.62
EMP1372,IT,7737,4.0,C,2,4.27
EMP1373,Marketing,8531,15.0,B,2,3.99
EMP1374,Finance,5707,15.0,C,4,3.95
EMP1375,HR,9389,22.0,B,1,4.92
EMP1376,Sales,9776,0.0,B,4,4.17
EMP1377,Marketing,7685,0.0,B,3,5.0
EMP1378,Sales,6816,18.0,C,3,3.63
EMP1379,Finance,4481,6.0,C,5,4.17
EMP1380,Sales,5035,12.0,B,0,4.48
EMP1381,Marketing,3892,15.0,B,1,5.0
EMP1382,IT,3352,8.0,B,2,4.66
EMP1383,Finance,7762,24.0,C,3,5.0
EMP1384,Finance,3937,5.0,B,1,3.25
EMP1385,Marketing,3924,3.0,A,5,4.52
EMP1386,HR,6083,17.0,B,4,3.15
EMP1387,HR,6161,27.0,B,2,4.58
EMP1388,HR,6772,9.0,B,2,3.91
EMP1389,HR,7515,5.0,B,2,3.97
EMP1390,Sales,5666,13.0,B,4,3.57
EMP1391,HR,8525,9.0,B,2,
EMP1392,Sales,7265,8.0,A,3,3.63
EMP1393,Finance,4617,17.0,B,3,4.46
EMP1394,IT,5638,18.0,B,2,4.62
EMP1395,Finance,6796,22.0,B,3,4.42
EMP1396,Finance,6641,7.0,A,2,3.19
EMP1397,Marketing,5236,18.0,B,5,4.22
EMP1398,Sales,5741,25.0,B,3,4.99
EMP1399,Finance,9008,16.0,C,5,3.32
EMP1400,Sales,6571,10.0,B,3,3.51
EMP1401,IT,8279,7.0,A,5,5.0
EMP1402,Sales,3492,8.0,B,1,2.89
EMP1403,IT,6448,25.0,B,1,4.11
EMP1404,Finance,5949,4.0,B,3,4.5
EMP1405,IT,6503,18.0,B,3,3.46
EMP1406,IT,3512,20.0,C,3,4.44
EMP1407,IT,3629,19.0,B,0,4.53
EMP1408,Marketing,6683,22.0,C,3,3.89
EMP1409,Marketing,8241,22.0,C,2,3.92
EMP1410,Sales,3687,18.0,B,5,4.53
EMP1411,Marketing,3730,9.0,B,2,3.26
EMP1412,IT,5457,25.0,B,4,4.8
EMP1413,Sales,3557,1.0,C,2,3.32
EMP1414,Sales,5244,5.0,C,3,3.92
EMP1415,Sales,3435,24.0,A,1,3.85
EMP1416,Finance,4106,17.0,B,6,4.25
EMP1417,Finance,7627,11.0,B,6,4.03
EMP1418,IT,7548,12.0,B,1,4.74
EMP1419,Sales,3748,0.0,C,8,3.99
EMP1420,Finance,7228,18.0,B,5,4.03
EMP1421,Marketing,8331,3.0,B,5,4.83
EMP1422,HR,5542,,B,2,4.57
EMP1423,HR,3354,19.0,A,2,4.09
EMP1424,Marketing,5982,1.0,B,3,4.31
EMP1425,HR,9012,18.0,B,1,3.76
EMP1426,Sales,9951,8.0,B,1,4.37
EMP1427,Finance,3021,24.0,B,2,3.59
EMP1428,Finance,8225,5.0,B,3,4.2
EMP1429,HR,4191,21.0,C,4,2.9
EMP1430,Marketing,7338,7.0,B,4,4.25
EMP1431,Sales,3189,13.0,A,0,4.31
EMP1432,Marketing,8332,14.0,C,3,4.29
EMP1433,Sales,3311,15.0,B,2,4.54
EMP1434,Sales,9349,20.0,B,3,3.06
EMP1435,HR,9737,27.0,B,2,4.01
EMP1436,IT,9619,30.0,B,3,4.55
EMP1437,IT,9033,2.0,A,6,4.33
EMP1438,Marketing,8971,5.0,C,4,3.55
EMP1439,Sales,7404,2.0,B,1,4.4
EMP1440,HR,6511,24.0,A,5,3.75
EMP1441,Finance,9944,9.0,C,2,4.16
EMP1442,Marketing,7710,25.0,C,0,4.51
EMP1443,Marketing,4221,21.0,A,3,4.11
EMP1444,HR,9222,18.0,A,8,3.69
EMP1445,Sales,9229,18.0,A,4,4.27
EMP1446,Sales,3659,0.0,A,0,4.44
EMP1447,Finance,9749,29.0,B,2,3.23
EMP1448,IT,4172,10.0,B,1,3.52
EMP1449,HR,4013,1.0,A,4,3.35
EMP1450,Finance,7925,3.0,B,3,4.23
EMP1451,Finance,8561,0.0,A,0,3.67
EMP1452,Sales,6107,4.0,B,1,4.34
EMP1453,Finance,6758,11.0,B,1,4.37
EMP1454,Marketing,8722,29.0,B,3,3.72
EMP1455,Marketing,7525,9.0,A,4,3.59
EMP1456,Finance,3153,2.0,C,2,3.97
EMP1457,HR,3458,,C,3,3.34
EMP1458,IT,6178,12.0,B,2,3.13
EMP1459,HR,3121,11.0,A,2,4.12
EMP1460,Sales,7439,23.0,B,5,4.09
EMP1461,IT,4508,29.0,A,3,4.29
EMP1462,IT,4121,28.0,B,1,3.96
EMP1463,HR,4748,28.0,C,2,4.12
EMP1464,IT,5970,1.0,A,4,3.26
EMP1465,IT,5911,24.0,A,3,4.17
EMP1466,HR,7984,6.0,C,1,3.61
EMP1467,Finance,6011,14.0,B,3,4.59
EMP1468,HR,3739,26.0,B,3,3.82
EMP1469,IT,7814,7.0,C,7,3.54
EMP1470,IT,9290,24.0,C,4,4.16
EMP1471,Finance,6928,9.0,B,2,2.79
EMP1472,Finance,4055,10.0,B,4,4.57
EMP1473,Sales,6554,7.0,B,3,4.04
EMP1474,Finance,4985,26.0,B,3,4.76
EMP1475,Finance,9647,6.0,B,3,3.78
EMP1476,IT,6794,26.0,B,4,4.01
EMP1477,HR,8869,27.0,B,8,
EMP1478,HR,7294,13.0,C,1,4.24
EMP1479,HR,4938,27.0,C,2,3.26
EMP1480,Sales,9063,,B,4,3.96
EMP1481,HR,7272,27.0,B,1,3.97
EMP1482,Sales,6256,7.0,C,1,4.24
EMP1483,Sales,4026,,C,2,3.59
EMP1484,Finance,3261,5.0,B,3,2.85
EMP1485,IT,5703,20.0,B,5,4.43
EMP1486,Sales,3048,5.0,C,3,3.19
EMP1487,Finance,3514,13.0,C,2,4.53
EMP1488,HR,5915,2.0,B,2,3.21
EMP1489,IT,6114,26.0,B,2,3.39
EMP1490,Sales,4281,5.0,B,3,4.45
EMP1491,Marketing,5150,18.0,A,5,3.56
EMP1492,Marketing,9895,21.0,B,1,3.14
EMP1493,Sales,8688,7.0,B,1,3.18
EMP1494,Marketing,8425,0.0,B,3,
EMP1495,Finance,5155,28.0,B,4,4.16
EMP1496,Finance,4228,13.0,C,1,4.71
EMP1497,IT,9891,29.0,B,3,
EMP1498,Finance,3540,25.0,B,3,4.87
EMP1499,Marketing,9372,11.0,B,4,4.27
EMP1500,Marketing,6792,3.0,B,8,3.66
EMP1501,Marketing,7026,0.0,C,3,4.51
EMP1502,HR,6913,6.0,B,2,4.79
EMP1503,Marketing,5442,16.0,B,8,3.22
EMP1504,Sales,9803,15.0,B,2,5.0
EMP1505,HR,5474,27.0,A,3,3.16
EMP1506,HR,8964,8.0,C,6,4.21
EMP1507,Sales,5206,24.0,B,1,4.25
EMP1508,IT,5458,11.0,A,2,4.25
EMP1509,Sales,7794,23.0,C,2,4.03
EMP1510,Marketing,5115,9.0,A,2,3.28
EMP1511,Sales,6149,20.0,C,2,4.1
EMP1512,IT,8220,29.0,C,2,3.47
EMP1513,Marketing,5285,21.0,A,2,4.47
EMP1514,IT,8731,3.0,B,0,4.1
EMP1515,Marketing,8055,14.0,B,5,3.74
EMP1516,IT,9390,0.0,B,1,3.89
EMP1517,HR,3771,19.0,C,7,5.0
EMP1518,Marketing,9019,25.0,B,1,2.94
EMP1519,Sales,8860,13.0,A,3,4.56
EMP1520,Sales,8502,23.0,B,1,4.66
EMP1521,IT,3808,26.0,B,2,4.4
EMP1522,Sales,4599,0.0,B,3,3.89
EMP1523,Finance,9890,24.0,B,3,4.77
EMP1524,HR,9654,28.0,B,4,3.31
EMP1525,IT,6996,22.0,C,1,4.56
EMP1526,Finance,3803,27.0,C,4,3.74
EMP1527,Finance,8306,24.0,C,7,5.0
EMP1528,Sales,7680,8.0,B,2,3.41
EMP1529,Marketing,5260,3.0,C,5,4.7
EMP1530,Finance,7516,4.0,C,2,4.92
EMP1531,Sales,3020,20.0,C,2,2.55
EMP1532,Marketing,8916,24.0,A,5,3.15
EMP1533,IT,4051,22.0,A,3,4.8
EMP1534,IT,4094,18.0,A,3,4.24
EMP1535,IT,6062,5.0,C,3,3.71
EMP1536,IT,3864,28.0,A,1,4.36
EMP1537,HR,6676,3.0,A,3,3.92
EMP1538,IT,9321,7.0,B,2,4.45
EMP1539,IT,5700,24.0,C,3,3.99
EMP1540,Finance,9921,15.0,B,4,3.36
EMP1541,IT,4914,24.0,A,6,4.04
EMP1542,IT,7486,15.0,A,4,3.44
EMP1543,Sales,3784,6.0,B,3,2.3
EMP1544,HR,8598,5.0,C,2,3.61
EMP1545,Sales,5809,20.0,B,0,3.93
EMP1546,HR,8050,13.0,C,2,3.32
EMP1547,Sales,3951,14.0,B,6,4.37
EMP1548,IT,8308,0.0,B,5,4.74
EMP1549,Marketing,9003,5.0,C,2,3.2
EMP1550,HR,8332,29.0,B,2,3.75
EMP1551,Finance,8568,22.0,B,5,3.69
EMP1552,HR,7593,2.0,B,1,3.49
EMP1553,Finance,4437,7.0,B,3,3.32
EMP1554,Marketing,3882,11.0,C,2,4.18
EMP1555,Sales,5297,25.0,A,5,3.27
EMP1556,Sales,9826,19.0,B,2,4.22
EMP1557,Sales,6391,16.0,B,2,3.1
EMP1558,Finance,8121,0.0,A,2,2.77
EMP1559,IT,7743,23.0,C,3,4.52
EMP1560,Sales,6064,11.0,A,2,5.0
EMP1561,HR,8494,9.0,B,1,4.36
EMP1562,Marketing,9398,24.0,B,6,3.87
EMP1563,Sales,9378,20.0,A,1,4.77
EMP1564,IT,7700,21.0,C,1,3.43
EMP1565,HR,5255,13.0,B,1,3.65
