연도,월,고객ID,지역,음식카테고리,나이,배달시간,주문금액,주문수량,평점,불만제기여부
2021,4,CUST0177,인천,분식,38,12.1,14188.0,2,3.551016759640695,0
2022,9,CUST0004,부산,중식,25,15.9,29221.0,1,2.399481065491128,0
2023,1,CUST0499,서울,일식,37,39.3,33973.0,1,3.6878954762717333,0
2022,7,CUST0045,서울,중식,65,26.0,14824.0,1,4.179768964999371,0
2023,3,CUST0465,부산,중식,29,34.3,19420.0,2,5.0,0
2021,6,CUST0048,부산,한식,26,25.6,18707.0,0,4.742857469144081,0
2023,2,CUST0340,서울,중식,31,22.3,33973.0,4,4.906126726358165,0
2023,10,CUST0047,경기,분식,24,23.4,37740.0,3,4.323815834327799,0
2021,2,CUST0228,경기,중식,58,35.6,27859.0,0,4.800071342561771,0
2022,10,CUST0163,경기,패스트푸드,48,38.7,8664.0,3,4.042986560894261,0
2022,9,CUST0060,서울,한식,53,26.8,23778.0,2,4.256793178439384,0
2021,3,CUST0261,인천,중식,29,43.2,9943.0,4,5.0,0
2021,8,CUST0394,경기,분식,31,31.3,18079.0,1,2.7688102438774456,0
2021,11,CUST0265,부산,한식,35,31.9,15038.0,2,4.617076076410212,0
2022,3,CUST0372,경기,일식,56,22.1,13210.0,2,2.9236379785910023,0
2022,1,CUST0417,인천,패스트푸드,68,26.1,26807.0,4,3.9886266598226716,0
2022,5,CUST0367,서울,분식,62,32.8,26581.0,3,5.0,0
2022,9,CUST0030,경기,분식,67,40.2,3000.0,1,5.0,0
2022,3,CUST0048,인천,분식,62,18.7,20132.0,2,4.297457929345147,0
2021,3,CUST0282,대구,분식,26,48.0,25327.0,0,4.202240712262084,0
2022,4,CUST0127,서울,일식,66,15.6,28401.0,1,2.9409307095367403,1
2021,4,CUST0432,부산,패스트푸드,37,,22701.0,1,2.893268258635333,0
2022,5,CUST0189,인천,양식,56,23.7,22750.0,2,4.368077856235548,0
2021,9,CUST0084,인천,패스트푸드,30,40.7,22951.0,4,3.9163994041966763,0
2022,2,CUST0054,서울,양식,45,50.9,27054.0,1,5.0,0
2021,4,CUST0254,인천,중식,45,23.4,18582.0,1,4.267010455024801,1
2021,4,CUST0359,대구,중식,19,33.7,16865.0,2,4.915725662427161,0
2021,7,CUST0139,인천,양식,36,12.3,24269.0,4,3.8038744409094347,0
2023,10,CUST0106,경기,패스트푸드,63,36.8,29479.0,2,3.2934814031072306,1
2021,9,CUST0282,부산,한식,18,34.2,20875.0,2,4.711390612304339,0
2023,9,CUST0496,인천,양식,28,53.4,13273.0,2,3.5895842446997417,0
2021,8,CUST0294,부산,양식,57,22.7,29133.0,2,5.0,0
2023,1,CUST0022,경기,양식,44,21.8,26301.0,2,3.9807021809834167,0
2022,2,CUST0433,대구,일식,35,16.6,21229.0,1,4.691124723919637,0
2023,4,CUST0291,인천,일식,22,,21180.0,3,4.555899829736578,0
2022,4,CUST0103,부산,양식,55,,26765.0,1,3.89227039245276,0
2023,8,CUST0027,대구,중식,21,37.7,25310.0,1,3.1767611324308875,1
2023,11,CUST0084,인천,한식,19,31.0,15771.0,2,2.989106432134288,0
2022,2,CUST0360,경기,일식,46,,13659.0,4,4.183323316261079,0
2022,7,CUST0228,경기,중식,19,20.6,13958.0,1,5.0,0
2023,8,CUST0306,서울,양식,31,58.6,27255.0,1,4.340428660803098,0
2021,3,CUST0267,대구,양식,43,10.0,8758.0,2,4.88862893837199,0
2022,11,CUST0439,서울,일식,65,44.4,23927.0,4,4.638812348989475,0
2023,5,CUST0048,인천,분식,44,27.6,31459.0,2,3.9073099368440127,0
2023,7,CUST0125,인천,양식,60,39.1,9434.0,2,4.084655126694198,0
2021,7,CUST0345,경기,분식,27,15.8,26783.0,1,5.0,0
2023,6,CUST0030,대구,한식,65,27.1,22079.0,1,4.076288479067643,0
2023,10,CUST0494,서울,분식,68,20.7,19757.0,3,4.840401127091315,1
2023,5,CUST0254,경기,패스트푸드,21,37.2,25940.0,2,4.3856792905271265,0
2021,6,CUST0447,대구,양식,66,33.7,10029.0,3,4.684020607438772,0
2021,11,CUST0169,대구,중식,52,32.9,18968.0,1,3.004052053875924,0
2023,4,CUST0165,대구,일식,43,31.1,27806.0,2,4.191102657990251,0
2022,11,CUST0048,서울,한식,49,46.2,17238.0,1,4.455053925718217,0
2023,6,CUST0327,경기,중식,61,13.5,11896.0,1,3.9222192189468363,0
2023,5,CUST0015,대구,양식,41,24.7,16267.0,4,3.3651795429775193,0
2022,7,CUST0430,대구,중식,62,27.3,26457.0,2,3.556014241079694,0
2023,8,CUST0170,인천,일식,43,25.2,42648.0,1,4.699759310209217,0
2021,5,CUST0437,경기,한식,31,16.2,20177.0,2,3.5212802995266905,0
2022,7,CUST0185,서울,패스트푸드,62,26.4,18918.0,2,4.918893800509797,0
2021,11,CUST0146,서울,양식,26,17.1,27913.0,3,4.610407265867376,0
2022,9,CUST0032,대구,일식,35,24.6,13390.0,4,5.0,0
2023,1,CUST0215,대구,일식,47,10.0,25724.0,1,4.474651927851836,0
2022,2,CUST0487,인천,일식,58,,28912.0,1,3.4928542093439874,0
2023,2,CUST0224,경기,한식,51,45.3,20886.0,2,5.0,0
2022,2,CUST0103,인천,중식,45,48.1,33833.0,1,3.5370606140168395,0
2023,3,CUST0232,인천,분식,62,25.3,28113.0,2,3.3517649763468413,0
2022,5,CUST0278,서울,중식,68,31.6,12482.0,2,5.0,0
2022,5,CUST0242,서울,패스트푸드,19,36.9,17073.0,3,4.657350450736756,0
2022,11,CUST0371,서울,일식,56,24.1,30405.0,2,4.956729879195461,0
2021,1,CUST0012,대구,일식,57,27.4,23495.0,1,4.194016282310384,0
2022,8,CUST0286,경기,일식,62,24.7,16005.0,0,4.352893683785216,0
2023,4,CUST0177,서울,일식,55,31.1,11885.0,1,4.135822063071796,0
2021,2,CUST0258,대구,일식,65,18.6,10822.0,2,3.828703314549558,0
2021,5,CUST0025,서울,중식,28,43.4,26233.0,2,4.251355968287754,0
2022,1,CUST0454,부산,중식,36,28.5,22438.0,0,3.861126534775378,0
2021,4,CUST0061,부산,분식,38,43.3,26616.0,2,3.632957138126229,0
2022,5,CUST0201,경기,양식,42,26.3,27510.0,2,4.553904179742492,0
2023,3,CUST0329,대구,패스트푸드,42,33.3,19240.0,2,4.385032926341673,0
2022,4,CUST0103,부산,양식,48,27.2,26686.0,2,4.191920094559918,0
2022,6,CUST0135,대구,일식,54,51.7,9084.0,1,4.461373435614382,0
2023,1,CUST0009,대구,일식,48,26.2,29601.0,4,3.3663157477907966,0
2023,2,CUST0446,인천,패스트푸드,62,30.3,12734.0,3,4.503794639133683,0
2021,7,CUST0233,대구,분식,56,42.6,29124.0,1,3.6458293996212023,0
2022,1,CUST0307,부산,한식,32,28.0,27455.0,3,5.0,0
2022,12,CUST0354,부산,패스트푸드,35,32.7,16178.0,5,3.6502510708902043,0
2022,6,CUST0302,대구,양식,25,,21402.0,2,3.518581666784242,0
2023,8,CUST0357,인천,분식,58,24.4,17501.0,2,3.6248208173953933,0
2021,1,CUST0211,부산,양식,60,31.3,17504.0,4,4.3575346287218295,0
2021,2,CUST0289,부산,일식,52,43.4,17595.0,1,5.0,0
2021,2,CUST0431,대구,한식,50,32.6,38148.0,0,4.354308928071957,1
2021,11,CUST0173,인천,양식,28,10.0,20134.0,4,4.915777320183519,0
2023,5,CUST0416,인천,양식,22,41.2,19862.0,0,,0
2021,2,CUST0127,인천,분식,40,41.1,25638.0,2,3.3221324857416663,0
2021,7,CUST0235,부산,분식,50,19.6,19148.0,4,4.636872703938085,0
2021,8,CUST0267,대구,분식,33,36.6,11865.0,1,4.7198330371526644,0
2021,3,CUST0449,경기,양식,53,32.7,20027.0,0,4.1473152699322755,0
2022,5,CUST0490,대구,일식,36,22.7,17530.0,3,3.2917184261375514,0
2021,12,CUST0269,대구,한식,52,20.7,22307.0,3,4.448977383274141,0
2023,9,CUST0059,인천,중식,26,15.7,14727.0,3,4.44630751291602,0
2022,11,CUST0117,부산,양식,48,36.7,32296.0,1,3.728682778395183,0
2021,5,CUST0486,인천,일식,65,24.2,20181.0,0,2.7349571679731897,0
2023,9,CUST0387,경기,중식,37,11.1,24082.0,2,4.83226961627073,0
2021,8,CUST0038,서울,분식,48,38.5,9533.0,2,4.889181568843691,0
2023,2,CUST0160,서울,패스트푸드,52,25.6,10323.0,0,4.813398331597686,0
2023,7,CUST0437,대구,한식,54,15.0,11810.0,3,4.271700567479951,0
2023,11,CUST0014,인천,패스트푸드,24,50.5,13182.0,2,3.498999392889101,0
2023,10,CUST0331,인천,중식,34,39.0,22800.0,2,4.345818448136257,0
2022,12,CUST0208,경기,일식,20,32.5,12556.0,3,4.425072424866527,1
2021,4,CUST0096,인천,패스트푸드,24,26.3,26090.0,4,4.652530876011177,0
2021,11,CUST0257,대구,양식,22,16.6,15105.0,1,4.039680718095352,0
2022,6,CUST0232,경기,분식,18,40.1,17597.0,2,2.508076095323678,0
2022,11,CUST0124,부산,양식,58,28.0,13425.0,3,3.8149474921169366,0
2023,8,CUST0453,경기,양식,38,28.8,24297.0,4,3.47694405725227,0
2023,1,CUST0123,서울,한식,20,31.4,17580.0,0,4.757439316900998,0
2022,1,CUST0455,서울,분식,65,,20078.0,3,3.117503664368055,0
2021,3,CUST0261,경기,양식,56,12.2,29668.0,0,4.891511532250231,0
2023,9,CUST0213,서울,양식,56,22.5,10079.0,2,3.5391256453768998,0
2021,11,CUST0346,경기,패스트푸드,48,46.5,19964.0,2,4.568714542656872,0
2022,2,CUST0206,경기,한식,64,30.7,21761.0,4,4.776566572813782,0
2022,4,CUST0334,인천,일식,39,31.5,3901.0,2,2.732346201451721,0
2022,7,CUST0415,인천,일식,28,30.2,7592.0,1,4.448453245573782,0
2021,10,CUST0388,서울,양식,58,47.2,19037.0,3,4.768624755156606,0
2021,10,CUST0250,부산,양식,65,39.7,13647.0,4,3.340158386976559,0
2022,11,CUST0440,서울,양식,37,23.7,19437.0,4,3.7206926289350206,0
2021,1,CUST0300,부산,양식,56,43.3,22752.0,4,5.0,0
2021,11,CUST0026,대구,중식,54,19.3,20331.0,4,3.8771614361292945,1
2021,6,CUST0464,대구,패스트푸드,51,18.0,6976.0,3,4.520003620309417,1
2022,5,CUST0361,부산,일식,28,,31494.0,2,2.7476748919853105,0
2022,4,CUST0467,경기,패스트푸드,31,21.1,31263.0,1,4.020600937199549,0
2021,4,CUST0008,부산,양식,66,32.2,24432.0,4,2.837611762444511,0
2023,1,CUST0487,인천,한식,53,45.0,17292.0,0,3.9215508872687934,0
2022,5,CUST0265,서울,양식,62,37.5,16521.0,2,3.228543083815732,0
2022,2,CUST0073,대구,중식,19,24.1,26291.0,3,4.292331610214704,0
2023,1,CUST0384,부산,한식,69,24.3,15554.0,5,4.503904771183084,0
2022,4,CUST0380,경기,분식,46,20.7,13749.0,1,4.841510990366914,1
2022,11,CUST0241,부산,패스트푸드,22,19.9,7086.0,1,3.452461748737088,0
2021,2,CUST0361,부산,양식,36,23.2,13615.0,2,4.214438974746575,0
2021,9,CUST0422,대구,한식,32,38.3,29241.0,0,,0
2022,6,CUST0328,서울,분식,53,28.1,3000.0,2,4.364166350068083,0
2021,10,CUST0267,경기,양식,63,13.0,13833.0,1,3.1927477156546242,1
2022,10,CUST0248,대구,분식,67,38.2,20623.0,2,4.147879983865313,0
2023,3,CUST0354,인천,분식,29,36.1,16280.0,5,4.758281414473854,0
2022,7,CUST0085,경기,중식,21,21.1,14224.0,0,4.038612063652569,0
2022,3,CUST0459,부산,중식,24,45.9,28956.0,1,,0
2023,2,CUST0425,부산,중식,18,36.8,27642.0,4,3.641121826194896,1
2023,12,CUST0143,대구,한식,29,30.0,20308.0,1,4.365266809113869,0
2023,11,CUST0176,인천,일식,42,36.2,19392.0,1,4.810303414397455,0
2022,12,CUST0254,대구,일식,37,30.5,23304.0,1,4.971414516096445,1
2021,1,CUST0198,경기,한식,29,49.9,23391.0,1,4.576249706657485,0
2021,4,CUST0322,부산,일식,31,36.0,25758.0,5,3.818946025719923,0
2021,7,CUST0056,경기,일식,28,37.9,18090.0,2,,0
2021,5,CUST0448,부산,양식,35,34.0,27395.0,2,4.499361583305885,0
2021,5,CUST0258,부산,패스트푸드,57,,20822.0,1,5.0,0
2021,6,CUST0299,대구,한식,49,25.8,24943.0,1,4.057195047454993,0
2022,7,CUST0117,대구,한식,31,42.4,21917.0,4,4.808997339093368,0
2022,4,CUST0104,서울,중식,65,28.3,15168.0,5,4.462202605556694,0
2022,3,CUST0253,경기,양식,23,33.3,22388.0,2,4.072221252335289,0
2023,1,CUST0227,서울,한식,39,36.1,14951.0,3,3.4258969468953064,0
2022,12,CUST0223,인천,분식,19,38.0,15048.0,2,4.629651220718354,0
2022,7,CUST0388,부산,분식,24,41.5,22242.0,0,4.669794560744376,0
2021,1,CUST0384,대구,중식,45,61.2,13225.0,2,4.404541846147138,0
2022,11,CUST0149,인천,양식,46,36.0,14629.0,1,4.480448454341345,1
2023,8,CUST0163,경기,분식,18,38.3,21001.0,2,3.341871272501377,1
2022,4,CUST0053,경기,패스트푸드,37,25.8,27885.0,0,4.548424513508665,0
2023,2,CUST0255,인천,양식,48,24.5,10676.0,2,2.8384370573526763,1
2023,9,CUST0081,인천,한식,38,36.3,36961.0,2,3.8918904603350013,0
2023,11,CUST0340,인천,중식,21,37.8,17823.0,2,3.3696752945421076,0
2021,6,CUST0295,경기,양식,43,25.9,20447.0,0,3.7997826801703605,0
2023,7,CUST0242,대구,양식,49,29.4,12787.0,1,4.335843684564604,0
2022,12,CUST0197,대구,패스트푸드,54,47.9,10356.0,5,3.61787016828618,0
2022,2,CUST0239,경기,양식,36,20.6,22384.0,2,4.137337232590129,0
2021,3,CUST0463,대구,일식,34,39.8,17733.0,0,4.829446453122262,0
2023,5,CUST0439,부산,일식,69,32.7,36144.0,2,4.458941089217731,0
2021,2,CUST0444,대구,일식,67,48.8,12323.0,1,3.558353078034212,0
2023,1,CUST0150,대구,일식,32,51.1,19231.0,1,3.5015043566903987,0
2022,6,CUST0092,경기,패스트푸드,55,24.5,19520.0,2,4.37903982250093,0
2023,5,CUST0186,경기,분식,19,37.5,3043.0,4,3.778654824912101,0
2021,12,CUST0030,대구,양식,21,20.4,9200.0,1,4.019973826813939,0
2022,11,CUST0289,인천,패스트푸드,60,30.0,22385.0,2,5.0,0
2022,1,CUST0239,대구,양식,58,49.3,22350.0,1,3.84542437868658,0
2023,10,CUST0275,인천,일식,57,34.2,24529.0,0,3.489594879235849,0
2021,6,CUST0414,서울,양식,61,25.9,12955.0,3,2.885471026505118,1
2021,11,CUST0410,대구,중식,62,35.7,20308.0,4,4.911932934487596,0
2023,4,CUST0468,서울,패스트푸드,57,46.1,26961.0,2,4.5628951867591,0
2022,6,CUST0097,대구,일식,61,33.4,19194.0,1,3.8633059796811446,0
2022,2,CUST0102,인천,분식,36,19.6,18280.0,2,4.98359153872907,0
2021,7,CUST0338,대구,패스트푸드,50,27.4,17491.0,2,3.7074829768933677,0
2022,12,CUST0259,부산,일식,33,28.8,17854.0,1,4.29103571678259,0
2021,4,CUST0155,인천,양식,30,47.4,22758.0,3,4.045361832461948,0
2021,9,CUST0273,부산,일식,45,30.8,26868.0,6,3.901215046415928,0
2022,2,CUST0176,서울,패스트푸드,20,30.7,10833.0,4,3.4480179856314668,0
2023,1,CUST0234,인천,양식,61,44.0,27800.0,0,5.0,0
2023,4,CUST0480,대구,양식,30,26.2,10418.0,3,4.286732755675058,0
2022,8,CUST0283,부산,중식,23,43.3,14454.0,1,3.3642231757426555,0
2021,7,CUST0327,대구,중식,56,26.3,22186.0,3,3.8674942126118794,0
2022,6,CUST0101,서울,패스트푸드,64,28.1,23424.0,4,3.189476188129419,0
2021,7,CUST0121,경기,패스트푸드,31,27.2,26837.0,3,3.9425589577364004,0
2022,3,CUST0307,인천,패스트푸드,67,33.8,11913.0,0,5.0,0
2022,5,CUST0119,인천,양식,25,28.3,21955.0,0,5.0,1
2021,6,CUST0437,인천,분식,53,18.5,11131.0,3,4.737506026649091,0
2023,6,CUST0157,대구,패스트푸드,28,,29108.0,1,3.2698428434948705,1
2022,4,CUST0416,인천,중식,52,40.9,35320.0,2,4.443329648866889,0
2023,12,CUST0138,부산,중식,37,41.3,8451.0,2,5.0,0
2022,9,CUST0284,경기,중식,68,31.0,23202.0,2,2.963112779685687,0
2021,2,CUST0275,대구,일식,18,49.2,26202.0,0,4.770603604867127,0
2021,12,CUST0146,대구,양식,56,33.6,29671.0,0,4.844978685818375,0
2023,12,CUST0492,대구,패스트푸드,60,,37348.0,4,3.5545350903979025,1
2023,8,CUST0209,부산,일식,28,46.5,28549.0,4,3.8000088761785373,0
2022,5,CUST0361,서울,패스트푸드,57,39.3,18390.0,4,3.6823476244499322,0
2021,10,CUST0352,경기,일식,52,28.8,15120.0,5,4.181157052835721,0
2022,9,CUST0341,대구,분식,28,38.3,17476.0,1,4.909482916879392,0
2021,5,CUST0062,인천,한식,49,36.7,12958.0,5,4.303607310835077,1
2021,10,CUST0458,경기,분식,36,26.0,14429.0,2,5.0,1
2021,8,CUST0449,인천,분식,19,35.6,21472.0,4,3.5613606722012903,0
2021,1,CUST0439,서울,일식,29,22.8,23380.0,1,4.2766802966851785,0
2023,3,CUST0140,경기,분식,20,10.1,22245.0,2,4.478664308831,0
2022,6,CUST0053,대구,한식,18,34.9,12097.0,0,4.138945456594587,1
2021,12,CUST0216,대구,양식,67,39.6,29239.0,2,4.932633062135132,0
2023,10,CUST0298,경기,중식,67,45.7,42748.0,1,5.0,0
2021,6,CUST0226,인천,중식,25,24.4,22776.0,1,3.3891630054648836,0
2022,7,CUST0332,대구,양식,34,,29934.0,1,2.6289955560430807,0
2022,5,CUST0374,대구,일식,34,33.2,16739.0,4,3.4332210658573503,0
2022,8,CUST0436,대구,양식,47,36.2,13734.0,2,4.233715610415039,0
2021,12,CUST0357,서울,한식,46,25.2,24643.0,0,4.384164750491606,0
2022,1,CUST0166,경기,양식,43,41.3,25812.0,3,4.616167557649948,0
2021,12,CUST0044,부산,한식,22,41.0,13449.0,0,5.0,0
2022,9,CUST0067,대구,일식,26,47.9,15545.0,3,2.528579639614973,0
2023,8,CUST0128,인천,양식,25,31.0,14184.0,0,4.317705928574153,0
2022,5,CUST0250,서울,중식,35,18.3,26542.0,1,3.957166518610623,0
2022,3,CUST0202,경기,한식,59,10.0,28718.0,2,3.7135493650622275,0
2023,9,CUST0309,대구,패스트푸드,67,39.3,16045.0,2,4.3150973892062865,0
2022,4,CUST0392,부산,일식,31,28.3,6293.0,7,3.2797070782378857,0
2022,3,CUST0169,부산,분식,38,23.6,15819.0,4,3.3522677506069503,0
2021,6,CUST0340,인천,한식,46,39.2,11645.0,0,3.665917008139811,0
2023,2,CUST0455,경기,분식,58,27.3,24820.0,2,4.273334680240018,0
2022,10,CUST0378,서울,양식,46,35.5,20924.0,0,4.19735377381663,0
2023,11,CUST0379,대구,일식,31,10.0,26531.0,4,3.852472359136552,0
2022,7,CUST0333,경기,분식,36,32.7,25661.0,2,4.637941909615253,0
2022,6,CUST0308,서울,양식,21,54.4,14979.0,1,5.0,0
2022,5,CUST0206,서울,일식,40,40.5,29718.0,0,4.6196491286864925,0
2022,8,CUST0354,대구,분식,29,31.5,13305.0,2,3.7237110537654043,0
2022,5,CUST0190,부산,양식,40,18.1,7840.0,0,4.57406735778604,0
2021,4,CUST0411,경기,분식,51,16.5,27229.0,0,3.052076574173177,0
2021,5,CUST0402,서울,양식,42,10.0,19111.0,3,5.0,0
2021,6,CUST0432,대구,분식,69,41.6,3000.0,1,,0
2023,7,CUST0050,부산,한식,63,21.9,32868.0,2,4.407885096147562,0
2022,6,CUST0024,부산,한식,60,30.5,14819.0,1,3.8522471035582297,0
2021,7,CUST0296,인천,분식,32,,30296.0,1,4.135603376047279,0
2022,10,CUST0009,부산,일식,24,35.0,18949.0,2,,0
2023,4,CUST0323,서울,일식,48,20.4,6574.0,2,4.283822579313032,1
2023,11,CUST0043,경기,분식,49,33.9,20502.0,1,4.422142869547855,0
2023,6,CUST0154,경기,양식,26,29.6,28495.0,1,2.920055894952233,0
2022,5,CUST0294,부산,한식,69,23.6,10742.0,0,3.6128927064512357,0
2022,7,CUST0106,경기,분식,43,,34303.0,2,4.112172939521085,0
2021,12,CUST0275,대구,일식,35,35.4,18211.0,2,3.6118946788486292,0
2021,7,CUST0258,경기,양식,59,41.3,17785.0,2,3.782346687287668,0
2023,6,CUST0168,인천,양식,64,24.5,17822.0,1,4.224814920393691,0
2022,4,CUST0483,부산,분식,19,17.8,16102.0,1,4.483634861628758,0
2023,3,CUST0213,경기,일식,43,51.1,22935.0,3,3.901842453244072,0
2021,1,CUST0385,서울,패스트푸드,22,37.2,18069.0,1,1.7672907294675788,0
2021,6,CUST0378,대구,중식,49,16.1,27541.0,2,3.2964813351921136,0
2023,8,CUST0425,경기,중식,48,30.6,18562.0,2,5.0,0
2023,5,CUST0253,인천,일식,46,29.9,5842.0,3,3.5423726612633635,0
2022,8,CUST0212,부산,일식,34,27.5,16407.0,1,4.163232451074048,0
2023,12,CUST0298,대구,패스트푸드,39,15.4,11409.0,4,4.056431542308557,0
2022,9,CUST0424,경기,분식,53,24.9,17452.0,1,5.0,0
2021,8,CUST0274,경기,한식,31,29.6,6706.0,4,3.9327941728166644,0
2023,9,CUST0463,경기,분식,47,53.5,21193.0,2,3.568152500291206,0
2023,12,CUST0147,대구,패스트푸드,48,19.2,21179.0,1,3.9744025466347717,0
2023,10,CUST0227,부산,일식,56,24.2,19079.0,2,4.925598944246661,0
2021,10,CUST0377,대구,패스트푸드,65,33.6,33088.0,2,5.0,0
2021,10,CUST0015,부산,패스트푸드,27,,29595.0,2,4.552233770925255,0
2023,3,CUST0084,부산,양식,57,50.3,26238.0,7,,0
2021,4,CUST0380,인천,한식,62,11.4,24913.0,4,4.193998705653384,0
2023,2,CUST0154,부산,양식,67,39.0,24242.0,4,4.323567562491764,0
2021,12,CUST0136,경기,중식,57,37.4,16546.0,0,,0
2021,9,CUST0001,부산,양식,49,30.5,18704.0,1,4.3031383878027,0
2022,12,CUST0492,대구,일식,65,,28866.0,2,4.402349638953267,0
2023,6,CUST0062,서울,중식,51,47.9,21046.0,1,4.166856914194764,0
2021,12,CUST0437,경기,분식,36,22.0,12126.0,1,3.7226913837097686,0
2021,4,CUST0008,경기,양식,27,40.3,24482.0,3,3.821709894457665,0
2023,12,CUST0487,인천,한식,50,29.5,10899.0,1,4.700597607978246,0
2021,11,CUST0458,서울,양식,62,40.2,3000.0,2,4.164743304550951,1
2023,5,CUST0216,서울,중식,19,44.5,22962.0,1,3.412690517964685,0
2021,5,CUST0105,대구,일식,41,33.1,3311.0,1,4.399039981694021,0
2023,1,CUST0325,인천,한식,36,16.4,22192.0,3,5.0,0
2022,9,CUST0372,부산,중식,58,13.2,29637.0,2,4.900195820656133,0
2022,5,CUST0152,경기,중식,42,24.0,30768.0,3,3.9794942247359533,0
2021,12,CUST0222,부산,일식,61,17.4,23768.0,2,4.3095388856823895,0
2021,12,CUST0109,경기,일식,51,34.3,18321.0,2,4.362402241045945,0
2021,8,CUST0257,서울,중식,68,,21366.0,0,4.39981937684972,0
2022,9,CUST0234,경기,분식,27,23.3,22094.0,4,4.369171526318079,0
2021,9,CUST0222,대구,한식,20,39.1,17473.0,2,3.8524294809906343,0
2023,1,CUST0480,부산,패스트푸드,30,30.3,29862.0,2,3.926593365559368,0
2022,4,CUST0417,인천,패스트푸드,28,17.5,25205.0,2,5.0,0
2022,8,CUST0021,대구,일식,44,25.4,21224.0,5,4.86413229746702,0
2021,4,CUST0046,인천,양식,44,18.8,28472.0,2,4.733184180285848,0
2022,4,CUST0028,서울,한식,28,31.5,14805.0,3,5.0,0
2022,6,CUST0258,서울,일식,52,21.3,17043.0,3,,0
2022,9,CUST0058,대구,한식,43,,9669.0,0,3.3742324805707216,0
2023,1,CUST0177,대구,중식,25,28.1,22357.0,2,3.8642073178119762,0
2023,10,CUST0480,서울,중식,43,32.4,24362.0,1,3.8296572134447926,0
2021,10,CUST0317,경기,패스트푸드,18,40.9,24996.0,4,4.340539654980638,0
2022,7,CUST0187,대구,패스트푸드,65,44.5,29227.0,2,2.8080174902885835,0
2023,3,CUST0132,서울,일식,36,39.9,16246.0,1,3.716581759686256,0
2022,6,CUST0306,부산,중식,20,27.4,21317.0,2,4.889149994776021,1
2021,12,CUST0313,서울,패스트푸드,48,24.6,20963.0,4,4.181083084495446,0
2022,1,CUST0059,대구,한식,40,12.4,19459.0,2,3.999577261732388,0
2023,9,CUST0009,대구,패스트푸드,54,44.7,22937.0,0,4.2016894526082424,0
2023,9,CUST0156,인천,한식,60,55.7,26217.0,3,4.285999814261977,0
2023,6,CUST0366,서울,중식,60,38.6,17493.0,1,4.3054962392167475,0
2021,11,CUST0094,인천,한식,68,38.3,11957.0,4,3.8365223640048938,0
